w,baseline_party,k5_noresid,k4_resid,k4_noresid,conf_resid,conf_noresid
0.1800566087375773,C7,1,5,2,0.6905913216865586,0.9230424141623562
0.7008973607552659,POP,9,6,1,0.47948927535091007,0.44806118793612526
0.0462750248831809,DSA,5,5,2,0.7669625143710425,0.8524890760656433
0.0088972346248171,POP,4,0,1,0.9729691827703384,0.918836781064723
0.5553947818748659,STY,3,3,6,0.3934790204637785,0.3857867452426853
0.1232077524658231,PRG,1,5,4,0.8343820540880474,0.8524643702192524
0.4341394759415876,PRG,1,5,4,0.8922927380245534,0.9663314047619008
1.436450539884464,NAT,8,8,8,0.8709550575985369,0.8299206614392557
0.8732044875489118,STY,0,3,3,0.9999458642139164,0.9941184628795918
0.0001619969814628,POP,4,0,1,0.892905182661398,0.7034767895477841
5.470331987680804,STY,0,3,3,0.9823844880010454,0.8193825893114578
1.183034045287737,NAT,8,8,8,0.8932976566515448,0.9298352402083141
0.0772112352429469,STY,0,3,6,0.5984179517252424,0.6808588121840948
1.464401682421841,STY,0,3,3,0.7612017884505319,0.6524316341246856
0.0380631157561038,CON,2,3,9,0.7245985536660181,0.674945717636214
0.8805369769457095,CUP,9,9,9,0.7690016129187658,0.6851939775108222
0.0078615849295114,CUP,9,9,9,0.7115552936032958,0.5356259501293523
0.3572333099465297,CUP,9,9,9,0.6453034007193068,0.7218268729274135
1.267905490028907,CON,2,7,5,0.9104591626647326,0.8778934930593412
0.3840612569219607,C7,1,5,7,0.7397421382343073,0.9017694095851538
1.154485073003468,CON,2,7,5,0.7374680512252774,0.4334607149175438
0.6971256429707643,SD,7,4,0,0.6874476465344382,0.7842069756417033
0.0693292690320607,POP,3,0,1,0.9844120591960546,0.9481428944128967
0.3531294866450464,NAT,8,8,8,0.9301076483365307,0.9524041567324946
0.0216278225341757,STY,3,3,3,0.41292199476416064,0.4279436324328735
0.0009265566116692,SD,7,4,0,0.9204752986713967,0.9461093854813626
1.522485458389949,DSA,4,2,1,0.9744502187402494,0.5435898892500137
3.311319732374418,PRG,1,5,4,0.9266159028800683,0.9349017115339243
1.600430825103686,CUP,2,9,9,0.5235898913225929,0.522097950519278
1.111001774533817,DSA,4,0,1,0.8551665623815683,0.9730795654579947
0.4489246983096729,STY,3,3,3,0.6413490391123547,0.9997726694592267
0.8660720949880162,C7,9,6,7,0.3713846001934621,0.5526773863187464
0.4904538149507803,C7,9,6,7,0.5237524107158849,0.7393873374159202
1.783225025961243,LIB,6,7,5,0.38549456344527333,0.7390707908864176
0.4113380885555183,C7,9,1,7,0.7483081679882708,0.6878826408449155
0.9082579378988656,CUP,0,3,6,0.7123635872661843,0.6146587601171867
2.344500693791797,CUP,9,0,6,0.6602648942611243,0.7725136767513187
0.974479120790396,STY,3,3,3,0.9304364610130743,0.6429849250489577
0.8952789019088786,STY,0,3,3,0.9955945917265249,0.7839838952041839
0.4375657345530578,DSA,7,2,2,0.631437815259181,0.583574607370579
0.2490369289195526,POP,3,0,1,0.9977288498082033,0.819511802535809
0.0001277004237352,CON,2,9,9,0.8280015382879417,0.8491462479179251
0.727025921506796,DSA,1,5,2,0.5888623812956522,0.9155899157440059
0.0172652271875969,PRG,1,5,4,0.900449157345736,0.9462594984551991
0.2239028812910668,DSA,1,4,0,0.33123071871438226,0.7678088020704612
0.0001108037711122,DSA,4,2,1,0.7201622484697107,0.7895624300845577
1.338810497348719,PRG,1,4,4,0.7227754968657575,0.6154857809799104
0.0003857230980972,CON,2,7,5,0.7079771770814131,0.7029416575433024
0.7250238590341614,DSA,5,4,0,0.8617496168919213,0.6564296592946905
0.835187034515306,NAT,8,8,8,0.6133051904806855,0.7122474119029591
0.6686009483088667,POP,4,0,1,0.6192575255980297,0.7944874552734095
2.597283656590816,DSA,4,4,0,0.9707106728726687,0.9258521803397309
0.8249358205635353,LIB,5,1,2,0.9075793305431643,0.7432550459920597
1.554774045123902,STY,0,3,9,0.9890318313305543,0.8891804941998893
0.7170268433691257,C7,6,7,5,0.6811950156292534,0.9363591462013539
0.2391717757363975,POP,4,0,1,0.9922999381642938,0.8934140822262455
1.730860528371555,CON,2,9,9,0.525507426088924,0.6553385764154254
13.44076620022146,SD,7,4,0,0.953509590044579,0.9528502789152744
0.6349933792022086,PRG,1,5,7,0.5537659492203625,0.7916339296576606
0.0003299918912423,DSA,5,2,2,0.5186810383309424,0.5152210631108268
0.5498847153726232,POP,4,0,1,0.8582022991766983,0.6545210894820768
0.0006199168765479,CON,6,7,5,0.39809892104503103,0.40612778030502256
1.346448737700088,C7,1,1,2,0.7191541648689279,0.5796055073204235
1.917349892889358,STY,0,3,3,0.8351492672151659,0.7837085583258995
1.476286173260118,C7,6,7,5,0.7831725122066314,0.8887172914398138
0.4410727158354986,NAT,8,8,8,0.9629757206549578,0.953014267202428
4.071452309009937,LIB,6,7,5,0.49915069351158536,0.8268541037205823
0.0122947836753478,NAT,8,8,8,0.7813765242921468,0.7855055099866266
1.719278730872779,LIB,4,0,1,0.6308132337567248,0.780088131691166
0.0060585411762728,POP,3,0,1,0.9995554946268614,0.8858311144258231
2.552328779187115,LIB,3,6,7,0.6192061776693392,0.7950819123421263
0.941453709156352,POP,3,0,1,0.9875309063449426,0.8284550938044649
0.5058641076917797,STY,0,3,3,0.9860903698041678,0.9165205233913215
0.4439615606696335,LIB,6,7,5,0.5564396657465065,0.8758089822385348
0.3996408653851701,C7,5,6,7,0.7682809660761764,0.44709802003512816
0.4624709958796163,C7,9,6,7,0.6379683944979068,0.6959206364271664
1.428015819819985,CON,2,9,9,0.9541349744361789,0.9580269368276476
0.2429338937292236,LIB,5,6,7,0.8400131323796949,0.5140747015594488
3.918470493733673,POP,3,0,1,0.8909742214278913,0.670529359232533
0.2067115513456271,NAT,2,9,9,0.4915812570406636,0.4872537672366673
0.8166083762809886,CON,2,9,9,0.9593623170043308,0.9520472560580181
4.365400726027422,STY,3,3,3,0.8011602009832899,0.5740671368335674
1.096246282415298,CUP,9,9,9,0.8006622821898488,0.7244073725434451
0.9630476866452916,CUP,9,9,6,0.5995849472230044,0.7354710200524504
0.629386799366635,LIB,6,7,5,0.9350325544272863,0.6487864806362011
0.000407238606313,STY,9,3,6,0.8575091079578182,0.4699488176422079
0.2140746602777291,PRG,7,4,0,0.5382197779829696,0.6659411664427323
0.4785934841680062,C7,1,1,7,0.7308937811114035,0.4433959001081829
0.0751036304027724,C7,1,1,2,0.9538159694246316,0.7640944370916449
0.1987727312630032,PRG,7,4,4,0.8186640793744776,0.5018989529783744
0.3087922321150941,CUP,9,7,5,0.6614362841386218,0.595975228627552
0.0904147759890386,CUP,9,7,5,0.6618778239843086,0.6236479671035781
0.0156147950697816,NAT,8,8,8,0.8879269069303214,0.8920827743218277
1.952861765681224,STY,0,3,3,0.9781016111925817,0.9402254729327499
0.3527398901159622,CUP,9,9,9,0.5095004557307101,0.5116309046932086
0.8100531135914942,NAT,8,8,8,0.9506986785678678,0.9462806402990015
0.0391808970662431,DSA,4,0,1,0.7399103981941728,0.9119283762038016
1.431364509604157,STY,0,3,3,0.9678260270564459,0.6797139260621028
0.8895557079455738,CON,2,9,9,0.9641192578932819,0.9523120162972788
5.284381371618876,CON,2,7,5,0.6149509345203605,0.5887643278092564
1.263684063187341,PRG,1,5,2,0.42776166018199846,0.7507829484322056
0.0147494952318995,SD,7,4,0,0.8180789491739152,0.9232895751152611
1.808824025557393,POP,3,0,1,0.754423453109161,0.7308491825966441
0.5500068153256844,POP,3,0,1,0.8882242030222408,0.7012690903491436
0.4544752013134005,CUP,9,3,6,0.8583617338955841,0.7869876533408103
2.571357524012834,C7,1,1,7,0.9207024965270857,0.6203883163481959
0.9909049143370576,CON,2,9,9,0.5417566628990472,0.7253750573839777
0.6565669181330852,POP,3,0,1,0.9967826839096765,0.9229714693743928
0.6269225092663048,C7,1,7,7,0.8598301010175973,0.46102005473398744
2.429413799326555,POP,3,0,6,0.9435425726382018,0.9704553939035967
0.196016337477446,PRG,1,5,4,0.9528859767933869,0.9709175262067024
1.022922774950709,C7,5,6,7,0.7654358023608425,0.3379580657957992
1.239796613190881,STY,0,3,3,0.9999623133925385,0.9923772208676075
0.6420832264964578,SD,7,4,0,0.989624973079097,0.9908491924259146
0.1229487202950901,CUP,9,6,7,0.5217161813023851,0.859297922651753
0.6082720158865387,C7,1,1,7,0.9385692406922759,0.7159307844938168
0.0010847496559966,CUP,9,9,5,0.6962540575121301,0.7608010505453798
0.0032290703325166,CON,2,9,9,0.5694605912356794,0.6237971587481616
0.4809911659784388,SD,7,4,0,0.9036406690655368,0.9633115056454105
0.6593364657211757,CON,2,9,9,0.9372054747611104,0.9397543874566616
1.072682782938148,STY,3,3,9,0.7639013496699922,0.6058887651228625
0.7850428011740745,C7,1,1,7,0.7442972376866486,0.7592064851766229
4.523329886919959,NAT,8,8,8,0.9580486266514862,0.9723241876309672
0.8255793656251403,LIB,1,2,1,0.7591355642289794,0.3475778660509526
0.0405520543399339,POP,4,1,1,0.5361402859770406,0.652865857106099
0.0306753298901216,C7,6,7,5,0.7573049940392952,0.8315526215156355
4.386224018079219,SD,7,4,0,0.865726259990365,0.6558082939071505
2.766036682445712,CON,2,7,5,0.8220225925995912,0.812376434570002
1.390745411407064,POP,4,0,1,0.9331912341204626,0.9473294463872403
