,Label,Domain,PID_R2,F1,F2,F3,h2
pew_churatd,Church attendance frequency,Religion,0.059,0.14214187584638557,0.11298425269611506,-0.3898421974091349,0.22818643123530744
CC24_302,HH income: change past year,Econ,0.059,0.2455250988337513,-0.2632127045485598,-0.037135135344231726,0.15538782995102296
CC24_303,Perceived price change past year (high=inflation),Econ,0.116,0.3873674610442817,-0.2341661627996619,-0.04789580256174343,0.24666403717866006
CC24_341a,Support extend 2017 tax cuts,Tax,0.152,0.5232477256139016,-0.04496544739207797,-0.16378956206569203,0.391563562952188
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],Tax,0.182,0.5857586774449889,-0.1551297296618507,-0.10763662974831732,0.46202455079242044
CC24_341d,Oppose $150B infrastructure spending [rev],Tax,0.066,0.27247326202898053,-0.2062504757309707,-0.22060257568325053,0.2426357300737001
CC24_323a,Oppose grant legal status to immigrants [rev],Immigration,0.237,0.8017420075741651,-0.1736496905117524,0.0725972894388774,0.6506986344551964
CC24_323b,Support increase border patrols,Immigration,0.097,0.7119171691700116,0.26972890692211327,-0.020370632440302808,0.5510424494008233
CC24_323d,Oppose Dreamers citizenship pathway [rev],Immigration,0.204,0.7839164142241394,-0.22729068018949103,0.03697338350569565,0.6773953846201407
CC24_321b,Support easier concealed carry permits,Guns,0.195,0.6448542441164414,-0.15150665957482767,-0.015251002636791373,0.47028114623985995
CC24_321d,Support increase police by 10%,Policing,0.152,0.6689782991982386,0.2134111493112837,-0.13905802554771085,0.566323522951216
CC24_321e,Oppose decrease police by 10% [rev],Policing,0.118,0.6629634737118402,0.2381623785746685,-0.10260916567130626,0.5340480027117875
CC24_325,Abortion weeks limit (high=restrictive),Abortion,0.253,0.38675575818155083,-0.050467028144553894,-0.4243938473352612,0.49805651321917666
CC24_324b,Support permit abortion only rape/incest/life,Abortion,0.109,0.3634834558868912,0.040922063890497386,-0.3009532406045,0.3247350661673179
CC24_340a,Oppose prohibit contraceptive restrictions [rev],CivRights,0.029,-0.09572197155978153,-0.02397460962176504,-0.7564851283423701,0.5144202476191733
CC24_340b,Oppose prohibit abortion restrictions [rev],CivRights,0.111,0.1616958814549744,-0.03922494524989648,-0.6786913065820237,0.5995672015959556
CC24_340c,Oppose require same-sex marriage recognition [rev],CivRights,0.198,0.4237873900444419,-0.0887956350744988,-0.45048745229518483,0.588848715551098
CC24_340e,Support renew post-9/11 surveillance programs,CivRights,0.0,0.0008397046617142922,0.29210769175893336,-0.12268081019633745,0.09499002489586292
CC24_340f,Support deny asylum at border,CivRights,0.23,0.8689876380877679,0.08106349750312362,0.035146233040229305,0.7184779973856691
CC24_440b,Agree: racial problems are rare/isolated,Racial/Gender,0.231,0.608105115937822,0.03165767680671796,-0.10184448618606967,0.4361831402615046
CC24_440c,Agree: women seek power over men,Racial/Gender,0.154,0.41267376292254093,-0.07799180366094288,-0.229903880299945,0.33051106265725244
CC24_421_1,Disagree: U.S. elections are fair (distrust),Elect Trust,0.011,-0.05913692900101737,-0.7302576066614591,-0.12960838338116698,0.5510619965270538
CC24_421_2,Disagree: state/local election fair (distrust),Elect Trust,0.007,-0.06385059466230726,-0.7049804915641674,-0.19640804673312873,0.5386812238377499
CC24_423,Low trust: federal government,Govt Trust,0.022,0.16379962031841652,-0.6702297544624748,0.18852939735357266,0.48671280859082394
CC24_424,Low trust: state government,Govt Trust,0.005,0.03709286609050519,-0.651779547114387,0.08885420378599246,0.42742887991542466
