,Label,Domain,PID_R2,F1,F2,F3,F4,F5,F6,F7,h2
pew_churatd,Church attendance frequency,Religion,0.059,-0.2131059270207562,0.10079670174769981,-0.060285030317835754,0.04528032909781695,0.6127846433569336,-0.0597413641113013,-0.018642287788370293,0.33608596362263077
CC24_302,HH income: change past year,Econ,0.059,0.2156677919700051,-0.12442685105214533,-0.0006472611617328338,-0.017884434227842045,0.18852462777619697,0.06515758768144393,0.1453400972043737,0.16573604856050683
CC24_303,Perceived price change past year (high=inflation),Econ,0.116,0.22301872433961614,-0.07796461102294837,0.061636853967159774,-0.061471878110571386,0.3762786288614514,0.005322788989220321,0.20258292638113545,0.29934338872486
CC24_341a,Support extend 2017 tax cuts,Tax,0.152,0.20040789776527013,-0.18384553839586104,0.1133035818642328,0.06783463935628416,0.4071203266213551,-0.10877704191958457,-0.16582264491621812,0.47115860923863356
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],Tax,0.182,0.11825107710030705,-0.022692649668888728,0.0034235986347593873,0.5573204375003702,0.14960504066176,-0.2619108631572704,0.042786019051655355,0.656714095494325
CC24_341d,Oppose $150B infrastructure spending [rev],Tax,0.066,0.05119204420724383,-0.10473426041903626,-0.12171181543614583,0.3728721798182897,0.12593563720695214,-0.06761562174399738,0.0146104884448393,0.3138526901823819
CC24_323a,Oppose grant legal status to immigrants [rev],Immigration,0.237,0.7285947980193769,0.044278232359086414,-0.0739629591721979,0.15356606382510513,-0.018311987425459822,-0.0654713827260568,0.13245901667061616,0.7292690540686898
CC24_323b,Support increase border patrols,Immigration,0.097,0.50191135595273,0.1210098336115731,-0.038682725725372735,-0.1890926696837492,0.08174801277710579,-0.3142301004312948,-0.08960538715327612,0.6061249832832403
CC24_323d,Oppose Dreamers citizenship pathway [rev],Immigration,0.204,0.7870231142794432,-0.03718204270731902,-0.09855112427710393,0.11715776374863889,-0.020524478721580638,0.0015638043200286486,0.09086482679766325,0.7624946822755764
CC24_321b,Support easier concealed carry permits,Guns,0.195,0.46630566854828503,-0.09684495936547852,0.06389469400569166,0.24745525133909943,0.18533529777080457,0.019655545833020538,-0.09086855633747849,0.515240033709833
CC24_321d,Support increase police by 10%,Policing,0.152,0.09777657465104664,-0.06672303871067153,-0.0011556772345409677,-0.06181973566156633,0.11004416566398817,-0.7191957805974556,-0.06840839046561205,0.7361771414490099
CC24_321e,Oppose decrease police by 10% [rev],Policing,0.118,-0.020745635458754515,0.03699332343204406,-0.02932609769358261,0.0656196778631706,-0.033178398851413354,-0.931723017222855,0.048303125552023554,0.8331309122735214
CC24_325,Abortion weeks limit (high=restrictive),Abortion,0.253,0.026284980139725293,-0.025858573469770812,-0.09096153962507912,0.01996459361058117,0.6584340460033695,-0.07384190798621003,0.0377538658007361,0.5842854309993027
CC24_324b,Support permit abortion only rape/incest/life,Abortion,0.109,0.17903830442101065,-0.12305785227029287,-0.06221547592007953,-0.061854751080967156,0.35724059117937995,-0.07113009533590384,-0.17262095645750733,0.3688939655176474
CC24_340a,Oppose prohibit contraceptive restrictions [rev],CivRights,0.029,0.002934165443788276,-0.02412720071800715,-1.0027551955257936,-0.0450532100533398,-0.00946283171237205,0.009642490067174568,-0.01507895858518428,0.9911196736446656
CC24_340b,Oppose prohibit abortion restrictions [rev],CivRights,0.111,0.0490275004009277,0.008393859609329288,-0.5607161899631934,0.18707540715952214,0.18804569218791484,-0.1041221618920655,-0.0037600418172112336,0.6254032607099542
CC24_340c,Oppose require same-sex marriage recognition [rev],CivRights,0.198,0.17882013846050238,0.012464866842569401,-0.2037682613296635,0.08513410091789042,0.5541941964524789,0.011666257167126527,0.04486061347042471,0.6293593488644107
CC24_340e,Support renew post-9/11 surveillance programs,CivRights,0.0,-0.043984855957220646,-0.12679654721020803,-0.011475135986468989,-0.39545054095846116,0.0266130670661747,-0.22780090340367976,-0.2893103252868999,0.31588763194510405
CC24_340f,Support deny asylum at border,CivRights,0.23,0.7216862733417163,0.02196744256361036,0.029892042168535225,-0.15866495836332362,0.1650047415091321,-0.1598120315352873,-0.06186309187853754,0.7860926529673647
CC24_440b,Agree: racial problems are rare/isolated,Racial/Gender,0.231,0.36354343829668273,-0.08199750344550785,0.00504685722912856,0.33425859320786416,0.06618071632005143,-0.12083736906654165,-0.2790711740775957,0.5297754893705136
CC24_440c,Agree: women seek power over men,Racial/Gender,0.154,0.3055466140670621,-0.2060155331018727,-0.072850398229289,0.17542753768553654,0.15271815583494575,0.010223581225863957,-0.25525275358456134,0.38950899948059403
CC24_421_1,Disagree: U.S. elections are fair (distrust),Elect Trust,0.011,0.0021645012588167984,-0.6874443880960095,0.00908091998912587,0.016184780366653006,0.07647524681497171,0.09020763282266624,0.15276367729344525,0.6064861501099887
CC24_421_2,Disagree: state/local election fair (distrust),Elect Trust,0.007,-0.04239546758458718,-0.9556758395934991,-0.03777286016547524,-0.011308264993944219,-0.03781982809603931,-0.022753846210949648,-0.006004209109430792,0.8898083610252852
CC24_423,Low trust: federal government,Govt Trust,0.022,0.11775951023966891,-0.19327303309210606,0.0680584613171465,0.04307321333416857,0.05427135004127426,-0.017043426255234893,0.6608409906560921,0.6133572746597636
CC24_424,Low trust: state government,Govt Trust,0.005,0.05515559259414961,-0.3610677245135245,0.002064123545401045,-0.0062592082803848426,-0.04798615270473641,-0.03703414177500511,0.4639770535353833,0.46707150770043987
