var_2024,label_2024,factor_2024,prior_wave,var_prior,label_prior,coverage,issue
pew_churatd,Church attendance frequency,F4,2022,pew_churatd,Church attendance (Pew version),exact,
pew_churatd,Church attendance frequency,F4,2020,pew_churatd,Church attendance (Pew version),exact,
pew_churatd,Church attendance frequency,F4,2018,pew_churatd,Church attendance (Pew version),exact,
CC24_302,Household income: change past year,econ,2022,CC22_303,Household income,exact,
CC24_302,Household income: change past year,econ,2020,CC20_303,Household income,exact,
CC24_302,Household income: change past year,econ,2018,CC18_302,Past year household income,exact,
CC24_303,Perceived price change past year (rev: high=inflation),econ,2022,CC22_304,Price change in past year,exact,
CC24_303,Perceived price change past year (rev: high=inflation),econ,2020,,,absent,
CC24_303,Perceived price change past year (rev: high=inflation),econ,2018,,,absent,
CC24_341a,Support extend 2017 tax cuts,econ,2022,,,absent,
CC24_341a,Support extend 2017 tax cuts,econ,2020,,,absent,
CC24_341a,Support extend 2017 tax cuts,econ,2018,,,absent,
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],econ,2022,,,absent,
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],econ,2020,,,absent,
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],econ,2018,,,absent,
CC24_341d,Oppose $150B infrastructure spending [rev],econ,2022,,,absent,
CC24_341d,Oppose $150B infrastructure spending [rev],econ,2020,,,absent,
CC24_341d,Oppose $150B infrastructure spending [rev],econ,2018,,,absent,
CC24_323a,Oppose grant legal status to working immigrants [rev],F5,2022,CC22_331a,"Immigration -- Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and ",exact,
CC24_323a,Oppose grant legal status to working immigrants [rev],F5,2020,CC20_331a,Immigration -- Grant legal status to all illegal immigrants who have held jobs a,exact,
CC24_323a,Oppose grant legal status to working immigrants [rev],F5,2018,CC18_322b,Immigration -- Provide legal status to children of immigrants who are already in,equivalent,SCOPE: narrower (children only vs all immigrants)
CC24_323b,Support increase border patrols,F1,2022,CC22_331b,Immigration -- Increase the number of border patrols on the US-Mexican border,exact,
CC24_323b,Support increase border patrols,F1,2020,CC20_331b,Immigration -- Increase the number of border patrols on the US-Mexican border.,exact,
CC24_323b,Support increase border patrols,F1,2018,CC18_322a,"Immigration -- Increase spending on border security by $25 billion, including building a wall",equivalent,COMPOUND: border patrols + wall + $25B amount conflated; 2024 just asks about patrols
CC24_323d,Oppose Dreamers pathway to citizenship [rev],F5,2022,,,absent,
CC24_323d,Oppose Dreamers pathway to citizenship [rev],F5,2020,CC20_350e,Roll Call Votes -- Provide permanent resident status to children of immigrants w,equivalent,FRAMING: roll-call vote on specific bill
CC24_323d,Oppose Dreamers pathway to citizenship [rev],F5,2018,CC18_322d_new,"Immigration -- Grant legal status to DACA children, spend $25 billion to build t",weak,
CC24_321b,Support easier concealed carry permits,F1,2022,CC22_330c,Gun control -- Make it easier for people to obtain concealed-carry permit,exact,
CC24_321b,Support easier concealed carry permits,F1,2020,CC20_330c,Gun Control -- Make it easier for people to obtain concealed-carry permit,exact,
CC24_321b,Support easier concealed carry permits,F1,2018,CC18_320d,Gun Control -- Make it easier for people to obtain a concealed-carry gun permit,exact,
CC24_321d,Support increase police by 10%,F1,2022,CC22_334c,"Policing policies -- Increase the number of police on the street by 10 percent, even if it means fewer funds for other programs",exact,MISSED in original crosswalk — exact same item as 2020/2024
CC24_321d,Support increase police by 10%,F1,2020,CC20_334c,"Policing policies -- Increase the number of police on the street by 10 percent, ",exact,
CC24_321d,Support increase police by 10%,F1,2018,,,absent,
CC24_321e,Oppose decrease police by 10% [rev],F1,2022,CC22_334d,"Policing policies -- Decrease the number of police on the street by 10 percent, and increase funding for other programs",exact,MISSED in original crosswalk — exact same item as 2020/2024
CC24_321e,Oppose decrease police by 10% [rev],F1,2020,CC20_334d,"Policing policies -- Decrease the number of police on the street by 10 percent, ",exact,
CC24_321e,Oppose decrease police by 10% [rev],F1,2018,,,absent,
CC24_325,Abortion weeks limit reversed (40-weeks; high=restrictive),,2022,,,absent,
CC24_325,Abortion weeks limit reversed (40-weeks; high=restrictive),,2020,,,absent,
CC24_325,Abortion weeks limit reversed (40-weeks; high=restrictive),,2018,,,absent,
CC24_324b,Support permit abortion only rape/incest/life danger,F4,2022,CC22_332b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's life is in danger",exact,
CC24_324b,Support permit abortion only rape/incest/life danger,F4,2020,CC20_332b,"Abortion -- Permit abortion only in case of rape, incest or when the woman's lif",exact,
CC24_324b,Support permit abortion only rape/incest/life danger,F4,2018,CC18_321b,"Abortion -- Permit abortion ONLY in case of rape, incest or when the woman's lif",exact,
CC24_340a,Oppose prohibit contraceptive restrictions [rev],,2022,,,absent,
CC24_340a,Oppose prohibit contraceptive restrictions [rev],,2020,,,absent,
CC24_340a,Oppose prohibit contraceptive restrictions [rev],,2018,,,absent,
CC24_340b,Oppose prohibit abortion service restrictions [rev],F4,2022,,,absent,
CC24_340b,Oppose prohibit abortion service restrictions [rev],F4,2020,,,absent,
CC24_340b,Oppose prohibit abortion service restrictions [rev],F4,2018,,,absent,
CC24_340c,Oppose require same-sex marriage recognition [rev],F4,2022,,,absent,
CC24_340c,Oppose require same-sex marriage recognition [rev],F4,2020,,,absent,
CC24_340c,Oppose require same-sex marriage recognition [rev],F4,2018,,,absent,
CC24_340e,Support renew post-9/11 surveillance programs,F1,2022,,,absent,
CC24_340e,Support renew post-9/11 surveillance programs,F1,2020,,,absent,
CC24_340e,Support renew post-9/11 surveillance programs,F1,2018,,,absent,
CC24_340f,Support deny asylum at border,F1,2022,,,absent,
CC24_340f,Support deny asylum at border,F1,2020,,,absent,
CC24_340f,Support deny asylum at border,F1,2018,,,absent,
CC24_440b,Agree: racial problems are rare/isolated,F5,2022,CC22_440b,"Racial/Sexual agreement -- Racial problems in the U.S. are rare, isolated situations.",exact,
CC24_440b,Agree: racial problems are rare/isolated,F5,2020,CC20_440b,"Racial/Sexual agreement -- Racial problems in the U.S. are rare, isolated situat",exact,
CC24_440b,Agree: racial problems are rare/isolated,F5,2018,CC18_422b,"Racism - Racial problems in the U.S. are rare, isolated situations.",exact,
CC24_440c,Agree: women seek to gain power over men,F5,2022,CC22_440c,Racial/Sexual agreement -- Women seek to gain power by getting control over men.,exact,
CC24_440c,Agree: women seek to gain power over men,F5,2020,CC20_440c,Racial/Sexual agreement -- Women seek to gain power by getting control over men.,exact,
CC24_440c,Agree: women seek to gain power over men,F5,2018,,,absent,
CC24_421_1,Disagree: U.S. elections are fair [high=distrust],F2,2022,,,absent,
CC24_421_1,Disagree: U.S. elections are fair [high=distrust],F2,2020,,,absent,
CC24_421_1,Disagree: U.S. elections are fair [high=distrust],F2,2018,,,absent,
CC24_421_2,Disagree: state/local election in 2024 was fair [high=distrust],F2,2022,,,absent,
CC24_421_2,Disagree: state/local election in 2024 was fair [high=distrust],F2,2020,,,absent,
CC24_421_2,Disagree: state/local election in 2024 was fair [high=distrust],F2,2018,,,absent,
CC24_423,Low trust: federal government [4-pt; high=less trust],F2F3,2022,CC22_423,trustfed,exact,
CC24_423,Low trust: federal government [4-pt; high=less trust],F2F3,2020,,,absent,
CC24_423,Low trust: federal government [4-pt; high=less trust],F2F3,2018,,,absent,
CC24_424,Low trust: state government [4-pt; high=less trust],F2F3,2022,CC22_424,truststate,exact,
CC24_424,Low trust: state government [4-pt; high=less trust],F2F3,2020,,,absent,
CC24_424,Low trust: state government [4-pt; high=less trust],F2F3,2018,,,absent,
