cluster,relig_church,econ_income,imm_border25b,imm_legalstatus,imm_sanctuary,imm_reducelegal,imm_dacawall,imm_deportprison,gun_assaultban,gun_concealcarry,abortion_alwaysallow,abortion_rapeincest,abortion_20wk,abortion_employer,abortion_funding,abortion_illegalall,race_whiteadv,race_problemsrare,gender_sexismcomp,gender_feministsreasonable,race_workedup,race_slavery,race_lessdeserve,race_tryharder,spend_welfare,spend_health,spend_education,spend_lawenforce,spend_transport,tax_corprate,tax_richcut,exec_cleanpower,exec_iran,exec_travelban,exec_transban,exec_twoforone
0,3.073004300469708,2.7815644490861398,0.5669856349078085,0.19645565596026177,0.41355710322973727,0.5014951847402994,0.3981843853970714,0.6006595550700097,0.3590417841705763,0.3912229964929791,0.531249229721473,0.482044798153175,0.7256361483602755,0.5577935944470833,0.5520049879071713,0.20687699715114413,2.706166779708403,2.4250140815546364,3.2839365842016925,3.153138253950874,3.6633104414686346,2.9864255644713635,3.145678445114152,3.247116887816853,3.0299868736282667,2.196105842551932,2.0725753538432508,3.6874300331901666,2.2767025936330687,0.5620933661188894,0.4871780018090081,0.49295625040137053,0.6487601596829231,0.6416855163798632,0.3621421580564552,0.5739229003021729
1,2.0089860871920227,3.1098776249270856,0.004417429376961751,0.001556901197188967,0.9875776888141996,0.03504272450765256,0.004349150023610455,0.09470509499736118,0.04373255256798423,0.03611373642398822,0.0016794845976500653,0.0076230694980694985,0.17926767659231688,0.018802133968500875,0.008505458181717175,0.0017231292186328157,1.2134018673092415,1.1814328247826449,1.747724525013194,1.6207061262187161,1.4839604629038083,1.2806781408849754,1.5042890475264574,1.2102538991972447,1.9918152967973113,1.2613386086497596,1.243250447904225,3.121961646898697,1.5785832511596902,0.05377013832949085,0.08137503124913198,0.03696272325768729,0.0502143690453043,0.01390499569456404,0.004388402405488736,0.04283250812477431
2,2.6097331181515266,2.9307956245596953,0.04449180505186606,0.018373585523857552,0.8691876529200745,0.10030737868612323,0.041114002080721405,0.31269565161218804,0.17854501038966838,0.1904265551929395,0.13817631207906395,0.33806272275505306,0.5844486983244469,0.21999255926675154,0.24698668279472805,0.10985184650710522,1.5787782105292238,1.5803434714909967,2.4191278407833043,2.315915150109228,2.2564526905041213,1.6700880350906069,2.0132736782705924,1.853691828945575,2.4934060726434506,1.6165216000533398,1.5700104228327114,3.4772003394260182,1.8904920052683825,0.27577300753372797,0.2905523662990962,0.20120533264982102,0.23821301203177447,0.08877956767190393,0.08130215177384739,0.22663877093436802
3,3.600467032719971,2.347144855474817,0.9792362681249935,0.511650929364513,0.04796695125670086,0.891081167665891,0.46790670697901376,0.928131573633277,0.7539672612259014,0.7641385957087137,0.9824375235119347,0.7299886091574526,0.9372313069826813,0.9520709364632048,0.9728695427930935,0.24706091618907003,4.128886127897216,3.252129835283021,3.8192234629165767,4.173557104467212,4.588632562813436,4.3943967986511785,4.413983581910179,4.076962736306259,4.113362066800816,3.112371006270511,2.775294730605348,4.035656572345632,2.1954970374816303,0.9063177305769667,0.7666108044705174,0.8330813753242325,0.9638252395049324,0.9816599843427012,0.8744810906524432,0.9180221629146263
4,2.8697565958753404,2.625102988958293,0.9334145051310385,0.5260212537754699,0.11560975176757443,0.8472160319593011,0.4073502442217603,0.8640492241650582,0.6235415549554282,0.6058676733003086,0.5811845789920402,0.5719393204347771,0.8436442644923726,0.6703201643572627,0.6895515793682278,0.26607095952041043,4.321902395559863,2.901634333595085,3.7840142233592995,3.9906848048420027,4.787956252243339,4.739010833421994,4.741787418988124,4.296934729048181,3.9150973917798613,2.6954308545930052,2.426023691679857,4.012595564289226,2.2246859197769426,0.667953396769689,0.5338566284682471,0.640573580142606,0.9045924992808181,0.9691397060487408,0.6486909266074509,0.7751319000039131
5,2.762548695318523,3.168058647420365,0.08520555618312936,0.03404320164557779,0.7981776703561991,0.24808002286558806,0.08869565367428568,0.39165847327756936,0.10901824763543744,0.15217806464276165,0.40040399079070826,0.38443496672942434,0.6431295383508778,0.2317025166708421,0.284569908312035,0.08651364015304343,2.1642612667934196,1.7785402545221454,2.746022985270043,2.5425041933795463,3.35845019604136,2.7728203805108453,2.869265848721171,2.8628850310107867,2.3612979112615764,1.199300981844649,1.191105719175997,4.107258310533059,1.6565415818995435,0.22459050940584685,0.24394032767508675,0.2099477124569169,0.2964269486107516,0.24834158214528645,0.09169112831967546,0.1910424273203099
6,3.0752496633111113,2.6337913750647908,0.46307336220218936,0.5760658711036708,0.3435481436189379,0.5130794427767148,0.5235176589195537,0.6580550118465391,0.6165148121948955,0.5479098201419667,0.4084377212320401,0.6293932997429793,0.7325815523551574,0.6063176181754719,0.599744446573194,0.3728241207221183,3.3727222040855254,2.86145209198569,3.403273973194119,3.4983086691498735,3.9281203575659984,3.519333066785024,3.7332216068912794,3.4156492826191784,3.6058632821615126,3.0026917052780795,2.763420279435553,3.411531478047997,2.5207736691653926,0.6590848721231193,0.6024430930175534,0.6341256796911349,0.7403427638200455,0.6994973579833146,0.5162991845822588,0.7182712094248622
7,2.9630386814405174,3.04673473456599,0.008784190735229179,0.22710648597868116,0.7970516363087355,0.21874442952939321,0.782166667322754,0.3601665010625141,0.12946110610297806,0.2112659142657538,0.3099604008863199,0.4778298916923371,0.6190829705749479,0.2672343442712348,0.2819613428733058,0.1700106355610276,1.9189919905634578,1.8333824163818668,2.8806441357026267,2.5224590954655643,3.0585296250044287,2.2731948433390894,2.426610483981706,2.646022223760811,2.3733115265352964,1.3602066072930818,1.3465581698961984,4.03650486704854,1.720502504208028,0.3401817886684153,0.32905573677715877,0.3138926639637414,0.36182952026973986,0.20019617782065244,0.14161102467482578,0.295592042757132
8,3.1765747811979863,2.4507413144079964,0.8003597784175551,0.9084891380822309,0.09572575647881214,0.865307467662149,0.8338570201921507,0.9045484580848724,0.7507986864616571,0.7094202703173663,0.8056057735693078,0.6348352547766075,0.897105033923205,0.8276842921182828,0.8322338221876568,0.26316597675260067,4.363775805996608,3.1854728094379556,3.8732837284493415,4.113437724823806,4.779490560480368,4.701902317709384,4.722162964012088,4.344148187425028,4.0333916211371035,2.9378154784259873,2.671492344893704,3.9707183024740247,2.2573293691872394,0.7642675452422707,0.6322678286916792,0.7186495928152722,0.9036620057925218,0.9515605936455266,0.7813088039766821,0.8306244532472987
9,2.117854829706496,3.109156181400469,0.0005736212980234157,0.0988363518348297,0.9685182609790797,0.07316960311907218,0.8984704324352506,0.12861022904443487,0.03829393808484675,0.049559477963827946,0.0228562592982419,0.024444425465369398,0.21740884552085254,0.04087395921195651,0.022850905499460346,0.0228562592982419,1.243703645822246,1.19392593682237,1.8422774703096803,1.7980107323270145,1.6452753936731097,1.3515221423557249,1.526018251100046,1.3161453872498259,1.9313664666342971,1.1741288636421867,1.1945451928814361,3.2768678798459683,1.4757491398548634,0.09140604395443304,0.12224214033657801,0.06027905783849041,0.08373851179945384,0.024858325099743183,0.010243856611501718,0.07849089669373606
