,F1,F2,h2
relig_church,-0.20172396959639757,0.4703519639026607,0.11378867949334148
econ_income,0.20152231717856414,-0.5619652368027175,0.17960513328816638
imm_legalstatus,0.2741380441082905,0.4227254968542787,0.4347759906326879
imm_border,0.10477571092286363,0.8561843019752157,0.8840864547487529
gun_concealcarry,0.03762542296869837,0.6504753433986357,0.4627448977846995
abortion_rapeincest,-0.004345377786531143,0.482730039312609,0.22977219325069198
race_problemsrare,0.2172842113386797,0.4785249103627388,0.43853252066271947
race_whiteadv,0.677905040293279,0.2017155665583624,0.7137381080558759
race_workedup,0.6089430289815003,0.26856700181966014,0.6982723424148204
race_slavery,0.9444553426092976,-0.05828955585657324,0.8094429592312722
