,F1,F2,F3,F4,F5,h2
relig_church,-0.17763062961714102,-0.0380867022446315,0.6032124278046015,-0.016376350398640282,0.03607091884669365,0.27606186836093527
econ_income,0.04382424024813462,-0.03291251658105961,-0.09985196390523197,-0.2706397257115421,-0.16461771331177816,0.16266501081149987
imm_legalstatus,0.43077380399872206,0.04272769034798605,0.0589997737298999,0.4046513993389185,-0.1923261463673688,0.5402970112618118
imm_border,0.34619407359172444,-0.006421291216091656,0.11625928359691975,0.3351117585759218,0.45485942547932967,0.9233943045959261
imm_dreamers,0.008248554216521355,-0.031549070123745596,0.02048281204447019,0.0797041398308476,-0.9255528154296189,0.8072472280918721
imm_reducelegal,0.35776441401605263,0.0014643880510916106,0.06112990983559574,0.20259473690720947,0.397789802902083,0.6353795868436705
gun_concealcarry,0.0838204787468995,0.009165130473748754,0.07485132785002935,0.6182951665240689,0.1213207055874504,0.5826843411315548
gun_assaultban,0.11878405815953481,0.05247026287105576,0.027953160668254422,0.7218169860126059,-0.006385173335710476,0.6890672465227845
gun_bgchecks,-0.01716842660729805,0.08285269323112801,-0.0030414498483540466,0.7873694528299914,-0.1362175041168588,0.6235516806111736
abortion_rapeincest,0.15388506613515965,-0.04459781728866623,0.5211581086947988,-0.0965990651466072,0.07836529802174713,0.36233416875696234
abortion_20wk,0.19992831657403254,0.028089356852198582,0.6030105053959481,-0.13046465772656105,0.06777437014377191,0.5039414347188647
abortion_alwaysallow,0.0167571510717613,0.025578116205363398,0.9737471678530001,0.0016607008219614488,-0.09348126440025752,0.9120898155005697
abortion_employer,0.04208317047544648,0.09389939325493986,0.6723592868495849,0.13300515206048885,0.09274397157438033,0.7289782996458747
abortion_illegalall,-0.16406076351048945,-0.019864940660977905,0.5547869783345629,0.14508271386232938,0.07452251877423324,0.33973974819361086
race_problemsrare,0.32115332169198757,0.12833741359767212,0.10378414234797814,0.2153146390807755,0.10422753073536334,0.43107331617761
race_whiteadv,0.6816721750793434,0.06300343839111038,0.06282953055711012,0.11699909076339077,0.03149920939786057,0.6885679358082938
race_workedup,0.7696164583043323,-0.02605629862621093,0.057941597792769514,0.03862567471163214,0.10106357964861805,0.7532193853808863
race_slavery,0.8807422302996264,0.0461351527551032,0.0064668060311503395,-0.009812182271359864,-0.022647006173838583,0.7832921751451554
race_lessdeserve,0.8751038964950416,0.06802726759135418,-0.014087042684022633,-0.0004721672743110505,-0.03614465520761986,0.7673552064923389
race_tryharder,0.7255641518079582,-0.01920206354073483,0.06278016853973536,0.02060598656590109,0.0895105351868059,0.6603733442023866
spend_welfare,0.40179665492398475,0.33917356489949724,0.08476299749381755,0.05226895084292243,0.022343160577577372,0.4793766248448519
spend_health,0.12130837095021492,0.6335389069748116,0.12182321193981369,0.15322166273564386,0.0568577626701039,0.7015039679832156
spend_education,0.13179184684102452,0.7036399775619969,0.032185848112926074,0.08150477058010923,0.08818561862206947,0.6878208203743633
spend_lawenforce,0.3772443080709604,-0.5596396323620059,0.183030332597563,-0.0008707590975391579,0.11779902641271836,0.44020934398750794
spend_transport,0.06484632032296739,0.5669233364066537,0.1307819743757457,-0.1779915277105522,-0.012590080580950895,0.32887913894211757
tax18_corp,-0.005036452534057258,0.04503487561693099,0.25909874490572066,0.40950180289495863,0.33437558510005594,0.6204437956176161
tax18_richcut,-0.08417604523614305,0.04169522623871377,0.22501306986102332,0.4094093915624898,0.25709607668086504,0.43161422366848595
