,F1,F2,F3,F4,h2
relig_church,-0.2312689777291095,0.023920294191419937,0.11567780812967043,0.533700832426326,0.22740895279170217
econ_income,-0.1773394300739427,-0.06279371495850042,-0.028008692996258994,-0.1099751488435676,0.09581942501886048
imm_legalstatus,0.4348495713449522,0.17631480776274838,0.25420638774542487,0.011777113159182217,0.5135806306657487
imm_border,0.3791663255938177,-0.06048726515096349,0.3403588241983642,0.27939516427287064,0.6948010581274516
imm_sanctuary,-0.5889634248770789,0.045682112881154834,-0.04600957269417609,-0.2801768186261786,0.661886852100451
imm_reducelegal,0.5389367333519407,-0.12754242499273705,0.12478821917574175,0.23610384926932326,0.5775548345395325
imm_border25b,0.5900851670620328,-0.022875489715893742,0.23548869482827922,0.25027033632656653,0.8702456216176024
gun_registry,-0.5433014515444291,-0.058304095625544644,0.12388693371888199,-0.05587923962998948,0.2909878081475406
gun_assaultban,0.7061933619716969,0.22053989069996724,0.04459673369230767,-0.10330898452987407,0.6141743233084741
gun_concealcarry,0.8014201980728037,0.05537422442120733,-0.12908655207616127,0.03709126550125909,0.6048929398048072
police_mandatorymin,-0.15951576255882824,0.08247687461897486,0.6008846197499174,0.126945340658508,0.37142403476661257
police_increase,0.2094259941017034,-0.14937073484531233,0.5126718356202169,0.27355105330747437,0.6648065301276675
police_decrease,-0.01538969412942336,0.10991599389677538,0.8230098174241388,0.06958502071982509,0.7923084429079081
police_chokeholds,0.37279279239840085,0.2676440790922863,0.39252339358042393,-0.14561156585504245,0.550424977679846
police_registry,0.25258186150240797,0.2543193449245867,0.4140093747826531,-0.1514765270667645,0.4251295634773141
police_enddod,0.0037708528788773905,0.1181695953621229,0.7620116113844032,0.021793399725317596,0.6695841580508269
police_civilsuits,0.1890366879491816,0.21810081550653168,0.5394012813768656,-0.09975110488622113,0.5151587091170773
abortion_alwaysallow,-0.04641481223515488,0.18620069132274147,0.22711320632817936,0.6524804667149775,0.6925147102734459
abortion_rapeincest,0.07445724231054382,-0.10883215530660874,0.14284093405423312,0.4469365393963394,0.32157008720440783
abortion_20wk,0.024177894529121592,0.005389749258649079,0.13262337680053246,0.6761825202246406,0.5963290980984621
abortion_employer,0.13725401057051298,0.1334628718150296,-0.015451566774573995,0.749541379850882,0.778994915793395
abortion_funding,0.19050920096933882,0.09512565267303932,-0.02640680999569821,0.7628738305927167,0.8376051956084458
abortion_illegalall,0.08415249864672446,-0.011585593833202687,-0.15086808196901547,0.6308845399318771,0.3794062121646384
abortion_statereqs,-0.04836189660097777,0.15415924588490773,0.2338960619993051,-0.23611950627365955,0.0778977707876899
race_whiteadv,0.4437992516100482,0.1749107815120881,0.34952691284787013,0.056334001654423614,0.692008751385127
race_problemsrare,0.531443980916781,0.13785702933677443,0.1705021863495572,0.07168291050806427,0.5817741945705694
gender_womenpower,0.4302508666940672,-0.01146300871679213,0.043800340343508874,0.16699190034777697,0.33368003469650986
gender_womenoffended,0.4622398392760357,-0.005303005845344804,0.1371824888603731,0.14308756919190754,0.43266124743071366
race_workedup,0.46598309733820625,0.039983873623458795,0.35886191598531325,0.11284422937243553,0.6958236811360897
race_slavery,0.38084845150014995,0.1373250762612298,0.4435701563665133,0.045697211830468015,0.6874871811876266
spend_welfare,0.072028097030614,0.47940129460427355,0.27441412708428387,0.1449845637088451,0.5462770678446526
spend_health,0.14532936565171148,0.689008267908924,0.0640305369172335,0.1848187041816744,0.7571172109764338
spend_education,0.17119902686826563,0.6370909412738621,0.002903302464619215,0.14234357615714527,0.6177911175184162
spend_lawenforce,0.1505104351145444,-0.38800824240803944,0.6890449403972185,0.14330002648590867,0.6968981551424412
spend_transport,-0.16132804254355707,0.5207135406567316,-0.016875426949885378,0.1670123177039188,0.26159887302671203
exec_paris,0.5984171532820983,0.09711627503737029,0.08736549636069803,0.2676195194245579,0.804825406332514
exec_cleanpower,0.41575877475020123,-0.026966150366922712,0.03540839678064793,0.2823642278255258,0.42246338219784885
exec_transban,0.4424880956746926,0.05276579953888748,0.07274840482639494,0.3725961884976536,0.6539111968930748
exec_workreqs,0.13106829327523112,0.04664288355904445,0.3069351635787195,0.3342785341114602,0.4579431982068175
