cluster,relig_church,econ_income,econ_price,imm_legalstatus,imm_border,imm_reducelegal,imm_border25b,gun_registry,gun_assaultban,gun_concealcarry,gun_redflag,gun_bgchecks,gun_teacherscarry,abortion_alwaysallow,abortion_rapeincest,abortion_20wk,abortion_employer,abortion_funding,abortion_illegalall,race_whiteadv,race_problemsrare,gender_womenpower,gender_womenoffended,race_workedup,race_slavery,spend_welfare,spend_health,spend_education,spend_lawenforce,spend_transport,health_singlepayer,health_drugnegotiate,health_acarepeal,health_drugimport,env_eparegulate,env_renewables,env_epaenforce,env_fuelefficiency,env_fossilfuel,trust_fed,trust_state
0,2.3496845065442415,2.9968300245857695,4.59339744072508,0.09922615965982684,0.5717370842200029,0.23485640154863716,0.1706841182585907,0.6617837317097786,0.0,0.006648063028128289,0.11228269399255222,0.0008642730032654618,0.1824769884190603,0.12304688785028002,0.35673065295143935,0.32632796374008244,0.09661502526134087,0.10620831453111564,0.042987676097612636,1.7725849198734818,1.7424109543188595,2.1640532467046136,2.3681372930873255,2.531424021156134,2.0598161074605543,2.3119646529275784,1.6118681677730462,1.70691042745739,3.2167459572182815,1.9566015050855974,7.72147927953311e-05,0.012466685532210402,0.14273973621661692,0.2535344197253027,0.0,0.02722315807081635,0.0867441809450523,0.10938546131906214,0.46791190237583974,2.5230648345031352,2.5549571713823824
1,3.4269188997499467,2.974696451468642,4.418352641771401,0.1845503798124049,0.7602910654270902,0.5182079096473056,0.515257993997391,0.4479262775428091,0.1362554543786788,0.37903596239587434,0.15815247951672234,0.021647825730552687,0.46528457812271345,0.5167973743100601,0.6789672614410338,0.7200722923959936,0.6338898157552545,0.6541535857520455,0.2707939770653633,2.1984336305434877,2.538278363672293,2.9494852126049556,3.1425599546817065,3.3781917654088662,2.5005283382428147,2.363615174391391,1.9204150408521845,1.9677768682462466,3.72786141347418,2.1897752152515064,0.06867609333572523,0.04644891009202941,0.5165916597573725,0.34616861475174193,0.03409267575836137,0.12218676824914693,0.19270030452471196,0.20590497626206372,0.6833471018476474,2.3121645978533953,2.2856683602958103
2,2.938744413169611,3.1156544801665804,4.320825299215673,0.33557348084488914,0.5694777055151323,0.3940137206100435,0.3356420496038671,0.3961109688017814,0.6462484715646349,0.5433508097051019,0.5646272487996336,0.30647798059108144,0.4803108245674625,0.4423949333141595,0.5330784552224941,0.5008725799701143,0.4390458725758807,0.4414623513866414,0.32826652078797874,2.593578390061399,2.7455950242608282,3.0073839096666273,3.14898762467992,3.2432856692882854,2.7066526156099124,2.554896456428771,2.2086815613049313,2.2316668978276333,3.3644986726982182,2.380825140172133,0.32487002091247663,0.3004304795007755,0.5013458404568832,0.41171917694754634,0.5937705150068664,0.5684996625455544,0.5471037083163344,0.4826570827564806,0.5369689540130307,2.775064578779808,2.7129130375208295
3,2.0786123616542787,3.146208818147447,4.635612608335834,0.16428136920281425,0.5684051768025119,0.25794712213077586,0.15905786395011753,0.47209604924602633,0.30129482669777924,0.3145881741084624,0.3199746832227364,0.020259746505897083,0.3154470096921435,0.021983520859525537,0.37650590178002324,0.28437338638727827,0.02329055924838017,0.02774102585079275,0.040297711184584264,2.0543660697771853,1.865081967501542,2.1059495245073094,2.365220460931587,2.653323854521262,2.3328594666246514,2.46641197111968,1.719049558806939,1.7652058649409847,3.2335045158034394,2.0242170548585023,0.1876476796215666,0.027519987202824364,0.2089734846177072,0.28779400170933195,0.09775725208368176,0.2612380812905543,0.24329828927407096,0.19551207292841954,0.521875160037893,2.6622684508142767,2.6299092978102796
4,2.2189934148034056,3.4143843966865273,4.8456026570819395,0.5175190538533462,0.9907467662658151,0.6915052530762283,0.9569535100430203,0.2711865897259219,0.5744603924431513,0.5721687483279836,0.6257988454275344,0.08609211718970775,0.7406268585800723,0.3464873342651445,0.6349982048481485,0.6652258035674686,0.27142423685177847,0.3498164793383971,0.028422239428245316,3.682248140650353,2.9275074524672537,2.800261427923597,3.3390379334917646,4.337565386927523,4.0863543173902634,3.3205162374055517,2.2499825536199056,2.2031951125940923,4.107519447602875,2.2570981504692034,0.5036174478054471,0.1022301663471029,0.6778322228135518,0.3615302852663748,0.49008425538390815,0.590731982449481,0.6839810617974629,0.3827646720131634,0.8499630653279773,3.236929314747762,2.8007147306240356
5,3.389632014674491,3.559790608217902,4.963229897444614,0.8033134597407544,0.9920330939805685,0.7333037727976289,0.9924842142216185,0.06819676077928641,0.9755535658550614,0.9172749754763524,0.9523459248365929,0.39243838301023043,0.9648328370583279,0.9311313839012116,0.7148192588072684,0.9088757529659419,0.9204311292608282,0.9782204764496737,0.2841722313223336,4.457156462995528,3.830595113159726,3.1231285397894126,3.7666856592559452,4.599413391821004,4.5331776524769785,4.137862881948207,3.347038162505467,3.113536722706853,4.1926354971899,2.4695980835104683,0.9991537069819723,0.42619492803974673,0.9462390549700425,0.19590211441842492,0.9907190325481163,0.97924414722399,0.9872050035779306,0.7779335866613938,0.9803376288481012,4.0,3.030047098158402
6,1.8798567672180557,2.7693460241613277,4.4498474434895865,0.0193911891991151,0.3930154853702704,0.054884471168474426,0.0004163396322576677,0.7749510765444648,0.0,0.0,0.0004667824810648233,0.0,0.018158438652316106,0.00021635150429231975,0.14493884922987232,0.07663818056782085,0.001943783051413443,0.00014328244309772027,0.00020956751123841496,1.2895980245947256,1.3162269414663124,1.3946526259821883,1.4718009043690943,1.553933700290536,1.3679854708162382,2.023062544379023,1.4216491303511132,1.4266609005909368,2.794939894265768,1.7357542820239562,0.0,0.0,0.010993000282007889,0.10722763660557431,0.0,0.0,0.004508897515530103,0.0334960232247838,0.2054189431944908,1.9102473737091497,2.2730485637713094
7,3.6443064715664226,3.3256783423128966,4.850494530194435,0.5251638232588717,0.9795054976735116,0.68751797223051,0.9329410588521082,0.22809135127200023,0.5093141605262623,0.5632100485274617,0.6263021029468969,0.08424364538540903,0.7598216722341457,0.9856234371191487,0.7488060424291263,0.9357106005345053,0.9709486123588392,0.9870752883262305,0.30965859900438575,3.6628603262083037,3.098795456125344,3.0128121251008886,3.5248381425478024,4.245662693776666,3.930785747280773,3.369168724439631,2.4399072557474137,2.3226681772100575,4.1187765303248245,2.3350785694720226,0.5945178987454999,0.15909916680131597,0.7431668994838848,0.3750450827577787,0.5504621134459877,0.6517771957827927,0.7596999922714728,0.40101893745538086,0.8673601312436462,3.2743422025449602,2.6701496171571644
8,1.6939104366113837,2.9015173243472527,4.595749036582116,0.027788016475340457,0.23248745838823787,0.04228219734276481,0.0,0.7535119296641285,0.0,0.0,0.0017920784256999227,0.0,0.026650200364619597,0.0,0.11238617261865633,0.059307222633560155,0.0002933448425440895,0.0,0.0,1.2464190763207752,1.2598746788351654,1.374823504206446,1.3769265773332637,1.4599850250937665,1.308417211459233,1.9453921300014265,1.3484510326935562,1.422761613971781,2.2289412139357774,1.7456933680479993,0.0,0.00016631433138347216,0.01940560063534591,0.1334604392210733,0.0,0.0,0.003783460549001985,0.03348500722543087,0.17054190478778405,3.0,2.8118588959046593
9,3.651623364014866,3.352992516836153,4.906429649005744,0.7324567538414385,0.9914559949764736,0.617303631020689,0.9955496849235463,0.07581861637301027,0.9362668914921753,0.8734933688722828,0.9115218809876621,0.25282160737026943,0.9386872257542274,0.9463972171356233,0.7304696366882115,0.9162085374598685,0.9156807013334313,0.9603029750839717,0.24805784487869642,4.148466564347965,3.6276132280550044,2.943634973059463,3.5077072983848123,4.365156391140053,4.214608547762385,3.822296551822003,3.0749936215563745,2.7618763090106495,4.157815301769034,2.425210937645745,0.9997216506477009,0.3574252992566096,0.8979750622238941,0.23290852221361832,0.9759289176708981,0.9526501090910846,0.9681046482333007,0.7357805984521085,0.9733821271068764,3.0,2.5703209483871166
