wave,kind,wave_cluster,matched_2024_cluster,match_dist,wave_share_pct,ref2024_share_pct
2018,midterm,0,1,0.546,15.12,18.22
2018,midterm,1,8,1.114,13.23,4.55
2018,midterm,2,4,0.089,13.12,10.26
2018,midterm,3,5,0.272,13.06,8.14
2018,midterm,4,3,0.653,12.16,11.07
2018,midterm,5,7,0.61,10.74,5.2
2018,midterm,6,6,0.929,9.15,5.65
2018,midterm,7,9,0.503,6.94,3.47
2018,midterm,8,0,0.643,3.42,20.77
2018,midterm,9,2,0.92,3.05,12.67
2020,presidential,0,5,0.978,22.72,8.14
2020,presidential,1,0,0.941,15.69,20.77
2020,presidential,2,7,1.494,12.31,5.2
2020,presidential,3,1,0.409,10.02,18.22
2020,presidential,4,3,0.686,9.72,11.07
2020,presidential,5,6,0.26,9.55,5.65
2020,presidential,6,2,0.952,6.17,12.67
2020,presidential,7,9,0.211,6.0,3.47
2020,presidential,8,4,0.805,5.08,10.26
2020,presidential,9,8,0.678,2.75,4.55
2022,midterm,0,7,0.72,23.07,5.2
2022,midterm,1,5,0.521,15.91,8.14
2022,midterm,2,0,0.964,12.73,20.77
2022,midterm,3,1,0.618,11.96,18.22
2022,midterm,4,3,1.052,8.46,11.07
2022,midterm,5,2,0.708,7.01,12.67
2022,midterm,6,9,0.522,6.52,3.47
2022,midterm,7,8,0.954,6.24,4.55
2022,midterm,8,4,0.398,4.97,10.26
2022,midterm,9,6,0.558,3.14,5.65
2024,presidential,0,0,0.0,20.77,20.77
2024,presidential,1,1,0.0,18.22,18.22
2024,presidential,2,2,0.0,12.67,12.67
2024,presidential,3,3,0.0,11.07,11.07
2024,presidential,4,4,0.0,10.26,10.26
2024,presidential,5,5,0.0,8.14,8.14
2024,presidential,6,6,0.0,5.65,5.65
2024,presidential,7,7,0.0,5.2,5.2
2024,presidential,8,8,0.0,4.55,4.55
2024,presidential,9,9,0.0,3.47,3.47
