wave,kind,ref2024_cluster,projected_share_pct,ref2024_share_pct,ari_indep_vs_proj
2018,midterm,0,30.46,20.77,0.288
2018,midterm,1,13.71,18.22,0.288
2018,midterm,2,7.11,12.67,0.288
2018,midterm,3,11.38,11.07,0.288
2018,midterm,4,6.82,10.26,0.288
2018,midterm,5,4.6,8.14,0.288
2018,midterm,6,4.57,5.65,0.288
2018,midterm,7,13.92,5.2,0.288
2018,midterm,8,6.89,4.55,0.288
2018,midterm,9,0.54,3.47,0.288
2020,presidential,0,23.09,20.77,0.405
2020,presidential,1,15.03,18.22,0.405
2020,presidential,2,10.37,12.67,0.405
2020,presidential,3,11.36,11.07,0.405
2020,presidential,4,8.12,10.26,0.405
2020,presidential,5,7.18,8.14,0.405
2020,presidential,6,5.84,5.65,0.405
2020,presidential,7,9.58,5.2,0.405
2020,presidential,8,7.69,4.55,0.405
2020,presidential,9,1.72,3.47,0.405
2022,midterm,0,23.27,20.77,0.63
2022,midterm,1,16.84,18.22,0.63
2022,midterm,2,12.41,12.67,0.63
2022,midterm,3,9.93,11.07,0.63
2022,midterm,4,8.84,10.26,0.63
2022,midterm,5,7.08,8.14,0.63
2022,midterm,6,5.58,5.65,0.63
2022,midterm,7,7.22,5.2,0.63
2022,midterm,8,6.38,4.55,0.63
2022,midterm,9,2.45,3.47,0.63
2024,presidential,0,20.77,20.77,1.0
2024,presidential,1,18.22,18.22,1.0
2024,presidential,2,12.67,12.67,1.0
2024,presidential,3,11.07,11.07,1.0
2024,presidential,4,10.26,10.26,1.0
2024,presidential,5,8.14,8.14,1.0
2024,presidential,6,5.65,5.65,1.0
2024,presidential,7,5.2,5.2,1.0
2024,presidential,8,4.55,4.55,1.0
2024,presidential,9,3.47,3.47,1.0
