,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
C0,0.0,1.664,1.882,1.4847,1.9028,1.6308,1.1501,1.5212,2.8151,2.6523
C1,1.664,0.0,1.3812,2.4521,0.9672,1.8959,1.6199,1.9017,1.396,1.3382
C2,1.882,1.3812,0.0,2.1485,1.9966,1.5266,2.1419,2.6922,1.3499,1.9563
C3,1.4847,2.4521,2.1485,0.0,2.89,0.9794,2.0169,2.9863,3.1739,3.1715
C4,1.9028,0.9672,1.9966,2.89,0.0,2.5653,1.3051,1.6491,1.9745,1.1569
C5,1.6308,1.8959,1.5266,0.9794,2.5653,0.0,2.1508,2.9625,2.3737,2.6753
C6,1.1501,1.6199,2.1419,2.0169,1.3051,2.1508,0.0,1.6135,2.7627,2.0278
C7,1.5212,1.9017,2.6922,2.9863,1.6491,2.9625,1.6135,0.0,3.1686,2.7759
C8,2.8151,1.396,1.3499,3.1739,1.9745,2.3737,2.7627,3.1686,0.0,1.43
C9,2.6523,1.3382,1.9563,3.1715,1.1569,2.6753,2.0278,2.7759,1.43,0.0
