cluster,weighted_n,weighted_pct,f1_mean,f2_mean,f3_mean,f4r_mean,f5r_mean,pid3_dem_pct,pid3_rep_pct,pid3_ind_pct,pid3_other_pct,ideo_vlib_pct,ideo_lib_pct,ideo_mod_pct,ideo_con_pct,ideo_vcon_pct,mean_max_prob
0,8767.1,19.21,0.7674,-0.0235,0.1108,0.0476,0.0087,10.32,58.32,25.11,6.25,1.13,2.96,30.51,38.47,21.61,0.7368
1,6430.3,14.09,-0.4143,-0.0321,0.0915,-0.2524,-0.3299,54.02,6.98,29.84,9.17,12.93,31.54,40.08,6.2,1.57,0.7522
2,5657.2,12.4,-0.446,0.6579,0.1333,0.2639,0.1898,35.88,17.04,29.35,17.72,6.33,14.76,41.94,14.01,4.54,0.7999
3,4447.7,9.75,0.7366,0.4278,-0.2078,0.2931,1.0938,1.18,59.66,30.61,8.55,0.46,0.51,18.03,38.07,41.02,0.801
4,4203.3,9.21,-0.4623,-0.7437,-0.0862,-0.22,-0.6883,68.92,3.63,24.11,3.34,21.35,40.23,33.56,2.39,0.54,0.7565
5,4108.6,9.0,0.2023,0.7593,-0.2061,0.1019,0.876,9.67,45.82,32.7,11.81,2.62,3.21,31.77,31.63,21.41,0.8037
6,3914.0,8.58,0.2658,-0.8166,-0.1744,0.0704,-0.1115,25.34,43.8,26.88,3.98,4.07,8.94,39.59,29.95,12.58,0.6503
7,2814.9,6.17,0.7235,-0.6288,0.2912,-0.2935,-1.0933,44.73,26.34,25.43,3.5,4.92,19.69,47.75,16.89,6.13,0.6985
8,2734.7,5.99,-1.3034,0.504,0.0761,-0.0965,-0.1373,61.79,0.02,24.82,13.38,54.45,28.66,11.23,0.65,0.36,0.8127
9,2553.4,5.6,-1.26,-0.6338,-0.2057,-0.1061,-0.2779,74.47,0.16,19.74,5.62,50.98,35.65,12.24,0.17,0.07,0.7647
