state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,n_respondents,n_irv_rounds,r1_pct_BE,r1_pct_CON_ref,r1_pct_LK,r1_pct_MRJ,r1_pct_SD_lib
1,AL,CON_ref,CON_ref,LK,CTR,661,3,18.44,21.72,18.79,19.82,21.24
2,AK,SD_lib,SD_lib,LK,CTR,105,4,14.75,17.93,27.09,13.88,26.35
4,AZ,CON_ref,CON_ref,BE,NAT,1159,4,25.49,16.78,14.18,14.18,29.37
5,AR,CON_ref,CON_ref,LK,CTR,390,4,18.09,19.48,20.42,13.43,28.58
6,CA,SD_lib,SD_lib,MRJ,STY,3626,3,12.96,15.11,16.08,14.91,40.95
8,CO,SD_lib,SD_lib,LK,CTR,785,3,18.69,18.54,11.37,10.57,40.83
9,CT,SD_lib,SD_lib,LK,CTR,465,4,9.75,21.97,15.65,9.75,42.88
10,DE,SD_lib,SD_lib,LK,CTR,164,4,10.99,21.63,26.98,6.34,34.06
11,DC,SD_lib,SD_lib,none,none,122,1,0.0,11.51,19.39,5.17,63.94
12,FL,SD_lib,SD_lib,LK,CTR,3350,4,11.24,21.6,21.42,20.13,25.6
13,GA,SD_lib,SD_lib,LK,CTR,1489,4,13.6,19.39,19.97,15.47,31.56
15,HI,SD_lib,SD_lib,LK,CTR,153,4,6.55,23.47,19.46,18.05,32.47
16,ID,CON_ref,CON_ref,BE,NAT,244,4,25.92,25.06,12.84,10.31,25.86
17,IL,SD_lib,SD_lib,LK,CTR,1758,4,11.62,18.01,23.22,11.52,35.63
18,IN,CON_ref,CON_ref,LK,CTR,978,4,13.93,26.53,17.75,10.37,31.42
19,IA,CON_ref,CON_ref,BE,NAT,490,4,16.84,21.85,15.11,14.64,31.56
20,KS,CON_ref,CON_ref,BE,NAT,385,4,20.06,17.83,15.0,13.59,33.52
21,KY,CON_ref,CON_ref,BE,NAT,674,4,18.6,25.16,16.47,15.82,23.95
22,LA,CON_ref,CON_ref,LK,CTR,493,4,20.13,19.46,22.96,17.35,20.1
23,ME,SD_lib,SD_lib,LK,CTR,236,4,12.61,17.47,16.25,12.0,41.66
24,MD,SD_lib,SD_lib,MRJ,STY,791,3,11.2,17.26,17.59,12.91,41.04
25,MA,SD_lib,SD_lib,MRJ,STY,906,2,12.43,18.01,13.28,10.08,46.2
26,MI,CON_ref,CON_ref,BE,NAT,1531,4,19.45,21.46,16.87,11.07,31.16
27,MN,SD_lib,SD_lib,LK,CTR,811,4,13.42,20.44,18.34,6.5,41.31
28,MS,CON_ref,CON_ref,SD_lib,SD_lib,349,4,15.03,20.79,18.85,24.72,20.61
29,MO,CON_ref,CON_ref,MRJ,STY,1047,4,17.94,19.12,14.38,19.76,28.8
30,MT,CON_ref,CON_ref,BE,NAT,185,4,26.56,18.33,10.09,15.06,29.95
31,NE,CON_ref,CON_ref,LK,CTR,286,4,17.44,16.0,21.68,12.97,31.9
32,NV,SD_lib,SD_lib,MRJ,STY,573,4,13.97,21.18,13.84,19.62,31.39
33,NH,SD_lib,SD_lib,MRJ,STY,252,2,11.06,16.21,18.49,6.97,47.27
34,NJ,SD_lib,SD_lib,LK,CTR,1241,4,15.67,18.25,17.79,8.57,39.72
35,NM,SD_lib,SD_lib,MRJ,STY,309,3,11.65,17.75,16.61,16.48,37.51
36,NY,SD_lib,SD_lib,LK,CTR,2585,4,11.38,15.27,18.82,15.38,39.15
37,NC,CON_ref,CON_ref,BE,NAT,1444,4,19.18,18.36,17.56,13.86,31.05
38,ND,CON_ref,CON_ref,BE,NAT,90,4,24.81,27.01,14.96,5.29,27.93
39,OH,CON_ref,CON_ref,LK,CTR,1978,4,15.68,20.42,21.33,16.73,25.84
40,OK,CON_ref,CON_ref,LK,CTR,537,4,20.01,23.21,20.76,14.94,21.08
41,OR,SD_lib,SD_lib,MRJ,STY,810,3,20.38,14.36,9.69,12.2,43.36
42,PA,SD_lib,SD_lib,LK,CTR,2418,4,14.48,20.44,16.1,12.38,36.6
44,RI,SD_lib,SD_lib,MRJ,STY,176,3,7.37,22.05,12.23,10.4,47.95
45,SC,CON_ref,CON_ref,MRJ,STY,736,4,13.67,23.99,15.36,17.87,29.11
46,SD,CON_ref,CON_ref,LK,CTR,137,4,19.46,16.03,28.06,13.71,22.75
47,TN,CON_ref,CON_ref,BE,NAT,1065,4,22.17,26.17,18.63,14.95,18.07
48,TX,CON_ref,CON_ref,MRJ,STY,3392,4,14.37,19.46,20.21,21.03,24.94
49,UT,SD_lib,SD_lib,MRJ,STY,387,4,14.04,16.18,17.64,21.29,30.86
50,VT,SD_lib,SD_lib,none,none,105,1,6.13,12.98,18.5,6.67,55.72
51,VA,SD_lib,SD_lib,LK,CTR,1234,4,15.54,16.65,18.92,11.75,37.14
53,WA,SD_lib,SD_lib,MRJ,STY,1112,2,13.51,15.76,15.96,9.97,44.81
54,WV,CON_ref,CON_ref,LK,CTR,335,4,16.32,19.46,26.75,13.98,23.49
55,WI,CON_ref,CON_ref,LK,CTR,1088,4,15.28,23.08,16.55,12.83,32.26
56,WY,CON_ref,CON_ref,BE,NAT,70,3,14.85,38.7,12.94,15.06,18.45
