candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON_ctr,CTR_con,408.89121590645766,317.3168829746161,91.57,12.6099,7,True,CON_ctr,1,AL
CON_ctr,DSA,508.7384244213728,217.46967445970083,291.27,40.1082,5,True,CON_ctr,1,AL
CON_ctr,NAT,542.3647886263899,183.84331025468387,358.52,49.369,2,True,CON_ctr,1,AL
CON_ctr,STY_ctr,403.0084611380405,323.19963774303324,79.81,10.9898,8,True,CON_ctr,1,AL
CTR_con,DSA,510.6287626450955,215.57933623597816,295.05,40.6288,4,True,CON_ctr,1,AL
CTR_con,NAT,515.5569946663803,210.6511042146934,304.91,41.986,3,True,CON_ctr,1,AL
CTR_con,STY_ctr,388.9647345745283,337.2433643065454,51.72,7.1221,10,True,CON_ctr,1,AL
DSA,NAT,326.33437521671704,399.87372366435665,73.54,10.1265,9,True,CON_ctr,1,AL
DSA,STY_ctr,133.93014866706253,592.2779502140112,458.35,63.1152,1,True,CON_ctr,1,AL
NAT,STY_ctr,229.90907449167005,496.29902438940366,266.39,36.6823,6,True,CON_ctr,1,AL
CON_ctr,CTR_sty,55.573640061329996,75.06469790344343,19.49,14.9199,7,True,CTR_sty,2,AK
CON_ctr,LIB_sd,60.85024071748138,69.78809724729204,8.94,6.8417,9,True,CTR_sty,2,AK
CON_ctr,NAT,99.4886489562054,31.149689008568018,68.34,52.3116,1,True,CTR_sty,2,AK
CON_ctr,SD_lib,61.832760055719646,68.8055779090538,6.97,5.3375,10,True,CTR_sty,2,AK
CTR_sty,LIB_sd,76.08376907598169,54.554568888791735,21.53,16.48,6,True,CTR_sty,2,AK
CTR_sty,NAT,96.15337792604774,34.48496003872568,61.67,47.2055,2,True,CTR_sty,2,AK
CTR_sty,SD_lib,70.79083949370968,59.84749847106376,10.94,8.3768,8,True,CTR_sty,2,AK
LIB_sd,NAT,89.82534337257377,40.81299459219964,49.01,37.5176,4,True,CTR_sty,2,AK
LIB_sd,SD_lib,35.04595390554281,95.59238405923062,60.55,46.3466,3,True,CTR_sty,2,AK
NAT,SD_lib,42.58801128052561,88.0503266842478,45.46,34.8001,5,True,CTR_sty,2,AK
CON_ctr,NAT,722.6479179201269,437.4573295642982,285.19,24.5832,4,True,CON_ctr,4,AZ
CON_ctr,PRG,767.611536981924,392.4937105025011,375.12,32.3348,3,True,CON_ctr,4,AZ
CON_ctr,REF_nat,638.5534218855549,521.5518255988702,117.0,10.0854,8,True,CON_ctr,4,AZ
CON_ctr,STY_sd,623.2414631909411,536.8637842934841,86.38,7.4457,10,True,CON_ctr,4,AZ
NAT,PRG,635.3123996030541,524.7928478813708,110.52,9.5267,9,True,CON_ctr,4,AZ
NAT,REF_nat,368.54297913614215,791.5622683482828,423.02,36.4639,2,True,CON_ctr,4,AZ
NAT,STY_sd,468.6495172046324,691.4557302797928,222.81,19.2057,6,True,CON_ctr,4,AZ
PRG,REF_nat,457.9242885162022,702.1809589682229,244.26,21.0547,5,True,CON_ctr,4,AZ
PRG,STY_sd,318.08771128061954,842.0175362038054,523.93,45.1623,1,True,CON_ctr,4,AZ
REF_nat,STY_sd,519.9260251218273,640.1792223625978,120.25,10.3657,7,True,CON_ctr,4,AZ
CON,CTR_sty,177.3463533983313,234.83560532162934,57.49,13.9475,8,True,CTR_sty,5,AR
CON,NAT_ref,291.82747425710613,120.35448446285447,171.47,41.6013,2,True,CTR_sty,5,AR
CON,SD_lib,235.5990524941339,176.58290622582672,59.02,14.318,7,True,CTR_sty,5,AR
CON,SD_sty,231.59367118488072,180.5882875350799,51.01,12.3745,9,True,CTR_sty,5,AR
CTR_sty,NAT_ref,294.1236505092022,118.05830821075841,176.07,42.7154,1,True,CTR_sty,5,AR
CTR_sty,SD_lib,257.5000277735883,154.68193094637232,102.82,24.9448,4,True,CTR_sty,5,AR
CTR_sty,SD_sty,269.60956148771254,142.57239723224808,127.04,30.8207,3,True,CTR_sty,5,AR
NAT_ref,SD_lib,167.3517350789097,244.83022364105085,77.48,18.7972,6,True,CTR_sty,5,AR
NAT_ref,SD_sty,162.8634508864132,249.31850783354741,86.46,20.975,5,True,CTR_sty,5,AR
SD_lib,SD_sty,192.3390927367336,219.84286598322703,27.5,6.6727,10,True,CTR_sty,5,AR
CTR_con,LIB_sd,1935.8474752143409,2030.3248004355537,94.48,2.3821,10,True,SD_lib,6,CA
CTR_con,REF,2823.330517388391,1142.8417582615036,1680.49,42.3705,2,True,SD_lib,6,CA
CTR_con,SD_lib,1753.0239056727564,2213.1483699771384,460.12,11.6012,6,True,SD_lib,6,CA
CTR_con,STY_sd,1796.8245603226549,2169.3477153272397,372.52,9.3925,8,True,SD_lib,6,CA
LIB_sd,REF,2445.857824761244,1520.314450888651,925.54,23.3359,5,True,SD_lib,6,CA
LIB_sd,SD_lib,1377.2469586173415,2588.925317032553,1211.68,30.5503,4,True,SD_lib,6,CA
