state_fips,state_abbr,pod,bench,retail_2028
1,AL,D,True,False
2,AK,B,True,False
4,AZ,C,False,False
5,AR,B,True,False
6,CA,D,False,False
8,CO,B,False,False
9,CT,A,False,False
10,DE,Retail,False,True
11,DC,A,True,False
12,FL,B,False,False
13,GA,C,False,False
15,HI,A,True,False
16,ID,B,True,False
17,IL,A,False,False
18,IN,C,False,False
19,IA,Retail,False,True
20,KS,D,True,False
21,KY,B,True,False
22,LA,B,True,False
23,ME,C,True,False
24,MD,B,False,False
25,MA,B,False,False
26,MI,D,False,False
27,MN,C,False,False
28,MS,Retail,False,True
29,MO,D,False,False
30,MT,C,True,False
31,NE,C,True,False
32,NV,Retail,False,True
33,NH,Retail,False,True
34,NJ,D,False,False
35,NM,A,True,False
36,NY,C,False,False
37,NC,D,False,False
38,ND,A,True,False
39,OH,C,False,False
40,OK,B,True,False
41,OR,D,True,False
42,PA,B,False,False
44,RI,B,True,False
45,SC,D,False,False
46,SD,D,True,False
47,TN,B,False,False
48,TX,A,False,False
49,UT,A,False,False
50,VT,A,True,False
51,VA,A,False,False
53,WA,A,False,False
54,WV,A,True,False
55,WI,D,True,False
56,WY,D,True,False
72,PR,Retail,False,True
