state_abbr,state_fips,senate_cond_mixed,senate_irv_mixed,senate_cond_pure,senate_irv_pure,pres_irv_mixed,pres_irv_pure,house_CON,house_SD,house_STY,house_NAT,house_LIB,house_REF,house_CTR,house_BD,house_DSA,house_PRG,house_total_seats
AK,2,CTR,CTR,SD,SD,STY/SD,CTR,0,1,1,0,0,0,0,0,0,0,2
AL,1,CON/STY,CON/STY,CON,CON,CON/SD,SD,2,3,3,0,0,2,2,0,1,0,13
AR,5,CON/STY,CON/STY,CTR,CTR,SD/CTR,SD,2,2,1,0,0,1,2,0,0,0,8
AZ,4,STY,STY/SD,CTR,CTR,STY/SD,STY,3,3,3,2,3,3,1,0,0,1,19
CA,6,SD/STY,SD/STY,SD,SD,CON/SD,STY,16,20,20,1,17,13,15,0,1,1,104
CO,8,CON/SD,CON/SD,STY,STY,SD/CON,STY,3,3,3,0,3,3,0,0,0,0,15
CT,9,CON/STY,CON/STY,SD,SD,CON/STY,SD,2,3,2,0,1,1,0,0,0,0,9
DC,11,SD/STY,SD/STY,CTR,CTR,SD/CTR,LIB,0,1,0,0,1,0,0,0,0,0,2
DE,10,SD/CON,SD/CON,SD,SD,SD/CTR,CTR,1,1,1,0,0,0,0,0,0,0,3
FL,12,CON/CTR,CON/CTR,CTR,SD,SD/CTR,SD,10,11,11,0,3,10,10,0,1,1,57
GA,13,CON/SD,CON/SD,STY,CON,CON/SD,CON,4,4,4,2,4,4,4,0,2,0,28
HI,15,SD/STY,SD/STY,CTR,CTR,SD/CON,STY,1,1,1,0,1,0,0,0,0,0,4
IA,19,SD/STY,SD/STY,CTR,CTR,CON/STY,CTR,2,2,2,0,1,0,1,0,0,0,8
ID,16,CON/REF,CON/CTR,CTR,CTR,CON/SD,CTR,1,1,1,0,0,1,1,0,0,0,5
IL,17,SD,SD,SD,SD,SD/CTR,CON,6,6,6,0,6,5,3,0,1,1,34
IN,18,CON/REF,CON/REF,CON,CON,SD/CTR,CON,4,4,4,0,1,3,2,0,0,0,18
KS,20,CON/REF,CON/REF,SD,SD,SD/CTR,CTR,2,1,2,0,1,1,1,0,0,0,8
