state_fips,state_abbr,district_id,seat_count,density_tier
1,AL,01-01,7,URBAN
1,AL,01-02,6,SUBURBAN
2,AK,02-01,2,SUBURBAN
4,AZ,04-01,7,URBAN
4,AZ,04-02,7,URBAN
4,AZ,04-03,5,SUBURBAN
5,AR,05-01,4,URBAN
5,AR,05-02,4,SUBURBAN
6,CA,06-01,7,URBAN
6,CA,06-02,7,URBAN
6,CA,06-03,7,URBAN
6,CA,06-04,7,URBAN
6,CA,06-05,7,URBAN
6,CA,06-06,7,URBAN
6,CA,06-07,7,URBAN
6,CA,06-08,7,URBAN
6,CA,06-09,7,URBAN
6,CA,06-10,7,URBAN
6,CA,06-11,7,SUBURBAN
6,CA,06-12,7,SUBURBAN
6,CA,06-13,7,SUBURBAN
6,CA,06-14,7,SUBURBAN
6,CA,06-15,6,RURAL
8,CO,08-01,5,URBAN
8,CO,08-02,5,URBAN
8,CO,08-03,5,SUBURBAN
9,CT,09-01,5,URBAN
9,CT,09-02,4,SUBURBAN
10,DE,10-01,3,URBAN
11,DC,11-01,2,URBAN
12,FL,12-01,7,URBAN
12,FL,12-02,7,URBAN
12,FL,12-03,7,URBAN
12,FL,12-04,7,URBAN
12,FL,12-05,7,URBAN
12,FL,12-06,7,URBAN
12,FL,12-07,5,SUBURBAN
12,FL,12-08,5,SUBURBAN
12,FL,12-09,5,SUBURBAN
13,GA,13-01,7,URBAN
13,GA,13-02,7,URBAN
13,GA,13-03,7,SUBURBAN
13,GA,13-04,7,RURAL
15,HI,15-01,4,URBAN
16,ID,16-01,5,SUBURBAN
17,IL,17-01,7,URBAN
17,IL,17-02,7,URBAN
17,IL,17-03,7,URBAN
17,IL,17-04,7,SUBURBAN
17,IL,17-05,6,SUBURBAN
18,IN,18-01,7,URBAN
18,IN,18-02,6,SUBURBAN
18,IN,18-03,5,RURAL
19,IA,19-01,4,URBAN
19,IA,19-02,4,SUBURBAN
20,KS,20-01,4,URBAN
20,KS,20-02,4,SUBURBAN
21,KY,21-01,7,URBAN
21,KY,21-02,5,SUBURBAN
22,LA,22-01,7,URBAN
22,LA,22-02,5,SUBURBAN
23,ME,23-01,4,RURAL
24,MD,24-01,6,URBAN
24,MD,24-02,5,URBAN
24,MD,24-03,5,SUBURBAN
25,MA,25-01,7,URBAN
25,MA,25-02,6,URBAN
25,MA,25-03,5,SUBURBAN
26,MI,26-01,7,URBAN
26,MI,26-02,7,URBAN
26,MI,26-03,7,SUBURBAN
26,MI,26-04,6,RURAL
27,MN,27-01,5,URBAN
27,MN,27-02,5,SUBURBAN
27,MN,27-03,5,RURAL
28,MS,28-01,4,SUBURBAN
28,MS,28-02,4,RURAL
29,MO,29-01,6,URBAN
29,MO,29-02,5,SUBURBAN
29,MO,29-03,5,RURAL
30,MT,30-01,3,SUBURBAN
31,NE,31-01,5,SUBURBAN
32,NV,32-01,4,URBAN
32,NV,32-02,4,SUBURBAN
33,NH,33-01,4,SUBURBAN
34,NJ,34-01,7,URBAN
34,NJ,34-02,7,URBAN
34,NJ,34-03,5,URBAN
34,NJ,34-04,5,SUBURBAN
35,NM,35-01,6,URBAN
36,NY,36-01,7,URBAN
36,NY,36-02,7,URBAN
36,NY,36-03,7,URBAN
36,NY,36-04,7,URBAN
36,NY,36-05,7,URBAN
36,NY,36-06,7,SUBURBAN
36,NY,36-07,6,SUBURBAN
36,NY,36-08,5,RURAL
37,NC,37-01,7,URBAN
37,NC,37-02,7,SUBURBAN
37,NC,37-03,7,RURAL
37,NC,37-04,6,RURAL
38,ND,38-01,2,SUBURBAN
39,OH,39-01,7,URBAN
39,OH,39-02,7,URBAN
39,OH,39-03,7,SUBURBAN
39,OH,39-04,5,SUBURBAN
39,OH,39-05,5,RURAL
40,OK,40-01,5,URBAN
40,OK,40-02,5,SUBURBAN
41,OR,41-01,6,URBAN
41,OR,41-02,5,SUBURBAN
42,PA,42-01,7,URBAN
42,PA,42-02,7,URBAN
42,PA,42-03,7,SUBURBAN
42,PA,42-04,7,SUBURBAN
42,PA,42-05,6,RURAL
44,RI,44-01,3,URBAN
45,SC,45-01,7,URBAN
45,SC,45-02,6,SUBURBAN
46,SD,46-01,2,SUBURBAN
47,TN,47-01,7,URBAN
47,TN,47-02,6,SUBURBAN
47,TN,47-03,5,RURAL
48,TX,48-01,7,URBAN
48,TX,48-02,7,URBAN
48,TX,48-03,7,URBAN
48,TX,48-04,7,URBAN
48,TX,48-05,7,URBAN
48,TX,48-06,7,URBAN
48,TX,48-07,7,SUBURBAN
48,TX,48-08,7,SUBURBAN
48,TX,48-09,7,SUBURBAN
48,TX,48-10,7,RURAL
48,TX,48-11,7,RURAL
49,UT,49-01,5,URBAN
49,UT,49-02,4,SUBURBAN
50,VT,50-01,2,RURAL
51,VA,51-01,7,URBAN
51,VA,51-02,6,URBAN
51,VA,51-03,5,SUBURBAN
51,VA,51-04,5,RURAL
53,WA,53-01,7,URBAN
53,WA,53-02,7,URBAN
53,WA,53-03,6,SUBURBAN
54,WV,54-01,5,SUBURBAN
55,WI,55-01,6,URBAN
55,WI,55-02,5,SUBURBAN
55,WI,55-03,5,RURAL
56,WY,56-01,2,SUBURBAN
