from_party,C0 Conservative,C1 Social Democrat,C2 Solidarity,C3 Nationalist,C4 Liberal,C5 Populist,C6 Civic Union Party,C7 Blue Dogs,C8 DSA,C9 Progressive
C0 Conservative,0.0,0.826,2.1055,1.6977,0.1924,3.9271,3.0832,0.0,0.116,0.0605
C1 Social Democrat,0.4492,0.0,3.2698,0.3746,2.2576,1.2514,1.1725,0.0,1.1022,0.2115
C2 Solidarity,0.6613,3.4201,0.0,0.5253,0.7101,4.1324,2.0691,0.0,0.7874,0.0515
C3 Nationalist,2.6301,0.0061,0.7116,0.0,0.3505,6.028,1.8274,0.0,0.6133,0.1384
C4 Liberal,0.1942,3.4169,0.7549,0.2692,0.0,0.2702,2.1515,0.0,1.2122,0.507
C5 Populist,1.8799,0.5392,3.8434,1.8516,1.1942,0.0,1.2397,0.0,0.4914,0.4871
C6 Civic Union Party,1.8024,1.696,1.9458,0.9,1.7406,2.5397,0.0,0.0,0.0673,0.0109
C7 Blue Dogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8 DSA,0.1176,3.8558,3.4208,0.364,2.149,0.6526,0.9504,0.0,0.0,0.8437
C9 Progressive,0.0228,0.6478,0.4477,0.2471,5.83,0.0101,0.4672,0.0,2.2086,0.0
