state_fips,state_abbr,district_id,seat_count,density_tier
1,AL,01-01,7,URBAN
1,AL,01-02,7,SUBURBAN
1,AL,01-03,7,RURAL
1,AL,01-04,5,RURAL
2,AK,02-01,4,SUBURBAN
4,AZ,04-01,9,URBAN
4,AZ,04-02,9,URBAN
4,AZ,04-03,7,URBAN
4,AZ,04-04,7,SUBURBAN
4,AZ,04-05,5,SUBURBAN
5,AR,05-01,6,URBAN
5,AR,05-02,5,SUBURBAN
5,AR,05-03,5,RURAL
6,CA,06-01,9,URBAN
6,CA,06-02,9,URBAN
6,CA,06-03,9,URBAN
6,CA,06-04,9,URBAN
6,CA,06-05,9,URBAN
6,CA,06-06,9,URBAN
6,CA,06-07,9,URBAN
6,CA,06-08,9,URBAN
6,CA,06-09,9,URBAN
6,CA,06-10,9,URBAN
6,CA,06-11,9,URBAN
6,CA,06-12,9,URBAN
6,CA,06-13,9,URBAN
6,CA,06-14,7,URBAN
6,CA,06-15,7,URBAN
6,CA,06-16,7,URBAN
6,CA,06-17,7,URBAN
6,CA,06-18,7,SUBURBAN
6,CA,06-19,7,SUBURBAN
6,CA,06-20,7,SUBURBAN
6,CA,06-21,7,SUBURBAN
6,CA,06-22,7,SUBURBAN
6,CA,06-23,7,SUBURBAN
6,CA,06-24,7,SUBURBAN
6,CA,06-25,7,SUBURBAN
6,CA,06-26,5,RURAL
8,CO,08-01,9,URBAN
8,CO,08-02,9,URBAN
8,CO,08-03,7,SUBURBAN
8,CO,08-04,5,RURAL
9,CT,09-01,9,URBAN
9,CT,09-02,5,URBAN
9,CT,09-03,5,SUBURBAN
10,DE,10-01,5,URBAN
11,DC,11-01,4,URBAN
12,FL,12-01,9,URBAN
12,FL,12-02,9,URBAN
12,FL,12-03,9,URBAN
12,FL,12-04,9,URBAN
12,FL,12-05,9,URBAN
12,FL,12-06,9,URBAN
12,FL,12-07,7,URBAN
12,FL,12-08,7,URBAN
12,FL,12-09,7,URBAN
12,FL,12-10,7,SUBURBAN
12,FL,12-11,7,SUBURBAN
12,FL,12-12,7,SUBURBAN
12,FL,12-13,6,SUBURBAN
12,FL,12-14,5,SUBURBAN
12,FL,12-15,5,RURAL
13,GA,13-01,9,URBAN
13,GA,13-02,9,URBAN
13,GA,13-03,7,URBAN
13,GA,13-04,7,URBAN
13,GA,13-05,7,SUBURBAN
13,GA,13-06,7,SUBURBAN
13,GA,13-07,5,RURAL
13,GA,13-08,5,RURAL
15,HI,15-01,8,URBAN
16,ID,16-01,10,SUBURBAN
17,IL,17-01,9,URBAN
17,IL,17-02,9,URBAN
17,IL,17-03,9,URBAN
17,IL,17-04,9,URBAN
17,IL,17-05,7,URBAN
17,IL,17-06,7,SUBURBAN
17,IL,17-07,7,SUBURBAN
17,IL,17-08,5,SUBURBAN
17,IL,17-09,5,RURAL
18,IN,18-01,9,URBAN
18,IN,18-02,7,URBAN
18,IN,18-03,7,SUBURBAN
18,IN,18-04,7,SUBURBAN
18,IN,18-05,5,RURAL
19,IA,19-01,7,URBAN
19,IA,19-02,5,SUBURBAN
19,IA,19-03,5,RURAL
20,KS,20-01,5,URBAN
20,KS,20-02,5,SUBURBAN
20,KS,20-03,5,RURAL
21,KY,21-01,7,URBAN
21,KY,21-02,6,SUBURBAN
21,KY,21-03,5,RURAL
21,KY,21-04,5,RURAL
22,LA,22-01,9,URBAN
22,LA,22-02,5,URBAN
22,LA,22-03,5,SUBURBAN
22,LA,22-04,5,RURAL
23,ME,23-01,7,RURAL
24,MD,24-01,9,URBAN
24,MD,24-02,9,URBAN
24,MD,24-03,7,SUBURBAN
24,MD,24-04,7,RURAL
25,MA,25-01,9,URBAN
25,MA,25-02,9,URBAN
25,MA,25-03,7,URBAN
25,MA,25-04,7,SUBURBAN
25,MA,25-05,5,SUBURBAN
26,MI,26-01,9,URBAN
26,MI,26-02,9,URBAN
26,MI,26-03,7,URBAN
26,MI,26-04,7,SUBURBAN
26,MI,26-05,7,SUBURBAN
26,MI,26-06,7,RURAL
26,MI,26-07,6,RURAL
27,MN,27-01,9,URBAN
27,MN,27-02,7,URBAN
27,MN,27-03,7,SUBURBAN
27,MN,27-04,7,RURAL
28,MS,28-01,5,URBAN
28,MS,28-02,5,SUBURBAN
28,MS,28-03,5,RURAL
29,MO,29-01,9,URBAN
29,MO,29-02,7,URBAN
29,MO,29-03,6,SUBURBAN
29,MO,29-04,5,SUBURBAN
29,MO,29-05,5,RURAL
30,MT,30-01,6,SUBURBAN
31,NE,31-01,10,SUBURBAN
32,NV,32-01,9,URBAN
32,NV,32-02,7,SUBURBAN
33,NH,33-01,7,SUBURBAN
34,NJ,34-01,9,URBAN
34,NJ,34-02,9,URBAN
34,NJ,34-03,9,URBAN
34,NJ,34-04,7,URBAN
34,NJ,34-05,7,SUBURBAN
34,NJ,34-06,7,SUBURBAN
35,NM,35-01,6,URBAN
35,NM,35-02,5,SUBURBAN
36,NY,36-01,9,URBAN
36,NY,36-02,9,URBAN
36,NY,36-03,9,URBAN
36,NY,36-04,9,URBAN
36,NY,36-05,9,URBAN
36,NY,36-06,9,URBAN
36,NY,36-07,7,URBAN
36,NY,36-08,7,URBAN
36,NY,36-09,7,SUBURBAN
36,NY,36-10,7,SUBURBAN
36,NY,36-11,7,SUBURBAN
36,NY,36-12,6,SUBURBAN
36,NY,36-13,5,RURAL
36,NY,36-14,5,RURAL
37,NC,37-01,9,URBAN
37,NC,37-02,9,URBAN
37,NC,37-03,7,URBAN
37,NC,37-04,7,SUBURBAN
37,NC,37-05,7,SUBURBAN
37,NC,37-06,5,RURAL
37,NC,37-07,5,RURAL
37,NC,37-08,5,RURAL
38,ND,38-01,4,SUBURBAN
39,OH,39-01,9,URBAN
39,OH,39-02,9,URBAN
39,OH,39-03,9,URBAN
39,OH,39-04,7,URBAN
39,OH,39-05,7,SUBURBAN
39,OH,39-06,7,SUBURBAN
39,OH,39-07,7,RURAL
39,OH,39-08,6,RURAL
40,OK,40-01,9,URBAN
40,OK,40-02,7,SUBURBAN
40,OK,40-03,5,RURAL
41,OR,41-01,9,URBAN
41,OR,41-02,7,URBAN
41,OR,41-03,6,SUBURBAN
42,PA,42-01,9,URBAN
42,PA,42-02,9,URBAN
42,PA,42-03,9,URBAN
42,PA,42-04,7,URBAN
42,PA,42-05,7,SUBURBAN
42,PA,42-06,7,SUBURBAN
42,PA,42-07,7,SUBURBAN
42,PA,42-08,7,RURAL
42,PA,42-09,6,RURAL
44,RI,44-01,6,URBAN
45,SC,45-01,9,URBAN
45,SC,45-02,7,SUBURBAN
45,SC,45-03,6,RURAL
45,SC,45-04,5,RURAL
46,SD,46-01,5,SUBURBAN
47,TN,47-01,9,URBAN
47,TN,47-02,7,URBAN
47,TN,47-03,7,SUBURBAN
47,TN,47-04,7,SUBURBAN
47,TN,47-05,6,RURAL
48,TX,48-01,9,URBAN
48,TX,48-02,9,URBAN
48,TX,48-03,9,URBAN
48,TX,48-04,9,URBAN
48,TX,48-05,9,URBAN
48,TX,48-06,9,URBAN
48,TX,48-07,9,URBAN
48,TX,48-08,9,URBAN
48,TX,48-09,7,URBAN
48,TX,48-10,7,URBAN
48,TX,48-11,7,URBAN
48,TX,48-12,7,SUBURBAN
48,TX,48-13,7,SUBURBAN
48,TX,48-14,7,SUBURBAN
48,TX,48-15,7,SUBURBAN
48,TX,48-16,7,SUBURBAN
48,TX,48-17,7,SUBURBAN
48,TX,48-18,7,RURAL
48,TX,48-19,5,RURAL
48,TX,48-20,5,RURAL
49,UT,49-01,7,URBAN
49,UT,49-02,5,URBAN
49,UT,49-03,5,SUBURBAN
50,VT,50-01,3,RURAL
51,VA,51-01,9,URBAN
51,VA,51-02,9,URBAN
51,VA,51-03,7,URBAN
51,VA,51-04,7,SUBURBAN
51,VA,51-05,7,SUBURBAN
51,VA,51-06,6,RURAL
53,WA,53-01,9,URBAN
53,WA,53-02,9,URBAN
53,WA,53-03,7,URBAN
53,WA,53-04,5,SUBURBAN
53,WA,53-05,5,SUBURBAN
53,WA,53-06,5,RURAL
54,WV,54-01,9,SUBURBAN
55,WI,55-01,9,URBAN
55,WI,55-02,7,URBAN
55,WI,55-03,5,SUBURBAN
55,WI,55-04,5,SUBURBAN
55,WI,55-05,5,RURAL
56,WY,56-01,3,SUBURBAN
