district_id,state_fips,state_abbr,density_tier,seat_count,quota,total_weight,n_ballots,elected_party_0,elected_party_1,elected_party_2,elected_party_3,elected_party_4,elected_party_5,elected_party_6,round_elim_c0,round_elim_c1,round_elim_c2,round_elim_c3,round_elim_c4,round_elim_c5,round_elim_c6,round_elim_c7,round_elim_c8,round_elim_c9
01-01,1,AL,URBAN,5,26.0,152.2818,135,2,6,8.0,1.0,5.0,,,4.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,-1.0,1.0
01-02,1,AL,SUBURBAN,5,55.0,328.0166,300,0,2,5.0,6.0,1.0,,,-1.0,-1.0,-1.0,3.0,2.0,-1.0,-1.0,,4.0,1.0
01-03,1,AL,RURAL,3,62.0,245.9098,226,0,2,1.0,,,,,-1.0,-1.0,-1.0,,2.0,5.0,4.0,,1.0,3.0
02-01,2,AK,SUBURBAN,2,44.0,130.6383,105,1,2,,,,,,5.0,-1.0,-1.0,2.0,4.0,,6.0,,3.0,1.0
04-01,4,AZ,URBAN,7,31.0,245.614,259,0,2,1.0,4.0,5.0,3.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,1.0,-1.0
04-02,4,AZ,URBAN,7,24.0,186.4324,216,5,0,3.0,2.0,6.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
04-03,4,AZ,SUBURBAN,5,122.0,728.0588,684,0,5,1.0,2.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,2.0,,3.0,1.0
05-01,5,AR,URBAN,5,25.0,144.5966,131,0,5,6.0,2.0,1.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
05-02,5,AR,SUBURBAN,3,67.0,267.5854,259,0,1,6.0,,,,,-1.0,-1.0,3.0,4.0,2.0,,-1.0,,5.0,1.0
06-01,6,CA,URBAN,7,12.0,92.6979,106,2,1,4.0,6.0,0.0,5.0,9.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,,-1.0
06-02,6,CA,URBAN,7,16.0,120.1875,89,1,2,5.0,4.0,6.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,1.0,2.0
06-03,6,CA,URBAN,5,17.0,99.803,104,1,2,4.0,6.0,5.0,,,,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,1.0,3.0
06-04,6,CA,URBAN,5,18.0,102.7901,104,2,1,5.0,0.0,4.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,1.0,,,2.0
06-05,6,CA,URBAN,5,26.0,152.3659,105,2,1,0.0,6.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,3.0,-1.0,,2.0,1.0
06-06,6,CA,URBAN,5,20.0,114.5469,110,1,2,0.0,4.0,6.0,,,-1.0,-1.0,-1.0,1.0,-1.0,4.0,-1.0,,3.0,2.0
06-07,6,CA,URBAN,5,15.0,88.3906,91,0,1,2.0,5.0,6.0,,,-1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,,3.0,4.0
06-08,6,CA,URBAN,5,18.0,104.7264,103,2,1,5.0,4.0,6.0,,,,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,3.0,1.0
06-09,6,CA,URBAN,5,15.0,85.646,94,1,2,6.0,4.0,5.0,,,,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,,3.0,1.0
06-10,6,CA,URBAN,5,17.0,101.3532,95,1,2,8.0,6.0,0.0,,,-1.0,-1.0,-1.0,,3.0,1.0,-1.0,,-1.0,2.0
06-11,6,CA,URBAN,5,15.0,84.6787,90,1,0,5.0,2.0,6.0,,,-1.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,1.0,4.0
06-12,6,CA,URBAN,5,18.0,106.1016,101,2,1,4.0,0.0,6.0,,,-1.0,-1.0,-1.0,1.0,-1.0,3.0,-1.0,,,2.0
06-13,6,CA,URBAN,5,21.0,124.8146,109,1,6,4.0,0.0,2.0,,,-1.0,-1.0,-1.0,1.0,-1.0,3.0,-1.0,,,2.0
06-14,6,CA,SUBURBAN,5,64.0,383.9737,346,1,2,0.0,4.0,6.0,,,-1.0,-1.0,-1.0,,-1.0,2.0,-1.0,,1.0,3.0
06-15,6,CA,SUBURBAN,5,52.0,311.4159,315,1,0,4.0,2.0,6.0,,,-1.0,-1.0,-1.0,2.0,-1.0,,-1.0,,1.0,3.0
06-16,6,CA,SUBURBAN,5,64.0,381.9736,331,1,2,4.0,5.0,6.0,,,3.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,1.0,2.0
06-17,6,CA,SUBURBAN,5,63.0,372.2108,335,2,1,4.0,5.0,0.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,4.0,,1.0,2.0
06-18,6,CA,SUBURBAN,5,55.0,325.2655,306,0,1,2.0,4.0,5.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
06-19,6,CA,SUBURBAN,5,58.0,346.3809,312,1,2,4.0,5.0,0.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
06-20,6,CA,RURAL,5,78.0,466.8496,380,2,5,1.0,0.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,3.0,,1.0,2.0
08-01,8,CO,URBAN,5,27.0,158.6673,144,1,5,2.0,0.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,,1.0,
08-02,8,CO,URBAN,5,22.0,130.3859,130,1,0,5.0,2.0,4.0,,,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,,3.0,
08-03,8,CO,SUBURBAN,5,90.0,538.2321,511,0,5,1.0,4.0,2.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,2.0,,3.0,1.0
09-01,9,CT,URBAN,3,15.0,56.4605,66,2,1,4.0,,,,,6.0,-1.0,-1.0,1.0,-1.0,5.0,3.0,,2.0,4.0
09-02,9,CT,URBAN,3,16.0,62.333,54,0,5,1.0,,,,,-1.0,-1.0,,2.0,5.0,-1.0,4.0,,3.0,1.0
09-03,9,CT,SUBURBAN,3,92.0,365.361,345,0,1,2.0,,,,,-1.0,-1.0,-1.0,4.0,6.0,2.0,5.0,,3.0,1.0
10-01,10,DE,URBAN,3,55.0,216.9502,164,1,0,2.0,,,,,-1.0,-1.0,-1.0,3.0,,4.0,5.0,,1.0,2.0
11-01,11,DC,URBAN,2,40.0,117.3573,122,1,4,,,,,,,-1.0,4.0,1.0,-1.0,2.0,5.0,,3.0,6.0
12-01,12,FL,URBAN,7,18.0,141.203,127,0,2,8.0,1.0,5.0,6.0,4.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,1.0
12-02,12,FL,URBAN,5,15.0,86.0664,97,1,2,0.0,5.0,6.0,,,-1.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,,1.0
12-03,12,FL,URBAN,5,23.0,134.15,112,2,5,6.0,1.0,0.0,,,-1.0,-1.0,-1.0,,,-1.0,-1.0,,2.0,1.0
12-04,12,FL,URBAN,5,23.0,137.0184,116,1,2,6.0,4.0,5.0,,,4.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,3.0,2.0
12-05,12,FL,URBAN,5,40.0,235.8188,132,2,1,0.0,5.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,,,3.0,1.0
12-06,12,FL,URBAN,5,27.0,158.9851,110,1,5,2.0,0.0,6.0,,,-1.0,-1.0,-1.0,2.0,,-1.0,-1.0,,1.0,
12-07,12,FL,URBAN,5,29.0,168.7685,123,0,6,1.0,2.0,9.0,,,-1.0,-1.0,-1.0,1.0,2.0,4.0,-1.0,,3.0,-1.0
12-08,12,FL,SUBURBAN,5,108.0,644.7536,739,0,1,2.0,6.0,5.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
12-09,12,FL,SUBURBAN,5,89.0,530.4408,690,0,2,1.0,6.0,5.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
12-10,12,FL,SUBURBAN,5,110.0,656.7257,746,0,6,2.0,1.0,5.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
12-11,12,FL,RURAL,5,49.0,290.2031,358,2,5,0.0,1.0,6.0,,,-1.0,-1.0,-1.0,,2.0,-1.0,-1.0,,3.0,1.0
13-01,13,GA,URBAN,7,19.0,146.1235,134,2,1,0.0,6.0,5.0,4.0,8.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,1.0
13-02,13,GA,URBAN,7,17.0,133.3382,139,1,2,6.0,4.0,5.0,0.0,8.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,
13-03,13,GA,SUBURBAN,7,110.0,872.7176,863,0,1,2.0,6.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,
13-04,13,GA,RURAL,7,41.0,320.2115,353,0,5,2.0,6.0,1.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,1.0
15-01,15,HI,URBAN,4,41.0,203.1471,153,1,4,0.0,2.0,,,,-1.0,-1.0,-1.0,3.0,-1.0,,4.0,,1.0,2.0
16-01,16,ID,SUBURBAN,5,55.0,325.3257,244,0,5,1.0,6.0,2.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
17-01,17,IL,URBAN,7,23.0,182.629,194,1,6,0.0,5.0,2.0,4.0,8.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,1.0
17-02,17,IL,URBAN,7,13.0,100.9889,141,5,0,2.0,6.0,1.0,4.0,9.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,1.0,-1.0
17-03,17,IL,URBAN,5,28.0,167.2251,166,0,5,1.0,2.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,,,1.0,3.0
17-04,17,IL,URBAN,5,21.0,125.1887,160,6,2,1.0,0.0,4.0,,,-1.0,-1.0,-1.0,1.0,-1.0,,-1.0,,2.0,3.0
17-05,17,IL,SUBURBAN,5,79.0,469.8155,569,4,1,0.0,5.0,2.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,,,1.0
17-06,17,IL,SUBURBAN,5,70.0,414.4847,528,0,4,1.0,2.0,5.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,3.0,,1.0,2.0
18-01,18,IN,URBAN,5,22.0,129.0507,130,5,0,6.0,2.0,1.0,,,-1.0,-1.0,-1.0,3.0,2.0,-1.0,-1.0,,,1.0
18-02,18,IN,URBAN,5,23.0,133.6863,112,1,2,4.0,5.0,0.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
18-03,18,IN,SUBURBAN,5,79.0,472.1942,500,0,1,5.0,6.0,2.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
18-04,18,IN,RURAL,3,66.0,260.0579,236,0,2,1.0,,,,,-1.0,-1.0,-1.0,,5.0,4.0,3.0,,2.0,1.0
19-01,19,IA,URBAN,5,28.0,166.7436,179,2,0,6.0,1.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,2.0,-1.0,,3.0,1.0
19-02,19,IA,SUBURBAN,3,71.0,280.0476,311,1,2,0.0,,,,,-1.0,-1.0,-1.0,4.0,2.0,5.0,,,3.0,1.0
20-01,20,KS,URBAN,5,27.0,159.9859,134,0,2,5.0,1.0,6.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
20-02,20,KS,SUBURBAN,3,54.0,212.7138,251,0,2,4.0,,,,,-1.0,6.0,-1.0,4.0,-1.0,2.0,3.0,,5.0,1.0
21-01,21,KY,URBAN,7,37.0,295.7367,257,2,1,0.0,6.0,5.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,1.0
21-02,21,KY,SUBURBAN,5,71.0,422.1886,417,0,1,2.0,5.0,3.0,,,-1.0,-1.0,-1.0,-1.0,,-1.0,3.0,,2.0,1.0
22-01,22,LA,URBAN,7,24.0,191.2523,192,2,1,5.0,6.0,0.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,1.0,
22-02,22,LA,SUBURBAN,5,53.0,317.1563,301,0,6,2.0,1.0,5.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
23-01,23,ME,RURAL,4,49.0,243.1583,236,4,0,5.0,1.0,,,,-1.0,-1.0,,3.0,-1.0,-1.0,1.0,,4.0,2.0
24-01,24,MD,URBAN,5,14.0,81.0536,69,1,2,4.0,6.0,0.0,,,-1.0,-1.0,-1.0,,-1.0,,-1.0,,,
24-02,24,MD,URBAN,5,18.0,105.7544,89,2,1,4.0,5.0,9.0,,,,-1.0,-1.0,1.0,-1.0,-1.0,2.0,,3.0,-1.0
24-03,24,MD,SUBURBAN,3,125.0,497.6427,525,0,2,1.0,,,,,-1.0,-1.0,-1.0,2.0,,5.0,3.0,,1.0,4.0
24-04,24,MD,RURAL,3,25.0,97.6884,108,1,0,2.0,,,,,-1.0,-1.0,-1.0,4.0,1.0,3.0,,,5.0,2.0
25-01,25,MA,URBAN,5,22.0,127.195,131,1,0,8.0,4.0,2.0,,,-1.0,-1.0,-1.0,1.0,-1.0,3.0,,,-1.0,2.0
25-02,25,MA,URBAN,5,20.0,114.1507,131,4,5,2.0,1.0,8.0,,,3.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,,-1.0,4.0
25-03,25,MA,SUBURBAN,5,81.0,485.679,551,0,1,2.0,5.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,,1.0,
25-04,25,MA,RURAL,3,16.0,63.943,93,0,4,1.0,,,,,-1.0,-1.0,5.0,3.0,-1.0,,2.0,,1.0,4.0
26-01,26,MI,URBAN,7,19.0,148.5998,153,0,8,1.0,6.0,2.0,5.0,4.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,
26-02,26,MI,URBAN,5,18.0,104.9918,124,5,0,2.0,4.0,1.0,,,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,,,3.0,2.0
26-03,26,MI,SUBURBAN,5,62.0,369.1805,435,0,1,4.0,2.0,5.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
26-04,26,MI,SUBURBAN,5,54.0,320.6862,425,0,1,4.0,6.0,5.0,,,-1.0,-1.0,2.0,4.0,-1.0,-1.0,-1.0,,3.0,1.0
26-05,26,MI,RURAL,5,65.0,386.1258,394,0,5,3.0,1.0,6.0,,,-1.0,-1.0,,-1.0,2.0,-1.0,-1.0,,1.0,3.0
27-01,27,MN,URBAN,5,32.0,186.2108,225,1,4,9.0,6.0,0.0,,,-1.0,-1.0,2.0,1.0,-1.0,4.0,-1.0,,3.0,-1.0
27-02,27,MN,SUBURBAN,5,61.0,361.1338,452,4,1,0.0,5.0,2.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,1.0,2.0
27-03,27,MN,RURAL,5,28.0,166.6702,134,0,5,4.0,2.0,6.0,,,-1.0,3.0,-1.0,,-1.0,-1.0,-1.0,,1.0,2.0
28-01,28,MS,SUBURBAN,5,34.0,202.3096,163,2,1,0.0,5.0,6.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
28-02,28,MS,RURAL,3,61.0,241.9406,186,2,0,5.0,,,,,-1.0,5.0,-1.0,4.0,3.0,-1.0,,,2.0,1.0
29-01,29,MO,URBAN,5,18.0,105.7721,119,2,1,5.0,6.0,8.0,,,4.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,-1.0,1.0
29-02,29,MO,URBAN,5,14.0,82.8799,102,3,2,6.0,4.0,0.0,,,-1.0,3.0,-1.0,-1.0,-1.0,2.0,-1.0,,1.0,
29-03,29,MO,SUBURBAN,3,127.0,506.2947,541,0,2,1.0,,,,,-1.0,-1.0,-1.0,4.0,3.0,2.0,5.0,,,1.0
29-04,29,MO,RURAL,3,64.0,255.7833,285,0,5,1.0,,,,,-1.0,-1.0,4.0,,3.0,-1.0,5.0,,2.0,1.0
30-01,30,MT,SUBURBAN,3,65.0,257.3811,185,1,2,0.0,,,,,-1.0,-1.0,-1.0,,4.0,3.0,5.0,,2.0,1.0
31-01,31,NE,SUBURBAN,5,50.0,295.9094,286,0,1,6.0,2.0,5.0,,,-1.0,-1.0,-1.0,3.0,2.0,-1.0,-1.0,,,1.0
32-01,32,NV,URBAN,5,62.0,368.6597,266,1,2,0.0,5.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,,,3.0,1.0
