candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
RH,CON,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,3.9384,-0.4083,-28.21
RH,CON,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.2872,0.1673,19.41
RH,CON,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.3256,-0.286,-31.66
RH,CON,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.1486,-0.2223,-27.1
RH,CON,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.4747,0.1282,13.87
RH,CON,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.2158,0.0203,4.54
RH,CON,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.6977,0.29,29.06
RH,CON,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.0052,-0.1991,-24.38
RH,CON,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.47,0.174,17.45
RH,CON,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.4508,-0.1599,-17.64
RH,CON,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.0029,-0.4299,-43.11
RH,CON,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.9812,0.2492,28.61
RH,CON,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,29.2613,5.3412,23.54
RH,CON,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.2738,-0.2122,-31.92
