state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,n_respondents,n_irv_rounds,r1_pct_NAT,r1_pct_LIB,r1_pct_CON_CTR,r1_pct_CON_SD,r1_pct_STY_SD
1,AL,CON_CTR,CON/CTR,CON_SD,CON/SD,661,4,19.56,11.82,24.57,21.12,22.93
2,AK,CON_CTR,CON/CTR,CO,LIB,105,4,19.17,19.82,22.84,14.61,23.55
4,AZ,CON_SD,CON/SD,CO,LIB,1159,4,31.74,22.91,12.78,14.97,17.6
5,AR,CON_SD,CON/SD,BE,NAT,390,4,20.82,23.22,18.86,21.98,15.13
6,CA,CON_SD,CON/SD,STY_SD,STY/SD,3626,4,15.63,29.62,14.08,18.36,22.31
8,CO,CON_SD,CON/SD,BE,NAT,785,4,20.31,31.07,15.22,15.9,17.5
9,CT,CON_SD,CON/SD,CON_CTR,CON/CTR,465,4,12.76,30.23,18.55,21.27,17.19
10,DE,CON_CTR,CON/CTR,CON_SD,CON/SD,164,4,14.19,28.14,18.86,25.4,13.41
11,DC,CO,LIB,none,none,122,1,2.06,54.8,19.11,10.01,14.01
12,FL,CON_CTR,CON/CTR,CON_SD,CON/SD,3350,4,14.68,19.45,22.82,20.34,22.69
13,GA,CON_CTR,CON/CTR,CON_SD,CON/SD,1489,4,16.96,19.25,20.25,18.55,24.99
15,HI,CON_SD,CON/SD,CON_CTR,CON/CTR,153,3,7.83,27.39,11.39,32.55,20.84
16,ID,BE,NAT,CON_CTR,CON/CTR,244,4,30.37,16.74,22.3,12.07,18.52
17,IL,CON_CTR,CON/CTR,CON_SD,CON/SD,1758,4,14.56,31.16,19.33,18.75,16.21
18,IN,CON_CTR,CON/CTR,BE,NAT,978,3,20.57,20.05,25.36,15.6,18.41
19,IA,CON_SD,CON/SD,BE,NAT,490,4,21.54,19.03,21.18,19.71,18.54
20,KS,CON_CTR,CON/CTR,BE,NAT,385,4,23.66,18.05,19.57,11.1,27.62
21,KY,CON_CTR,CON/CTR,BE,NAT,674,4,25.78,18.65,21.96,16.44,17.18
22,LA,CON_SD,CON/SD,BE,NAT,493,4,22.1,10.74,20.67,21.4,25.09
23,ME,CON_CTR,CON/CTR,STY_SD,STY/SD,236,4,18.13,29.95,18.22,15.02,18.68
24,MD,CON_SD,CON/SD,STY_SD,STY/SD,791,4,15.29,32.29,14.49,17.52,20.42
25,MA,CO,LIB,STY_SD,STY/SD,906,4,14.0,35.42,15.13,16.73,18.73
26,MI,CON_SD,CON/SD,BE,NAT,1531,4,24.12,25.92,20.43,16.36,13.16
27,MN,CON_SD,CON/SD,BE,NAT,811,4,18.13,31.6,18.21,17.64,14.42
28,MS,CON_CTR,CON/CTR,CON_SD,CON/SD,349,4,18.17,12.8,16.56,26.19,26.29
29,MO,CON_CTR,CON/CTR,BE,NAT,1047,3,20.72,20.54,21.25,14.79,22.69
30,MT,CON_SD,CON/SD,CO,LIB,185,4,25.57,23.08,18.11,16.83,16.42
31,NE,CON_CTR,CON/CTR,BE,NAT,286,4,19.06,17.23,21.23,12.59,29.89
32,NV,STY_SD,STY/SD,CO,LIB,573,4,19.2,25.77,19.73,11.97,23.34
33,NH,CO,LIB,CON_SD,CON/SD,252,4,13.3,35.27,20.2,17.63,13.6
34,NJ,CON_CTR,CON/CTR,STY_SD,STY/SD,1241,4,18.51,29.46,19.44,12.51,20.08
35,NM,CON_SD,CON/SD,CON_CTR,CON/CTR,309,4,13.85,25.82,14.22,27.53,18.58
36,NY,CON_CTR,CON/CTR,STY_SD,STY/SD,2585,4,15.6,28.62,16.05,18.43,21.3
37,NC,CON_CTR,CON/CTR,BE,NAT,1444,3,22.71,20.91,18.84,18.02,19.52
38,ND,CON_SD,CON/SD,CO,LIB,90,4,21.42,23.56,23.25,22.93,8.84
39,OH,CON_CTR,CON/CTR,BE,NAT,1978,3,20.79,20.42,22.37,18.12,18.3
40,OK,CON_CTR,CON/CTR,CON_SD,CON/SD,537,4,21.12,15.44,23.01,21.09,19.34
41,OR,CO,LIB,BE,NAT,810,4,22.39,34.76,11.42,12.25,19.19
42,PA,CON_SD,CON/SD,BE,NAT,2418,4,18.07,26.98,17.64,19.52,17.79
44,RI,CON_SD,CON/SD,STY_SD,STY/SD,176,4,6.52,33.97,15.49,21.37,22.65
45,SC,CON_CTR,CON/CTR,BE,NAT,736,3,20.81,20.97,21.18,16.81,20.23
46,SD,CON_SD,CON/SD,CO,LIB,137,4,19.52,21.66,19.84,24.67,14.31
47,TN,CON_CTR,CON/CTR,BE,NAT,1065,4,23.87,11.84,26.85,18.52,18.92
48,TX,CON_CTR,CON/CTR,CON_SD,CON/SD,3392,4,16.06,17.17,22.45,19.05,25.26
49,UT,CON_SD,CON/SD,CO,LIB,387,4,17.92,23.22,15.15,17.11,26.6
50,VT,CO,LIB,STY_SD,STY/SD,105,3,7.63,48.98,18.56,13.34,11.49
51,VA,CON_CTR,CON/CTR,STY_SD,STY/SD,1234,4,19.0,27.95,22.8,12.63,17.61
53,WA,CON_SD,CON/SD,BE,NAT,1112,4,17.44,34.17,14.11,16.57,17.72
54,WV,CON_CTR,CON/CTR,CON_SD,CON/SD,335,4,21.09,14.86,25.59,21.02,17.45
55,WI,CON_SD,CON/SD,BE,NAT,1088,4,21.63,23.94,19.89,18.3,16.24
56,WY,CON_SD,CON/SD,CO,LIB,70,4,36.63,16.03,15.7,18.8,12.84
