variable,domain,type,stat_label,question,overall,PRG_dsa,DSA_prg,DSA_lib,LIB_dsa,LIB_sd,SD_lib,SD_sty,STY_sd,STY_ctr,CTR_sty,CTR_con,CON_ctr,CON_ref,REF_con,REF_nat,NAT_ref
CC24_341a,Taxes & Economy,binary,% Supporting,Extend the 2017 tax cuts,62.9096,15.1592,25.3952,29.6463,32.1635,36.1757,45.6949,51.1999,58.1955,63.6997,73.2165,78.1389,83.389,83.2531,77.5949,79.3242,90.1702
CC24_341b,Taxes & Economy,binary,% Supporting,Raise corporate income tax from 21% to 28%,57.6828,95.585,90.2931,88.9687,90.2873,88.6567,82.4459,74.9882,58.8257,53.3605,53.1272,50.2053,41.6725,37.7804,34.6365,28.2046,12.0526
CC24_341c,Taxes & Economy,binary,% Supporting,Allow rates on $400k+ earners to rise to 35%,65.3484,99.9274,99.7097,99.3106,98.3311,95.6816,88.7124,80.8589,64.2673,59.4014,61.3953,60.1541,54.4368,49.6244,40.9046,31.9093,13.6433
CC24_341d,Taxes & Economy,binary,% Supporting,Spend $150B/yr on infrastructure,80.4546,98.7165,96.2848,95.8666,97.0435,96.0902,92.0532,86.7419,74.8447,72.6362,77.9077,79.4156,78.6677,74.9851,64.6853,59.9733,56.1371
CC24_302,Taxes & Economy,ordinal,Weighted mean,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.1199,2.8008,2.9771,2.9658,2.7556,2.7383,2.8963,2.992,3.1211,3.1373,3.057,3.0816,3.2358,3.3153,3.3996,3.4517,3.5237
CC24_302,Taxes & Economy,ordinal_dist,% Increased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.03,4.86,3.36,3.264,4.476,4.704,4.176,3.856,3.424,3.798,5.352,4.928,2.102,1.284,1.656,1.65,1.26
CC24_302,Taxes & Economy,ordinal_dist,% Increased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),19.74,32.842,27.088,27.146,33.074,33.19,27.61,24.588,21.102,19.562,18.428,16.854,13.266,11.99,11.75,10.624,7.486
CC24_302,Taxes & Economy,ordinal_dist,% Stayed same,Household income change past year (1=Increased a lot … 5=Decreased a lot),50.26,46.266,46.914,47.714,49.466,49.952,49.658,49.036,47.464,47.886,50.724,52.34,54.35,53.322,48.228,46.994,48.386
CC24_302,Taxes & Economy,ordinal_dist,% Decreased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),16.15,9.398,13.742,13.484,8.366,7.87,11.5,13.518,15.942,16.602,16.158,16.882,19.498,20.7,21.69,22.354,23.356
CC24_302,Taxes & Economy,ordinal_dist,% Decreased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),10.82,6.626,8.894,8.392,4.618,4.282,7.048,8.992,12.058,12.144,9.336,8.996,10.784,12.702,16.668,18.37,19.51
CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),1.6116,2.0297,1.83,1.8156,1.9723,1.9852,1.8674,1.8112,1.7605,1.7019,1.5768,1.4932,1.3675,1.3375,1.3734,1.3468,1.2315
CC24_303,Taxes & Economy,ordinal_dist,% Increased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),55.11,27.676,39.304,39.94,30.22,29.522,37.148,41.656,47.554,51.208,56.272,61.164,70.776,73.692,72.828,74.758,81.412
