respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
0,CO,ZN,MW,LK,MRJ,JR,DH,RH,BE
1,LK,CO,MRJ,MW,DH,ZN,JR,RH,BE
2,MW,ZN,MRJ,CO,JR,DH,LK,RH,BE
3,MW,MRJ,ZN,DH,RH,CO,LK,JR,BE
4,MRJ,DH,RH,MW,LK,CO,ZN,BE,JR
5,JR,MW,CO,ZN,MRJ,LK,DH,BE,RH
6,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
7,BE,DH,MRJ,RH,LK,JR,CO,ZN,MW
8,DH,MRJ,RH,MW,JR,BE,CO,LK,ZN
9,MRJ,MW,DH,RH,BE,JR,ZN,LK,CO
10,DH,MRJ,RH,MW,JR,ZN,LK,BE,CO
11,BE,RH,DH,MRJ,LK,CO,ZN,JR,MW
12,DH,RH,LK,MRJ,MW,BE,JR,ZN,CO
13,DH,RH,MRJ,BE,MW,CO,JR,ZN,LK
14,DH,RH,MRJ,BE,MW,CO,ZN,JR,LK
15,LK,RH,DH,MRJ,BE,MW,JR,CO,ZN
16,RH,MRJ,DH,LK,MW,CO,ZN,JR,BE
17,RH,LK,MW,DH,MRJ,CO,BE,JR,ZN
18,RH,MRJ,DH,LK,MW,CO,JR,BE,ZN
19,CO,ZN,MW,JR,LK,MRJ,DH,RH,BE
20,MRJ,MW,RH,DH,CO,JR,LK,BE,ZN
21,JR,ZN,CO,MW,MRJ,LK,DH,RH,BE
22,MRJ,MW,DH,RH,JR,BE,LK,ZN,CO
23,BE,RH,DH,MRJ,LK,ZN,CO,MW,JR
24,MRJ,DH,RH,MW,LK,BE,CO,JR,ZN
25,JR,MW,ZN,CO,MRJ,LK,RH,DH,BE
26,MW,ZN,MRJ,JR,CO,LK,DH,BE,RH
27,JR,MW,ZN,CO,MRJ,LK,DH,BE,RH
28,RH,LK,MRJ,DH,BE,MW,JR,ZN,CO
29,MRJ,MW,ZN,DH,JR,BE,LK,RH,CO
30,MRJ,DH,MW,CO,JR,LK,RH,BE,ZN
31,LK,RH,MW,CO,MRJ,DH,BE,ZN,JR
32,LK,MRJ,MW,CO,DH,RH,BE,JR,ZN
33,LK,MW,RH,CO,MRJ,DH,ZN,BE,JR
34,CO,LK,MW,DH,MRJ,RH,ZN,JR,BE
35,LK,DH,MRJ,RH,BE,JR,CO,ZN,MW
36,LK,DH,RH,MRJ,MW,CO,BE,ZN,JR
37,DH,MRJ,MW,LK,JR,ZN,BE,RH,CO
38,DH,MRJ,JR,RH,ZN,MW,LK,CO,BE
39,ZN,MW,CO,MRJ,JR,LK,DH,RH,BE
40,MRJ,MW,ZN,DH,LK,CO,JR,BE,RH
41,RH,BE,DH,MRJ,LK,JR,ZN,CO,MW
42,CO,ZN,MW,LK,MRJ,JR,RH,BE,DH
43,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
44,CO,MW,ZN,JR,LK,MRJ,DH,BE,RH
45,MW,ZN,CO,MRJ,LK,JR,DH,BE,RH
46,JR,MW,ZN,CO,MRJ,LK,BE,RH,DH
47,DH,MW,RH,MRJ,ZN,CO,BE,LK,JR
48,MW,ZN,MRJ,CO,LK,DH,RH,JR,BE
49,BE,DH,RH,MRJ,JR,MW,ZN,LK,CO
50,ZN,MRJ,MW,DH,BE,RH,LK,JR,CO
51,MRJ,ZN,MW,DH,LK,CO,BE,RH,JR
52,MW,JR,MRJ,CO,ZN,DH,LK,RH,BE
53,DH,RH,MRJ,BE,MW,LK,JR,ZN,CO
54,CO,RH,MW,LK,MRJ,DH,JR,ZN,BE
55,MW,MRJ,DH,RH,ZN,JR,LK,BE,CO
56,RH,LK,DH,BE,MRJ,MW,CO,ZN,JR
57,ZN,MRJ,MW,LK,JR,BE,RH,DH,CO
58,CO,JR,MW,LK,MRJ,ZN,DH,BE,RH
59,CO,LK,ZN,MW,MRJ,JR,DH,BE,RH
60,MRJ,MW,DH,RH,LK,JR,BE,ZN,CO
61,MW,MRJ,RH,DH,LK,CO,JR,BE,ZN
62,CO,LK,MW,MRJ,DH,JR,ZN,RH,BE
63,DH,RH,MRJ,BE,MW,ZN,LK,JR,CO
64,LK,CO,MW,RH,MRJ,DH,JR,BE,ZN
65,BE,DH,MRJ,RH,JR,CO,LK,ZN,MW
66,RH,MW,MRJ,CO,DH,LK,ZN,JR,BE
67,RH,BE,DH,LK,MRJ,MW,CO,ZN,JR
68,MW,MRJ,DH,RH,ZN,CO,JR,LK,BE
69,MRJ,MW,DH,RH,CO,JR,LK,BE,ZN
70,MRJ,MW,DH,RH,LK,BE,CO,JR,ZN
71,LK,MW,MRJ,CO,DH,RH,JR,BE,ZN
