state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,726.21,8,5,1.3014,0.0161,,0.872,3.6075,,,,10.181
2,AK,CTR,CTR,pure,6,,130.64,8,5,0.78,0.6434,,0.8218,1.087,,,9.507,
4,AZ,CON,CON,pure,0,,1160.11,9,5,5.7662,,,0.4527,,14.615,9.765,,2.3897
5,AR,CON,CON,pure,0,,412.18,9,5,0.0223,0.4857,,,0.4031,,,14.0833,0.4591
6,CA,SD,SD,pure,1,,3966.17,9,5,,0.3598,,11.5251,,,0.4465,3.0948,1.1144
8,CO,SD,SD,pure,1,,827.29,9,5,3.2009,,,0.0535,,1.7612,9.8997,1.1469,
9,CT,SD,SD,pure,1,,484.15,9,5,0.1597,2.2,,22.2152,,,0.2353,7.697,
10,DE,CTR,CTR,pure,6,,216.95,9,5,0.2247,0.3362,,7.864,1.5544,,,4.3826,
11,DC,LIB,LIB,pure,4,,117.36,8,5,,11.2542,0.1638,0.0099,,0.0659,,0.9124,
12,FL,CTR,CTR,pure,6,,3184.13,9,5,0.2012,4.0559,,,0.1823,,,11.5859,0.4842
13,GA,CTR,CTR,pure,6,,1472.39,9,5,12.4398,1.0599,,1.0799,,,,0.1426,1.6048
15,HI,SD,SD,pure,1,,203.15,9,5,0.0246,0.2634,,1.8765,,,0.1141,11.9268,
16,ID,CON,CON,pure,0,,325.33,9,5,4.1932,1.3978,16.5227,,8.9133,,,1.0768,
17,IL,SD,SD,pure,1,,1460.33,9,5,0.0841,0.0088,,11.7681,,,1.0256,3.4377,
18,IN,CON,CON,pure,0,,994.99,9,5,0.0691,2.4257,,,0.8663,,,12.6557,0.1474
19,IA,CTR,CTR,pure,6,,446.79,9,5,0.397,0.092,,11.4977,1.8047,,,,1.7562
20,KS,CON,CON,pure,0,,372.7,9,5,3.2324,0.0392,,9.9493,3.4989,,,,15.5403
21,KY,CON,CON,pure,0,,717.93,9,5,0.2986,4.8069,,,0.3238,,,10.0,0.5409
22,LA,CON,CON,pure,0,,508.41,9,5,0.1409,4.4128,,,0.3079,,,9.6352,1.1865
23,ME,SD,SD,pure,1,,243.16,9,5,8.352,,,3.0695,,0.3032,0.9524,1.9333,
24,MD,SD,SD,pure,1,,782.14,9,5,8.5355,0.8723,,,,0.3593,,0.4312,5.829
25,MA,SD,SD,pure,1,,790.97,9,5,0.7034,,,0.2574,,5.2601,0.1145,9.699,
26,MI,CON,CON,pure,0,,1329.58,9,5,4.8108,0.2434,,,3.455,1.5172,,6.2642,
27,MN,CTR,CTR,pure,6,,714.01,9,5,1.811,2.6737,,21.3082,,5.931,1.0492,,
28,MS,CON,CON,pure,0,,444.25,8,5,1.2081,3.438,,,,,4.5788,5.7984,0.5178
29,MO,CON,CON,pure,0,,950.73,9,5,0.035,0.2521,,6.6592,0.2034,,,,8.9911
30,MT,CON,CON,pure,0,,257.38,9,5,4.968,,,18.8604,3.8951,,,3.4467,0.6089
31,NE,CTR,CTR,pure,6,,295.91,9,5,2.9264,2.5532,5.8612,1.6336,2.0026,,,,
32,NV,SD,SD,pure,1,,707.53,9,5,1.3006,12.9756,,,,,3.3228,14.8425,0.3264
33,NH,SD,SD,pure,1,,264.7,9,5,10.8686,1.2335,,1.2388,,0.3777,,1.0591,
34,NJ,SD,SD,pure,1,,1162.21,9,5,0.0295,0.0693,,10.6,,,0.3223,5.2154,
35,NM,SD,SD,pure,1,,415.1,9,5,,0.2672,,0.8989,1.9516,,,8.0391,4.3053
36,NY,SD,SD,pure,1,,2314.44,9,5,10.3074,1.3736,,,,0.4245,,0.454,3.8912
37,NC,CON,CON,pure,0,,1455.35,9,5,0.2414,0.8661,,,0.7229,,,12.7513,1.7415
38,ND,CON,CON,pure,0,,112.02,9,5,9.0432,1.4454,,0.2831,17.5133,,,1.4775,
39,OH,CTR,CTR,pure,6,,1727.15,9,5,0.0139,3.7182,,,0.4345,,,11.7166,0.494
40,OK,CON,CON,pure,0,,606.2,8,5,2.5094,0.4448,,0.6766,6.5867,,,,5.6244
41,OR,SD,SD,pure,1,,861.73,9,5,0.4416,,,0.8314,1.5544,2.6009,,10.6581,
