state_fips,state_abbr,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,rp_winner_overall
1,AL,CON,CTR,462.89093645063997,263.31716243043377,199.57,27.4816,True,6,CON
1,AL,CON,LIB,501.68339509744624,224.52470378362747,277.16,38.1652,True,3,CON
1,AL,CON,NAT,521.9776607468181,204.2304381342557,317.75,43.7543,True,1,CON
1,AL,CON,STY,426.81882380434473,299.389275076729,127.43,17.5472,True,8,CON
1,AL,CTR,LIB,508.8872339656418,217.32086491543188,291.57,40.1491,True,2,CON
1,AL,CTR,NAT,438.7037613015166,287.50433757955716,151.2,20.8204,True,7,CON
1,AL,CTR,STY,399.0781816167722,327.1299172643015,71.95,9.9074,True,9,CON
1,AL,LIB,NAT,375.2447521932765,350.9633466877972,24.28,3.3436,True,10,CON
1,AL,LIB,STY,231.38222886495336,494.82587001612035,263.44,36.2766,True,4,CON
1,AL,NAT,STY,256.49901032688695,469.7090885541868,213.21,29.3594,True,5,CON
2,AK,CON,CTR,43.56483492899325,87.07350303578018,43.51,33.3047,True,4,CTR
2,AK,CON,LIB,63.68364847524631,66.95468948952711,3.27,2.5039,True,10,CTR
2,AK,CON,NAT,101.0150700139738,29.62326795079962,71.39,54.6484,True,2,CTR
2,AK,CON,SD,61.88410695103482,68.7542310137386,6.87,5.2589,True,9,CTR
2,AK,CTR,LIB,73.74555138856275,56.89278657621068,16.85,12.9003,True,6,CTR
2,AK,CTR,NAT,105.81780546637916,24.820532498394257,81.0,62.0012,True,1,CTR
2,AK,CTR,SD,71.46288556576633,59.1754523990071,12.29,9.4057,True,8,CTR
2,AK,LIB,NAT,72.3764142394889,58.26192372528453,14.11,10.8042,True,7,CTR
2,AK,LIB,SD,46.834746858033164,83.80359110674026,36.97,28.2986,True,5,CTR
2,AK,NAT,SD,42.342219278167605,88.29611868660581,45.95,35.1764,True,3,CTR
4,AZ,CON,LIB,691.555545952061,468.5497015323641,223.01,19.2229,True,4,CON
4,AZ,CON,PRG,760.9889696553885,399.1162778290366,361.87,31.1931,True,1,CON
4,AZ,CON,REF,641.1355701331807,518.9696773512443,122.17,10.5306,True,7,CON
4,AZ,CON,STY,619.2037104962908,540.9015369881342,78.3,6.7496,True,10,CON
4,AZ,LIB,PRG,656.7438495935639,503.36139789086104,153.38,13.2214,True,6,CON
4,AZ,LIB,REF,532.4105690491936,627.6946784352315,95.28,8.2134,True,9,CON
4,AZ,LIB,STY,477.1003978416834,683.0048496427416,205.9,17.7488,True,5,CON
4,AZ,PRG,REF,444.8270411553485,715.2782063290765,270.45,23.3126,True,3,CON
4,AZ,PRG,STY,399.1576589656237,760.9475885188014,361.79,31.186,True,2,CON
4,AZ,REF,STY,531.3141825897214,628.7910648947036,97.48,8.4024,True,8,CON
5,AR,CON,CTR,219.73866391227483,192.4432948076858,27.3,6.6222,True,9,CON
5,AR,CON,NAT,288.8086239224277,123.37333479753285,165.44,40.1365,True,1,CON
5,AR,CON,SD,225.80287719489732,186.37908152506333,39.42,9.5647,True,7,CON
