state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
1,AL,CON,CON,0,,1.0,0.0,pure,0.214,,
1,AL,SD,SD,1,,1.0,0.0,pure,0.1045,,
1,AL,STY,STY,2,,1.0,0.0,pure,0.1867,,
1,AL,NAT,NAT,3,,1.0,0.0,pure,0.1033,,
1,AL,LIB,LIB,4,,1.0,0.0,pure,0.0426,,
1,AL,REF,REF,5,,1.0,0.0,pure,0.1122,,
1,AL,CTR,CTR,6,,1.0,0.0,pure,0.0954,,
1,AL,DSA,DSA,8,,1.0,0.0,pure,0.0809,,
2,AK,CON,CON,0,,1.0,0.0,pure,0.1398,,
2,AK,SD,SD,1,,1.0,0.0,pure,0.2218,,
2,AK,STY,STY,2,,1.0,0.0,pure,0.1488,,
2,AK,NAT,NAT,3,,1.0,0.0,pure,0.0878,,
2,AK,LIB,LIB,4,,1.0,0.0,pure,0.0886,,
2,AK,REF,REF,5,,1.0,0.0,pure,0.1022,,
2,AK,CTR,CTR,6,,1.0,0.0,pure,0.1441,,
2,AK,DSA,DSA,8,,1.0,0.0,pure,0.0375,,
4,AZ,CON,CON,0,,1.0,0.0,pure,0.1724,,
4,AZ,SD,SD,1,,1.0,0.0,pure,0.1144,,
4,AZ,STY,STY,2,,1.0,0.0,pure,0.121,,
4,AZ,NAT,NAT,3,,1.0,0.0,pure,0.1434,,
4,AZ,LIB,LIB,4,,1.0,0.0,pure,0.0809,,
4,AZ,REF,REF,5,,1.0,0.0,pure,0.1398,,
4,AZ,CTR,CTR,6,,1.0,0.0,pure,0.0522,,
4,AZ,DSA,DSA,8,,1.0,0.0,pure,0.0846,,
4,AZ,PRG,PRG,9,,1.0,0.0,pure,0.0529,,
5,AR,CON,CON,0,,1.0,0.0,pure,0.2027,,
5,AR,SD,SD,1,,1.0,0.0,pure,0.164,,
5,AR,STY,STY,2,,1.0,0.0,pure,0.1139,,
5,AR,NAT,NAT,3,,1.0,0.0,pure,0.0841,,
5,AR,LIB,LIB,4,,1.0,0.0,pure,0.0541,,
