state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,CTR,CTR,pure,6,,4,726.21,8,5,1.3887,0.0381,,1.1568,3.7624,,,,10.3206
2,AK,SD,SD,pure,1,,CTR,CTR,pure,6,,4,130.64,8,5,1.3141,1.0941,,1.7137,2.3211,,,10.2237,
4,AZ,REF,REF,pure,5,,CON,CON,pure,0,,4,1160.11,9,5,5.7904,,,0.0042,,0.1459,9.8109,,0.9152
5,AR,CON,CON,pure,0,,NAT,NAT,pure,3,,4,412.18,9,5,0.0493,0.6318,,,0.5345,,,14.777,0.6741
6,CA,SD,SD,pure,1,,REF,REF,pure,5,,4,3966.17,9,5,,0.3698,,11.5927,,,0.4557,3.1064,1.142
8,CO,SD,SD,pure,1,,PRG,PRG,pure,9,,3,827.29,9,5,3.2718,,,0.066,,1.9317,10.2048,1.1923,
9,CT,SD,SD,pure,1,,LIB,LIB,pure,4,,4,484.15,9,5,0.0499,0.1512,,10.8822,,,0.2054,5.3781,
10,DE,CTR,CTR,pure,6,,NAT,NAT,pure,3,,4,216.95,9,5,1.2607,0.4196,,5.8112,3.8302,,,5.3449,
11,DC,LIB,LIB,pure,4,,CTR,CTR,pure,6,,4,117.36,8,5,,12.0639,0.3297,0.0576,,0.1532,,4.0622,
12,FL,CON,CON,pure,0,,CTR,CTR,pure,6,,4,3184.13,9,5,0.2097,4.0723,,,0.1909,,,11.685,0.5087
13,GA,SD,SD,pure,1,,CTR,CTR,pure,6,,4,1472.39,9,5,12.4958,1.0776,,1.2513,,,,0.171,1.671
15,HI,SD,SD,pure,1,,LIB,LIB,pure,4,,4,203.15,9,5,0.3178,0.0322,,2.1827,,,1.4418,12.6922,
16,ID,CTR,CTR,pure,6,,CON,CON,pure,0,,4,325.33,9,5,4.41,1.3529,1.4822,,9.165,,,0.2566,
17,IL,LIB,LIB,pure,4,,SD,SD,pure,1,,4,1460.33,9,5,0.0953,0.0143,,11.9604,,,1.1139,3.4829,
18,IN,CON,CON,pure,0,,NAT,NAT,pure,3,,4,994.99,9,5,0.0886,2.4801,,,0.919,,,12.9843,0.1947
19,IA,CON,CON,pure,0,,STY,STY,pure,2,,4,446.79,9,5,0.4769,0.1604,,12.0335,2.0662,,,,1.9297
20,KS,CON,CON,pure,0,,NAT,NAT,pure,3,,4,372.7,9,5,0.1317,0.0605,,10.6601,0.6603,,,,5.154
21,KY,CON,CON,pure,0,,NAT,NAT,pure,3,,4,717.93,9,5,0.3322,4.8911,,,0.4214,,,10.3546,0.6675
22,LA,CON,CON,pure,0,,CTR,CTR,pure,6,,4,508.41,9,5,0.1877,4.5923,,,0.3479,,,10.0712,1.4675
23,ME,SD,SD,pure,1,,PRG,PRG,pure,9,,3,243.16,9,5,8.9284,,,3.755,,0.5309,1.1877,2.2647,
24,MD,SD,SD,pure,1,,PRG,PRG,pure,9,,4,782.14,9,5,8.7365,0.9028,,,,0.4298,,0.4724,6.1252
25,MA,SD,SD,pure,1,,PRG,PRG,pure,9,,4,790.97,9,5,0.7777,,,0.3001,,5.562,0.1731,9.8538,
26,MI,CON,CON,pure,0,,NAT,NAT,pure,3,,3,1329.58,9,5,4.8476,0.2906,,,3.5057,1.5628,,6.4599,
27,MN,CTR,CTR,pure,6,,REF,REF,pure,5,,4,714.01,9,5,0.2655,2.4759,,,,7.4486,0.55,5.9267,
28,MS,CON,CON,pure,0,,CTR,CTR,pure,6,,4,444.25,8,5,1.3548,3.6481,,,,,4.9002,6.1345,0.6291
29,MO,CON,CON,pure,0,,LIB,LIB,pure,4,,4,950.73,9,5,0.0484,0.3098,,6.9817,0.2292,,,,9.0974
30,MT,SD,SD,pure,1,,STY,STY,pure,2,,3,257.38,9,5,0.012,1.5599,,,0.0909,,,13.9237,1.0801
31,NE,CTR,CTR,pure,6,,DSA,DSA,pure,8,,4,295.91,9,5,3.2064,2.606,6.4403,1.8959,2.518,,,,
32,NV,SD,SD,pure,1,,STY,STY,pure,2,,4,707.53,9,5,5.3041,,,,,0.4131,3.2607,6.6897,0.9991
