state_fips,state_abbr,cand_code,cand_label,cand_type,primary_cluster,secondary_cluster,vote_total,vote_pct,quota_threshold,status,winnowing_point
1,AL,CON,CON,pure,0,,9.45,1.3014,122.03,surviving,AL
1,AL,CTR,CTR,pure,6,,0.12,0.0161,122.03,surviving,AL
1,AL,DSA,DSA,pure,8,,0.0,0.0,122.03,eliminated,AL
1,AL,LIB,LIB,pure,4,,6.33,0.872,122.03,surviving,AL
1,AL,NAT,NAT,pure,3,,26.2,3.6075,122.03,surviving,AL
1,AL,REF,REF,pure,5,,0.0,0.0,122.03,eliminated,AL
1,AL,SD,SD,pure,1,,0.0,0.0,122.03,eliminated,AL
1,AL,STY,STY,pure,2,,73.94,10.181,122.03,surviving,AL
2,AK,CON,CON,pure,0,,1.02,0.78,22.77,surviving,AK
2,AK,CTR,CTR,pure,6,,0.84,0.6434,22.77,surviving,AK
2,AK,DSA,DSA,pure,8,,0.0,0.0,22.77,eliminated,AK
2,AK,LIB,LIB,pure,4,,1.07,0.8218,22.77,surviving,AK
2,AK,NAT,NAT,pure,3,,1.42,1.087,22.77,surviving,AK
2,AK,REF,REF,pure,5,,0.0,0.0,22.77,eliminated,AK
2,AK,SD,SD,pure,1,,12.42,9.507,22.77,surviving,AK
2,AK,STY,STY,pure,2,,0.0,0.0,22.77,eliminated,AK
4,AZ,CON,CON,pure,0,,66.89,5.7662,194.35,surviving,AZ
4,AZ,CTR,CTR,pure,6,,0.0,0.0,194.35,eliminated,AZ
4,AZ,DSA,DSA,pure,8,,0.0,0.0,194.35,eliminated,AZ
4,AZ,LIB,LIB,pure,4,,5.25,0.4527,194.35,surviving,AZ
4,AZ,NAT,NAT,pure,3,,0.0,0.0,194.35,eliminated,AZ
4,AZ,PRG,PRG,pure,9,,169.55,14.615,194.35,surviving,AZ
4,AZ,REF,REF,pure,5,,113.28,9.765,194.35,surviving,AZ
4,AZ,SD,SD,pure,1,,0.0,0.0,194.35,eliminated,AZ
4,AZ,STY,STY,pure,2,,27.72,2.3897,194.35,surviving,AZ
5,AR,CON,CON,pure,0,,0.09,0.0223,69.7,surviving,AR
5,AR,CTR,CTR,pure,6,,2.0,0.4857,69.7,surviving,AR
5,AR,DSA,DSA,pure,8,,0.0,0.0,69.7,eliminated,AR
5,AR,LIB,LIB,pure,4,,0.0,0.0,69.7,eliminated,AR
5,AR,NAT,NAT,pure,3,,1.66,0.4031,69.7,surviving,AR
5,AR,PRG,PRG,pure,9,,0.0,0.0,69.7,eliminated,AR
5,AR,REF,REF,pure,5,,0.0,0.0,69.7,eliminated,AR
5,AR,SD,SD,pure,1,,58.05,14.0833,69.7,surviving,AR
5,AR,STY,STY,pure,2,,1.89,0.4591,69.7,surviving,AR
6,CA,CON,CON,pure,0,,0.0,0.0,662.03,eliminated,CA
6,CA,CTR,CTR,pure,6,,14.27,0.3598,662.03,surviving,CA
6,CA,DSA,DSA,pure,8,,0.0,0.0,662.03,eliminated,CA
6,CA,LIB,LIB,pure,4,,457.11,11.5251,662.03,surviving,CA
6,CA,NAT,NAT,pure,3,,0.0,0.0,662.03,eliminated,CA
6,CA,PRG,PRG,pure,9,,0.0,0.0,662.03,eliminated,CA
6,CA,REF,REF,pure,5,,17.71,0.4465,662.03,surviving,CA
6,CA,SD,SD,pure,1,,122.74,3.0948,662.03,surviving,CA
6,CA,STY,STY,pure,2,,44.2,1.1144,662.03,surviving,CA
8,CO,CON,CON,pure,0,,26.48,3.2009,138.88,surviving,CO
8,CO,CTR,CTR,pure,6,,0.0,0.0,138.88,eliminated,CO
8,CO,DSA,DSA,pure,8,,0.0,0.0,138.88,eliminated,CO
8,CO,LIB,LIB,pure,4,,0.44,0.0535,138.88,surviving,CO
8,CO,NAT,NAT,pure,3,,0.0,0.0,138.88,eliminated,CO
8,CO,PRG,PRG,pure,9,,14.57,1.7612,138.88,surviving,CO
8,CO,REF,REF,pure,5,,81.9,9.8997,138.88,surviving,CO
8,CO,SD,SD,pure,1,,9.49,1.1469,138.88,surviving,CO
8,CO,STY,STY,pure,2,,0.0,0.0,138.88,eliminated,CO
9,CT,CON,CON,pure,0,,0.77,0.1597,81.69,surviving,CT
9,CT,CTR,CTR,pure,6,,10.65,2.2,81.69,surviving,CT
9,CT,DSA,DSA,pure,8,,0.0,0.0,81.69,eliminated,CT
9,CT,LIB,LIB,pure,4,,107.56,22.2152,81.69,surviving,CT
9,CT,NAT,NAT,pure,3,,0.0,0.0,81.69,eliminated,CT
9,CT,PRG,PRG,pure,9,,0.0,0.0,81.69,eliminated,CT
9,CT,REF,REF,pure,5,,1.14,0.2353,81.69,surviving,CT
9,CT,SD,SD,pure,1,,37.27,7.697,81.69,surviving,CT
9,CT,STY,STY,pure,2,,0.0,0.0,81.69,eliminated,CT
10,DE,CON,CON,pure,0,,0.49,0.2247,37.16,surviving,DE
10,DE,CTR,CTR,pure,6,,0.73,0.3362,37.16,surviving,DE
10,DE,DSA,DSA,pure,8,,0.0,0.0,37.16,eliminated,DE
10,DE,LIB,LIB,pure,4,,17.06,7.864,37.16,surviving,DE
10,DE,NAT,NAT,pure,3,,3.37,1.5544,37.16,surviving,DE
10,DE,PRG,PRG,pure,9,,0.0,0.0,37.16,eliminated,DE
10,DE,REF,REF,pure,5,,0.0,0.0,37.16,eliminated,DE
10,DE,SD,SD,pure,1,,9.51,4.3826,37.16,surviving,DE
10,DE,STY,STY,pure,2,,0.0,0.0,37.16,eliminated,DE
11,DC,CON,CON,pure,0,,0.0,0.0,20.56,eliminated,DC
11,DC,CTR,CTR,pure,6,,13.21,11.2542,20.56,surviving,DC
11,DC,DSA,DSA,pure,8,,0.19,0.1638,20.56,surviving,DC
11,DC,LIB,LIB,pure,4,,0.01,0.0099,20.56,surviving,DC
11,DC,PRG,PRG,pure,9,,0.08,0.0659,20.56,surviving,DC
11,DC,REF,REF,pure,5,,0.0,0.0,20.56,eliminated,DC
11,DC,SD,SD,pure,1,,1.07,0.9124,20.56,surviving,DC
11,DC,STY,STY,pure,2,,0.0,0.0,20.56,eliminated,DC
12,FL,CON,CON,pure,0,,6.41,0.2012,531.69,surviving,FL
12,FL,CTR,CTR,pure,6,,129.15,4.0559,531.69,surviving,FL
12,FL,DSA,DSA,pure,8,,0.0,0.0,531.69,eliminated,FL
12,FL,LIB,LIB,pure,4,,0.0,0.0,531.69,eliminated,FL
12,FL,NAT,NAT,pure,3,,5.81,0.1823,531.69,surviving,FL
12,FL,PRG,PRG,pure,9,,0.0,0.0,531.69,eliminated,FL
12,FL,REF,REF,pure,5,,0.0,0.0,531.69,eliminated,FL
12,FL,SD,SD,pure,1,,368.91,11.5859,531.69,surviving,FL
12,FL,STY,STY,pure,2,,15.42,0.4842,531.69,surviving,FL
13,GA,CON,CON,pure,0,,183.16,12.4398,246.4,surviving,GA
13,GA,CTR,CTR,pure,6,,15.61,1.0599,246.4,surviving,GA
13,GA,DSA,DSA,pure,8,,0.0,0.0,246.4,eliminated,GA
13,GA,LIB,LIB,pure,4,,15.9,1.0799,246.4,surviving,GA
13,GA,NAT,NAT,pure,3,,0.0,0.0,246.4,eliminated,GA
13,GA,PRG,PRG,pure,9,,0.0,0.0,246.4,eliminated,GA
13,GA,REF,REF,pure,5,,0.0,0.0,246.4,eliminated,GA
13,GA,SD,SD,pure,1,,2.1,0.1426,246.4,surviving,GA
13,GA,STY,STY,pure,2,,23.63,1.6048,246.4,surviving,GA
15,HI,CON,CON,pure,0,,0.05,0.0246,34.86,surviving,HI
15,HI,CTR,CTR,pure,6,,0.54,0.2634,34.86,surviving,HI
15,HI,DSA,DSA,pure,8,,0.0,0.0,34.86,eliminated,HI
15,HI,LIB,LIB,pure,4,,3.81,1.8765,34.86,surviving,HI
15,HI,NAT,NAT,pure,3,,0.0,0.0,34.86,eliminated,HI
15,HI,PRG,PRG,pure,9,,0.0,0.0,34.86,eliminated,HI
15,HI,REF,REF,pure,5,,0.23,0.1141,34.86,surviving,HI
15,HI,SD,SD,pure,1,,24.23,11.9268,34.86,surviving,HI
15,HI,STY,STY,pure,2,,0.0,0.0,34.86,eliminated,HI
16,ID,CON,CON,pure,0,,13.64,4.1932,55.22,surviving,ID
16,ID,CTR,CTR,pure,6,,4.55,1.3978,55.22,surviving,ID
16,ID,DSA,DSA,pure,8,,53.75,16.5227,55.22,surviving,ID
16,ID,LIB,LIB,pure,4,,0.0,0.0,55.22,eliminated,ID
16,ID,NAT,NAT,pure,3,,29.0,8.9133,55.22,surviving,ID
16,ID,PRG,PRG,pure,9,,0.0,0.0,55.22,eliminated,ID
16,ID,REF,REF,pure,5,,0.0,0.0,55.22,eliminated,ID
16,ID,SD,SD,pure,1,,3.5,1.0768,55.22,surviving,ID
16,ID,STY,STY,pure,2,,0.0,0.0,55.22,eliminated,ID
17,IL,CON,CON,pure,0,,1.23,0.0841,244.39,surviving,IL
17,IL,CTR,CTR,pure,6,,0.13,0.0088,244.39,surviving,IL
17,IL,DSA,DSA,pure,8,,0.0,0.0,244.39,eliminated,IL
17,IL,LIB,LIB,pure,4,,171.85,11.7681,244.39,surviving,IL
17,IL,NAT,NAT,pure,3,,0.0,0.0,244.39,eliminated,IL
17,IL,PRG,PRG,pure,9,,0.0,0.0,244.39,eliminated,IL
17,IL,REF,REF,pure,5,,14.98,1.0256,244.39,surviving,IL
17,IL,SD,SD,pure,1,,50.2,3.4377,244.39,surviving,IL
17,IL,STY,STY,pure,2,,0.0,0.0,244.39,eliminated,IL
18,IN,CON,CON,pure,0,,0.69,0.0691,166.83,surviving,IN
18,IN,CTR,CTR,pure,6,,24.14,2.4257,166.83,surviving,IN
18,IN,DSA,DSA,pure,8,,0.0,0.0,166.83,eliminated,IN
18,IN,LIB,LIB,pure,4,,0.0,0.0,166.83,eliminated,IN
18,IN,NAT,NAT,pure,3,,8.62,0.8663,166.83,surviving,IN
18,IN,PRG,PRG,pure,9,,0.0,0.0,166.83,eliminated,IN
18,IN,REF,REF,pure,5,,0.0,0.0,166.83,eliminated,IN
18,IN,SD,SD,pure,1,,125.92,12.6557,166.83,surviving,IN
18,IN,STY,STY,pure,2,,1.47,0.1474,166.83,surviving,IN
19,IA,CON,CON,pure,0,,1.77,0.397,75.47,surviving,IA
19,IA,CTR,CTR,pure,6,,0.41,0.092,75.47,surviving,IA
19,IA,DSA,DSA,pure,8,,0.0,0.0,75.47,eliminated,IA
19,IA,LIB,LIB,pure,4,,51.37,11.4977,75.47,surviving,IA
19,IA,NAT,NAT,pure,3,,8.06,1.8047,75.47,surviving,IA
19,IA,PRG,PRG,pure,9,,0.0,0.0,75.47,eliminated,IA
19,IA,REF,REF,pure,5,,0.0,0.0,75.47,eliminated,IA
19,IA,SD,SD,pure,1,,0.0,0.0,75.47,eliminated,IA
19,IA,STY,STY,pure,2,,7.85,1.7562,75.47,surviving,IA
20,KS,CON,CON,pure,0,,12.05,3.2324,63.12,surviving,KS
20,KS,CTR,CTR,pure,6,,0.15,0.0392,63.12,surviving,KS
20,KS,DSA,DSA,pure,8,,0.0,0.0,63.12,eliminated,KS
20,KS,LIB,LIB,pure,4,,37.08,9.9493,63.12,surviving,KS
20,KS,NAT,NAT,pure,3,,13.04,3.4989,63.12,surviving,KS
20,KS,PRG,PRG,pure,9,,0.0,0.0,63.12,eliminated,KS
20,KS,REF,REF,pure,5,,0.0,0.0,63.12,eliminated,KS
20,KS,SD,SD,pure,1,,0.0,0.0,63.12,eliminated,KS
20,KS,STY,STY,pure,2,,57.92,15.5403,63.12,surviving,KS
21,KY,CON,CON,pure,0,,2.14,0.2986,120.65,surviving,KY
21,KY,CTR,CTR,pure,6,,34.51,4.8069,120.65,surviving,KY
21,KY,DSA,DSA,pure,8,,0.0,0.0,120.65,eliminated,KY
21,KY,LIB,LIB,pure,4,,0.0,0.0,120.65,eliminated,KY
21,KY,NAT,NAT,pure,3,,2.32,0.3238,120.65,surviving,KY
21,KY,PRG,PRG,pure,9,,0.0,0.0,120.65,eliminated,KY
21,KY,REF,REF,pure,5,,0.0,0.0,120.65,eliminated,KY
21,KY,SD,SD,pure,1,,71.79,10.0,120.65,surviving,KY
21,KY,STY,STY,pure,2,,3.88,0.5409,120.65,surviving,KY
22,LA,CON,CON,pure,0,,0.72,0.1409,85.73,surviving,LA
22,LA,CTR,CTR,pure,6,,22.43,4.4128,85.73,surviving,LA
22,LA,DSA,DSA,pure,8,,0.0,0.0,85.73,eliminated,LA
22,LA,LIB,LIB,pure,4,,0.0,0.0,85.73,eliminated,LA
22,LA,NAT,NAT,pure,3,,1.57,0.3079,85.73,surviving,LA
22,LA,PRG,PRG,pure,9,,0.0,0.0,85.73,eliminated,LA
22,LA,REF,REF,pure,5,,0.0,0.0,85.73,eliminated,LA
22,LA,SD,SD,pure,1,,48.99,9.6352,85.73,surviving,LA
22,LA,STY,STY,pure,2,,6.03,1.1865,85.73,surviving,LA
