variable,domain,question,party,pYes,observedPct,delta,diverges
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,CON,0.8755,85.14,-2.41,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,LBR,0.4376,48.87,5.1,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,STY,0.6023,60.53,0.3,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,NAT,0.9367,93.79,0.11,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,LIB,0.3762,33.0,-4.62,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,POP,0.8174,75.71,-6.03,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,CUP,0.771,76.39,-0.72,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,OAO,0.7224,68.53,-3.71,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,DSA,0.2042,28.81,8.39,False
CC24_341a,Taxes & Economy,Extend the 2017 tax cuts,PRG,0.218,11.75,-10.06,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,CON,0.366,38.83,2.23,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,LBR,0.8312,80.38,-2.74,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,STY,0.5768,53.44,-4.24,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,NAT,0.0854,6.67,-1.87,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,LIB,0.9029,90.73,0.44,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,POP,0.2208,33.59,11.51,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,CUP,0.5653,53.05,-3.48,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,OAO,0.8185,80.02,-1.83,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,DSA,0.8946,88.53,-0.93,False
CC24_341b,Taxes & Economy,Raise corporate income tax from 21% to 28%,PRG,0.9174,97.35,5.61,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,CON,0.5486,52.53,-2.33,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,LBR,0.9291,86.39,-6.52,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,STY,0.6715,58.74,-8.42,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,NAT,0.066,7.55,0.95,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,LIB,0.9661,98.0,1.39,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,POP,0.2156,38.0,16.44,True
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,CUP,0.6994,62.06,-7.88,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,OAO,0.9636,92.79,-3.57,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,DSA,0.9438,99.64,5.25,False
CC24_341c,Taxes & Economy,Allow rates on $400k+ earners to rise to 35%,PRG,0.9522,100.0,4.78,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,CON,0.8256,78.42,-4.14,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,LBR,0.9303,90.71,-2.33,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,STY,0.7902,70.88,-8.15,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,NAT,0.4951,54.86,5.35,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,LIB,0.9554,97.44,1.9,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,POP,0.634,61.25,-2.15,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,CUP,0.8686,79.66,-7.19,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,OAO,0.9643,94.94,-1.49,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,DSA,0.9133,95.47,4.14,False
CC24_341d,Taxes & Economy,Spend $150B/yr on infrastructure,PRG,0.934,99.53,6.12,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,CON,0.2314,30.23,7.09,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,LBR,0.9398,82.71,-11.27,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,STY,0.8062,75.1,-5.52,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,NAT,0.0097,0.2,-0.77,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,LIB,0.9803,98.31,0.27,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,POP,0.0555,12.34,6.79,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,CUP,0.602,59.97,-0.23,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,OAO,0.9079,90.37,-0.42,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,DSA,0.9884,99.37,0.53,False
CC24_323a,Immigration,Grant legal status to long-term undocumented immigrants,PRG,0.9917,99.98,0.81,False
CC24_323b,Immigration,Increase border patrols,CON,0.9932,99.48,0.16,False
CC24_323b,Immigration,Increase border patrols,LBR,0.8401,72.24,-11.78,False
CC24_323b,Immigration,Increase border patrols,STY,0.7196,64.81,-7.15,False
CC24_323b,Immigration,Increase border patrols,NAT,0.9892,100.0,1.08,False
CC24_323b,Immigration,Increase border patrols,LIB,0.8402,75.33,-8.69,False
CC24_323b,Immigration,Increase border patrols,POP,0.9539,89.1,-6.28,False
CC24_323b,Immigration,Increase border patrols,CUP,0.9732,93.2,-4.12,False
CC24_323b,Immigration,Increase border patrols,OAO,0.9953,99.97,0.44,False
CC24_323b,Immigration,Increase border patrols,DSA,0.2123,18.34,-2.89,False
