variable,intercept,b_FS_F1,b_FS_F2,b_FS_F3,b_FS_F4,b_FS_F5,n,pseudo_r2
CC24_341a,0.75209,0.70538,-0.31036,0.7088,0.85869,0.86778,45707,0.2414
CC24_341b,0.39652,-0.04239,-0.02857,-0.20961,-0.94499,-1.5467,45643,0.3057
CC24_341c,1.03396,0.71914,0.14564,-0.08597,-1.41579,-2.41446,45707,0.4389
CC24_341d,1.81295,0.65477,-0.11425,-0.01207,-1.15225,-1.15339,45707,0.1999
CC24_323a,0.69762,-1.29067,-0.45735,1.55435,0.47243,-2.69788,45707,0.5837
CC24_323b,2.68215,3.36121,-0.12642,-0.18408,-0.86395,-0.14986,45707,0.494
CC24_323d,2.52868,-1.557,-0.16312,1.46381,1.33217,-3.68826,45707,0.6665
CC24_323f,0.26007,-0.9181,0.30379,-0.25643,-0.4526,-1.35999,45704,0.3253
CC24_340f,1.29654,3.95208,-0.37559,-0.02767,-1.27298,1.68131,45707,0.6537
CC24_321a,0.54103,-0.11006,0.0435,-0.43748,-0.24424,-1.92075,45705,0.3347
CC24_321b,-0.66309,0.00168,-0.42476,0.61063,-0.06527,2.29095,45707,0.3639
CC24_321c,3.35261,0.86575,-0.08195,-0.02662,-0.43622,-1.75338,45706,0.2313
CC24_321d,0.243,4.85938,0.0379,-0.01761,1.90242,-1.13008,45707,0.637
CC24_321e,-1.736,-2.672,-0.12325,0.31135,-1.16459,0.56525,45707,0.4319
CC24_321f,2.65041,0.70929,-0.02966,-0.07914,-0.53319,-1.86828,45694,0.2818
CC24_340b,0.71639,-0.09885,0.02801,-0.13456,-2.11325,-0.62214,45707,0.2528
CC24_444c,-0.48964,0.76586,-0.09151,0.17455,0.93578,0.66632,45703,0.2167
CC24_444d,-1.66738,0.41726,-0.00336,-0.0414,0.91272,0.22961,45700,0.0852
CC24_340c,1.536,-0.37988,-0.37662,0.64922,-6.09479,-0.37502,45707,0.5935
CC24_340d,0.23569,0.92145,-0.25462,0.02769,0.08515,0.10097,45566,0.1018
CC24_340e,-0.86854,1.49302,-0.3409,0.65749,-0.21519,-1.06467,45707,0.1963
CC24_444a,0.53334,0.56233,-0.1222,0.28351,0.25053,0.8831,45701,0.1707
CC24_444b,0.76385,1.07238,-0.06366,0.24337,0.60739,0.85161,45700,0.2762
CC24_444e,1.43932,0.8747,0.05864,-0.00845,0.38111,-0.23454,45702,0.0746
CC24_444f,0.31205,0.30718,0.06556,0.25765,0.53276,0.73085,45702,0.1354
CC24_326a,0.83284,-0.37274,-0.07361,-0.45585,-0.72603,-1.96422,45705,0.4046
CC24_326b,1.08502,-0.4487,0.11865,-0.34878,-0.68786,-1.7755,45703,0.3696
CC24_326c,0.2846,-0.53796,0.0171,-0.43804,-0.45977,-1.60246,45705,0.3315
CC24_326d,0.41161,1.0798,-0.14575,0.35731,0.44184,1.00512,45706,0.2919
CC24_326e,-0.33851,-0.69641,0.10423,-0.24263,-0.51227,-1.17378,45705,0.2655
CC24_326f,0.82141,0.37626,-0.09186,0.30874,-0.0583,0.63795,45705,0.0827
CC24_328a,0.00881,-0.18694,-0.19228,-0.00027,-0.00596,-0.26663,45699,0.0275
CC24_328b,1.23141,-0.35631,-0.02886,0.05866,-0.37303,-1.00808,45698,0.1872
CC24_328c,0.13667,0.7105,-0.11879,0.25339,0.19911,0.23515,45697,0.0888
CC24_328d,-0.70531,0.74689,0.14945,0.19674,0.59607,1.20103,45699,0.2975
CC24_328e,1.77385,-0.4171,0.10762,-0.01632,-0.56892,-1.15837,45701,0.2275
CC24_323c,0.29054,1.88746,-0.13821,0.12736,0.59603,1.70144,45705,0.502
