type_a,chamber_a,type_b,chamber_b,F1_SecOrd_dist,F2_ElecSkep_dist,F3_GovtDis_dist,F4_ReligTrad_dist,F5_PopCons_dist,euclidean_5d,F1_SecOrd_align,F2_ElecSkep_align,F3_GovtDis_align,F4_ReligTrad_align,F5_PopCons_align,overall_align
CON/SD,senate,SD/CON,senate,0.0828,0.0006,0.0014,0.0394,0.0704,0.1156,0.96,0.9996,0.9959,0.9533,0.9718,0.9667
SD/STY,senate,STY/SD,senate,0.0054,0.1173,0.0071,0.0866,0.0852,0.1691,0.9974,0.9256,0.9792,0.8974,0.9659,0.9513
CON/STY,senate,STY/CON,senate,0.1819,0.1022,0.0034,0.0081,0.0757,0.2222,0.9122,0.9351,0.99,0.9904,0.9697,0.9361
STY/POP,senate,POP/STY,senate,0.1167,0.0183,0.0611,0.0031,0.1894,0.2314,0.9436,0.9884,0.8209,0.9963,0.9242,0.9334
SD,senate,SD/STY,senate,0.0104,0.2277,0.0138,0.168,0.1656,0.3283,0.995,0.8555,0.9595,0.801,0.9338,0.9055
CON,both,CON/POP,senate,0.1752,0.2427,0.0982,0.0222,0.1698,0.3586,0.9154,0.846,0.7121,0.9737,0.9321,0.8968
CON,both,CON/CUP,senate,0.1906,0.3013,0.1084,0.0338,0.1534,0.4044,0.908,0.8088,0.6822,0.96,0.9386,0.8836
SD,senate,SD/LIB,senate,0.0235,0.3487,0.0871,0.0106,0.1889,0.4069,0.9887,0.7787,0.7446,0.9874,0.9244,0.8829
CON/NAT,senate,CON/POP,senate,0.1601,0.0215,0.0579,0.1392,0.3533,0.4167,0.9227,0.9864,0.8303,0.8351,0.8587,0.8801
SD/LIB,senate,LIB,both,0.0245,0.3629,0.0906,0.0111,0.1967,0.4235,0.9882,0.7697,0.7344,0.9869,0.9213,0.8781
CON/SD,senate,CON/STY,senate,0.022,0.2901,0.0181,0.2308,0.2409,0.443,0.9894,0.8159,0.9469,0.7266,0.9036,0.8725
POP,both,POP/STY,senate,0.2399,0.0375,0.1256,0.0065,0.3895,0.4759,0.8842,0.9762,0.6318,0.9923,0.8442,0.8631
SD/CUP,senate,LIB/CUP,senate,0.0492,0.4034,0.0986,0.0012,0.2494,0.487,0.9762,0.744,0.7109,0.9986,0.9002,0.8599
SD,senate,STY/SD,senate,0.0158,0.345,0.0209,0.2546,0.2508,0.4974,0.9924,0.7811,0.9387,0.6984,0.8997,0.8569
STY,both,STY/SD,senate,0.0159,0.345,0.0209,0.2546,0.2509,0.4975,0.9923,0.7811,0.9387,0.6984,0.8996,0.8568
STY/CON,senate,STY/POP,senate,0.2301,0.3386,0.143,0.0312,0.2567,0.5049,0.8889,0.7851,0.5808,0.963,0.8973,0.8547
CON/SD,senate,STY/CON,senate,0.1599,0.3923,0.0215,0.2227,0.1652,0.5068,0.9228,0.7511,0.937,0.7362,0.9339,0.8542
SD/CON,senate,SD/CUP,senate,0.2748,0.3414,0.1235,0.0665,0.2239,0.5118,0.8673,0.7834,0.6379,0.9212,0.9104,0.8527
CON/STY,senate,SD/CON,senate,0.1048,0.2907,0.0195,0.2702,0.3113,0.5155,0.9494,0.8155,0.9428,0.6799,0.8755,0.8517
CON/POP,senate,CON/STY,senate,0.3345,0.0435,0.1076,0.0005,0.3818,0.5208,0.8385,0.9724,0.6845,0.9994,0.8473,0.8501
LIB,both,LIB/CUP,senate,0.2912,0.0292,0.0353,0.181,0.3953,0.5253,0.8594,0.9815,0.8965,0.7856,0.8419,0.8488
SD/CON,senate,STY/CON,senate,0.0771,0.3929,0.0229,0.2621,0.2356,0.5339,0.9628,0.7507,0.9329,0.6895,0.9058,0.8464
SD/LIB,senate,LIB/CUP,senate,0.2668,0.3921,0.1259,0.1921,0.1987,0.5631,0.8712,0.7512,0.6309,0.7724,0.9205,0.838
SD,senate,SD/CUP,senate,0.2924,0.3373,0.1143,0.2039,0.2592,0.5667,0.8588,0.786,0.6649,0.7585,0.8963,0.8369
STY,both,STY/POP,senate,0.2917,0.0456,0.1527,0.0079,0.4737,0.5787,0.8591,0.9711,0.5523,0.9906,0.8105,0.8335
SD/CUP,senate,SD/LIB,senate,0.316,0.0113,0.0273,0.1933,0.4481,0.5821,0.8474,0.9928,0.92,0.771,0.8208,0.8325
CON/CUP,senate,CON/SD,senate,0.3411,0.2974,0.0997,0.2197,0.2995,0.5939,0.8353,0.8113,0.7077,0.7398,0.8802,0.8291
CON/SD,senate,SD/CUP,senate,0.3576,0.342,0.1249,0.1059,0.2943,0.5986,0.8273,0.783,0.6338,0.8746,0.8823,0.8277
CON,both,CON/NAT,senate,0.0151,0.2211,0.1561,0.117,0.5232,0.6007,0.9927,0.8597,0.5424,0.8614,0.7907,0.8271
STY/CON,senate,POP/STY,senate,0.1134,0.3569,0.2041,0.0343,0.4461,0.6181,0.9452,0.7735,0.4016,0.9594,0.8216,0.8221
CON,both,CON/STY,senate,0.5097,0.2862,0.0094,0.0227,0.212,0.6223,0.7539,0.8184,0.9724,0.9731,0.9152,0.8209
CON/NAT,senate,NAT,house,0.0157,0.2302,0.1625,0.1217,0.5445,0.6253,0.9924,0.8539,0.5236,0.8558,0.7822,0.8201
CON/CUP,senate,CON/POP,senate,0.0154,0.544,0.0102,0.0116,0.3232,0.6331,0.9926,0.6548,0.9701,0.9863,0.8707,0.8178
STY,both,STY/CON,senate,0.5218,0.293,0.0097,0.0233,0.217,0.637,0.748,0.8141,0.9716,0.9724,0.9132,0.8167
CON/STY,senate,STY/POP,senate,0.412,0.4408,0.1396,0.0393,0.181,0.6464,0.801,0.7203,0.5907,0.9534,0.9276,0.814
CON/CUP,senate,CUP,both,0.311,0.4918,0.1768,0.0552,0.2503,0.66,0.8498,0.6879,0.4817,0.9346,0.8999,0.8101
SD/CUP,senate,SD/STY,senate,0.3028,0.565,0.1281,0.0359,0.0936,0.6614,0.8538,0.6415,0.6245,0.9575,0.9626,0.8097
SD/STY,senate,STY,both,0.0213,0.4623,0.028,0.3412,0.3361,0.6666,0.9897,0.7066,0.9179,0.5958,0.8656,0.8082
CON/CUP,senate,CON/STY,senate,0.3191,0.5875,0.1178,0.0111,0.0586,0.6815,0.8459,0.6272,0.6546,0.9869,0.9766,0.8039
CON/STY,senate,POP/STY,senate,0.2953,0.4591,0.2007,0.0424,0.3704,0.6908,0.8574,0.7087,0.4116,0.9498,0.8518,0.8012
CON/CUP,senate,SD/CON,senate,0.4239,0.2968,0.0983,0.2591,0.3699,0.6938,0.7953,0.8117,0.7118,0.6931,0.852,0.8004
SD/LIB,senate,SD/STY,senate,0.0131,0.5764,0.1009,0.1574,0.3545,0.7022,0.9937,0.6342,0.7042,0.8136,0.8582,0.7979
SD/CON,senate,SD/STY,senate,0.5776,0.2236,0.0046,0.1024,0.3175,0.7035,0.7211,0.8581,0.9865,0.8787,0.873,0.7976
STY/POP,senate,POP,both,0.3566,0.0558,0.1867,0.0096,0.5789,0.7074,0.8278,0.9646,0.4527,0.9886,0.7684,0.7964
CON/POP,senate,STY/CON,senate,0.5165,0.1457,0.1111,0.0086,0.4575,0.7139,0.7506,0.9075,0.6743,0.9898,0.817,0.7946
SD/CON,senate,STY/SD,senate,0.583,0.3409,0.0117,0.0158,0.2323,0.7145,0.7185,0.7837,0.9657,0.9813,0.9071,0.7944
CON,both,CON/SD,senate,0.5317,0.0039,0.0087,0.2535,0.4529,0.7431,0.7432,0.9975,0.9745,0.6997,0.8188,0.7862
STY/CON,senate,STY/SD,senate,0.5059,0.052,0.0112,0.2779,0.4679,0.7449,0.7557,0.967,0.9672,0.6708,0.8128,0.7856
SD/CUP,senate,CUP,both,0.3877,0.4472,0.1516,0.2704,0.3435,0.7512,0.8128,0.7162,0.5556,0.6797,0.8626,0.7838
SD/CUP,senate,STY/SD,senate,0.3082,0.6823,0.1352,0.0507,0.0084,0.7626,0.8512,0.567,0.6036,0.9399,0.9966,0.7806
LIB/CUP,senate,CUP,both,0.4369,0.0437,0.0529,0.2716,0.593,0.788,0.789,0.9723,0.8449,0.6783,0.7628,0.7732
SD,senate,SD/CON,senate,0.5672,0.0041,0.0092,0.2704,0.4831,0.7927,0.7261,0.9974,0.973,0.6797,0.8068,0.7719
CON/POP,senate,POP,both,0.3899,0.5401,0.2187,0.0494,0.3781,0.7981,0.8117,0.6573,0.3588,0.9415,0.8488,0.7703
CON/POP,senate,CON/SD,senate,0.3565,0.2466,0.0895,0.2313,0.6227,0.7983,0.8278,0.8435,0.7376,0.726,0.7509,0.7703
CON/SD,senate,STY/SD,senate,0.6658,0.3403,0.0103,0.0552,0.3027,0.8086,0.6785,0.7841,0.9698,0.9346,0.8789,0.7673
STY,both,POP/STY,senate,0.4084,0.0639,0.2138,0.011,0.6631,0.8102,0.8028,0.9595,0.3732,0.987,0.7348,0.7669
CON/SD,senate,SD/STY,senate,0.6604,0.223,0.0032,0.1418,0.3879,0.8102,0.6811,0.8585,0.9906,0.832,0.8448,0.7669
CON/POP,senate,POP/STY,senate,0.6298,0.5026,0.0931,0.0429,0.0114,0.8124,0.6959,0.6811,0.7271,0.9492,0.9954,0.7662
LIB,both,PRG,house,0.7977,0.1099,0.1195,0.0639,0.0404,0.8176,0.6148,0.9303,0.6497,0.9243,0.9838,0.7647
CON/NAT,senate,POP,both,0.55,0.5617,0.1608,0.1886,0.0247,0.8246,0.7344,0.6436,0.5286,0.7766,0.9901,0.7627
SD,senate,LIB,both,0.048,0.7116,0.1777,0.0217,0.3856,0.8303,0.9768,0.5484,0.479,0.9743,0.8458,0.7611
