respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38
0,LIB_lo_pc,LIB,LIB_hi_pc,DSA_lo_es,LBR_lo_es,LBR_lo_pc,LBR_lo_so,DSA,LBR,CUP_lo_pc,LBR_hi_so,LBR_hi_es,LBR_hi_pc,DSA_hi_es,STY_lo_es,CUP,STY_lo_pc,STY_lo_so,STY,CUP_hi_pc,STY_hi_so,STY_hi_es,STY_hi_pc,PRG,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
1,CUP_lo_pc,STY_lo_es,LIB_hi_pc,LIB,LBR_lo_es,STY_lo_pc,CUP,LIB_lo_pc,LBR_lo_pc,LBR,LBR_hi_so,LBR_lo_so,STY,STY_hi_so,LBR_hi_pc,STY_lo_so,LBR_hi_es,CUP_hi_pc,STY_hi_pc,STY_hi_es,POP,POP_lo_pc,POP_lo_es,DSA_lo_es,POP_hi_es,DSA,POP_hi_pc,DSA_hi_es,CON_lo_pc,PRG,CON_lo_es,CON,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
2,DSA_lo_es,DSA,DSA_hi_es,LBR_lo_so,LBR_lo_pc,LBR,LBR_hi_es,LBR_lo_es,LBR_hi_pc,LBR_hi_so,STY_lo_pc,STY_lo_so,STY_lo_es,STY,STY_hi_es,STY_hi_so,STY_hi_pc,LIB,LIB_lo_pc,LIB_hi_pc,PRG,CUP_lo_pc,POP,CUP,CUP_hi_pc,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_hi_es,CON_lo_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
3,LBR_hi_es,LBR_lo_pc,LBR_hi_so,LBR,LBR_lo_so,STY_lo_pc,LBR_hi_pc,LBR_lo_es,STY_hi_so,STY,STY_hi_es,STY_lo_es,STY_lo_so,STY_hi_pc,POP_lo_pc,DSA_hi_es,DSA,DSA_lo_es,POP_lo_es,POP,POP_hi_es,POP_hi_pc,CON_lo_pc,CON_hi_es,CON,CON_lo_es,CON_hi_pc,LIB,LIB_hi_pc,LIB_lo_pc,CUP_lo_pc,CUP,CUP_hi_pc,OAO,PRG,NAT,NAT_hi_es,NAT_lo_es
4,STY_hi_so,STY_lo_es,POP_lo_pc,STY_hi_pc,STY,POP_lo_es,STY_lo_pc,STY_hi_es,STY_lo_so,POP,POP_hi_es,POP_hi_pc,CON_lo_pc,CON_hi_es,CON,CON_lo_es,CON_hi_pc,LBR_hi_pc,LBR_hi_so,LBR_hi_es,LBR,LBR_lo_es,LBR_lo_so,LBR_lo_pc,CUP_hi_pc,CUP,CUP_lo_pc,OAO,LIB_hi_pc,NAT_lo_es,NAT,LIB,NAT_hi_es,LIB_lo_pc,DSA_lo_es,DSA,DSA_hi_es,PRG
5,PRG,LIB,LIB_lo_pc,LIB_hi_pc,LBR_lo_so,LBR_lo_es,LBR,LBR_lo_pc,DSA_lo_es,DSA,LBR_hi_pc,LBR_hi_es,LBR_hi_so,DSA_hi_es,STY,CUP,CUP_lo_pc,CUP_hi_pc,STY_lo_es,STY_lo_so,STY_lo_pc,POP,STY_hi_so,STY_hi_pc,STY_hi_es,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
6,PRG,DSA_lo_es,LIB_lo_pc,LIB,LIB_hi_pc,DSA,LBR_lo_so,LBR_lo_pc,LBR_lo_es,DSA_hi_es,LBR,LBR_hi_es,LBR_hi_pc,LBR_hi_so,STY_lo_pc,STY_lo_es,STY_lo_so,STY,CUP_lo_pc,STY_hi_so,STY_hi_es,STY_hi_pc,CUP,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
7,NAT_hi_es,NAT,POP_hi_es,POP_hi_pc,POP,NAT_lo_es,POP_lo_pc,POP_lo_es,STY,CON,STY_hi_pc,CON_hi_es,STY_hi_es,STY_hi_so,CON_hi_pc,STY_lo_so,STY_lo_es,CON_lo_pc,STY_lo_pc,CON_lo_es,LBR,OAO,LBR_hi_pc,LBR_hi_es,LBR_hi_so,LBR_lo_so,LBR_lo_es,LBR_lo_pc,CUP,CUP_hi_pc,CUP_lo_pc,LIB,DSA,DSA_hi_es,LIB_hi_pc,DSA_lo_es,LIB_lo_pc,PRG
8,POP_hi_pc,POP_hi_es,POP,POP_lo_es,POP_lo_pc,STY_hi_pc,STY_hi_so,STY_hi_es,STY,STY_lo_es,STY_lo_so,STY_lo_pc,CON_hi_pc,CON_hi_es,CON,CON_lo_es,CON_lo_pc,NAT_hi_es,NAT,NAT_lo_es,LBR,LBR_hi_pc,CUP_hi_pc,CUP,LBR_hi_es,LBR_hi_so,LBR_lo_so,LBR_lo_es,CUP_lo_pc,LBR_lo_pc,OAO,LIB,LIB_hi_pc,LIB_lo_pc,DSA,DSA_hi_es,DSA_lo_es,PRG
9,STY_lo_pc,STY_hi_so,STY_hi_es,STY,STY_lo_es,STY_lo_so,STY_hi_pc,POP_lo_pc,CON_lo_pc,POP,POP_hi_es,POP_lo_es,CON_hi_es,LBR_hi_es,CON,LBR_hi_so,LBR_lo_pc,LBR,CON_lo_es,LBR_hi_pc,LBR_lo_so,LBR_lo_es,POP_hi_pc,CON_hi_pc,OAO,DSA_hi_es,DSA,DSA_lo_es,CUP_lo_pc,CUP,CUP_hi_pc,LIB_hi_pc,LIB,LIB_lo_pc,NAT,NAT_hi_es,NAT_lo_es,PRG
10,POP_lo_pc,POP_hi_es,POP,STY_hi_pc,STY_hi_so,POP_lo_es,STY_hi_es,POP_hi_pc,STY,STY_lo_es,STY_lo_so,STY_lo_pc,CON_hi_es,CON_hi_pc,CON,CON_lo_pc,CON_lo_es,LBR_hi_pc,LBR_hi_es,LBR_hi_so,LBR,LBR_lo_so,LBR_lo_es,LBR_lo_pc,OAO,CUP_hi_pc,CUP,CUP_lo_pc,NAT_hi_es,NAT,NAT_lo_es,LIB,LIB_hi_pc,LIB_lo_pc,DSA_hi_es,DSA,DSA_lo_es,PRG
11,NAT_lo_es,NAT,NAT_hi_es,CON_hi_pc,CON_hi_es,CON,CON_lo_es,POP_lo_es,CON_lo_pc,POP_hi_pc,POP,POP_hi_es,POP_lo_pc,STY_hi_pc,STY_hi_so,STY_lo_es,STY,STY_hi_es,STY_lo_so,STY_lo_pc,CUP_hi_pc,CUP,CUP_lo_pc,OAO,LBR,LBR_hi_pc,LBR_hi_so,LBR_hi_es,LBR_lo_es,LBR_lo_so,LBR_lo_pc,LIB,LIB_hi_pc,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
12,CUP_hi_pc,POP_lo_es,CUP,POP,CON_hi_pc,POP_hi_pc,POP_lo_pc,CON_lo_es,CUP_lo_pc,CON,STY_hi_pc,STY_lo_es,STY_hi_so,CON_hi_es,POP_hi_es,CON_lo_pc,STY,STY_lo_so,STY_hi_es,STY_lo_pc,LBR_hi_pc,LBR_hi_so,LBR_lo_es,LBR,OAO,NAT_lo_es,LBR_hi_es,LBR_lo_so,NAT,LBR_lo_pc,NAT_hi_es,LIB_hi_pc,LIB,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
13,POP_hi_es,POP_lo_pc,POP,STY_hi_so,CON_hi_es,STY_hi_es,POP_hi_pc,POP_lo_es,STY_hi_pc,STY,CON_lo_pc,CON,STY_lo_pc,CON_hi_pc,STY_lo_es,STY_lo_so,CON_lo_es,NAT_hi_es,NAT,LBR,NAT_lo_es,LBR_hi_es,LBR_hi_so,LBR_hi_pc,LBR_lo_pc,LBR_lo_es,LBR_lo_so,OAO,CUP,CUP_hi_pc,DSA,CUP_lo_pc,DSA_hi_es,DSA_lo_es,LIB,LIB_hi_pc,LIB_lo_pc,PRG
14,CON_hi_es,CON_hi_pc,CON,CON_lo_pc,POP_lo_pc,CON_lo_es,POP,POP_hi_es,POP_lo_es,POP_hi_pc,STY_hi_so,STY_hi_pc,STY_hi_es,STY,STY_lo_es,STY_lo_pc,STY_lo_so,NAT_hi_es,NAT,NAT_lo_es,LBR_hi_pc,LBR_hi_so,LBR_hi_es,LBR,LBR_lo_es,LBR_lo_so,LBR_lo_pc,OAO,CUP_hi_pc,CUP,CUP_lo_pc,LIB,LIB_hi_pc,LIB_lo_pc,DSA,DSA_hi_es,DSA_lo_es,PRG
15,CUP_hi_pc,CON_lo_es,CUP,CON_hi_pc,CON,CON_lo_pc,CON_hi_es,CUP_lo_pc,POP_lo_es,STY_hi_so,STY_lo_es,POP_lo_pc,STY_hi_pc,POP,STY,POP_hi_pc,NAT_lo_es,POP_hi_es,STY_lo_pc,NAT,STY_hi_es,STY_lo_so,NAT_hi_es,LBR_hi_so,LBR_hi_pc,OAO,LBR_lo_es,LBR,LBR_hi_es,LBR_lo_pc,LBR_lo_so,LIB_hi_pc,LIB,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
16,CON_lo_pc,CON_lo_es,CON,CON_hi_es,CON_hi_pc,STY_hi_so,STY_lo_es,POP_lo_pc,POP_lo_es,STY_hi_pc,STY,STY_lo_pc,POP,STY_hi_es,CUP,CUP_hi_pc,CUP_lo_pc,STY_lo_so,OAO,POP_hi_es,POP_hi_pc,LBR_hi_so,LBR_hi_pc,LBR_lo_es,LBR,LBR_hi_es,LBR_lo_pc,LBR_lo_so,NAT_lo_es,NAT,NAT_hi_es,LIB_hi_pc,LIB,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
17,CON_lo_pc,CON_lo_es,CON,CON_hi_es,CUP,CUP_lo_pc,CON_hi_pc,CUP_hi_pc,LBR_hi_so,POP_lo_pc,POP_lo_es,LBR_hi_pc,OAO,LBR_lo_es,STY_hi_so,LBR,STY_lo_es,POP,LBR_hi_es,LBR_lo_pc,STY,STY_hi_pc,STY_lo_pc,LBR_lo_so,POP_hi_es,POP_hi_pc,STY_hi_es,STY_lo_so,LIB_hi_pc,LIB,NAT_lo_es,LIB_lo_pc,NAT,NAT_hi_es,DSA,DSA_lo_es,DSA_hi_es,PRG
