candidate_code,candidate_name,party,axis,direction,F1_security_order,F2_electoral_skepticism,F3_government_distrust,F4_religious_traditionalism,F5_populist_conservatism
CON,CON,CON,base,base,0.7674,-0.0235,0.1108,0.2186,0.4424
CON_hi_es,CON_hi_es,CON,es,hi,0.7674,0.1225,0.1108,0.2186,0.4424
CON_lo_es,CON_lo_es,CON,es,lo,0.7674,-0.1695,0.1108,0.2186,0.4424
CON_hi_pc,CON_hi_pc,CON,pc,hi,0.7674,-0.0235,0.1108,0.2186,0.6533
CON_lo_pc,CON_lo_pc,CON,pc,lo,0.7674,-0.0235,0.1108,0.2186,0.2315
SD,SD,SD,base,base,-0.4143,-0.0321,0.0915,-0.3447,-0.564
SD_hi_so,SD_hi_so,SD,so,hi,-0.2335,-0.0321,0.0915,-0.3447,-0.564
SD_lo_so,SD_lo_so,SD,so,lo,-0.5951,-0.0321,0.0915,-0.3447,-0.564
SD_hi_es,SD_hi_es,SD,es,hi,-0.4143,0.1139,0.0915,-0.3447,-0.564
SD_lo_es,SD_lo_es,SD,es,lo,-0.4143,-0.1781,0.0915,-0.3447,-0.564
SD_hi_pc,SD_hi_pc,SD,pc,hi,-0.4143,-0.0321,0.0915,-0.3447,-0.3531
SD_lo_pc,SD_lo_pc,SD,pc,lo,-0.4143,-0.0321,0.0915,-0.3447,-0.7749
STY,STY,STY,base,base,-0.446,0.6579,0.1333,0.1645,-0.0623
STY_hi_so,STY_hi_so,STY,so,hi,-0.2652,0.6579,0.1333,0.1645,-0.0623
STY_lo_so,STY_lo_so,STY,so,lo,-0.6268,0.6579,0.1333,0.1645,-0.0623
STY_hi_es,STY_hi_es,STY,es,hi,-0.446,0.8039,0.1333,0.1645,-0.0623
STY_lo_es,STY_lo_es,STY,es,lo,-0.446,0.5119,0.1333,0.1645,-0.0623
STY_hi_pc,STY_hi_pc,STY,pc,hi,-0.446,0.6579,0.1333,0.1645,0.1486
STY_lo_pc,STY_lo_pc,STY,pc,lo,-0.446,0.6579,0.1333,0.1645,-0.2732
NAT,NAT,NAT,base,base,0.7366,0.4278,-0.2078,0.4573,1.5101
NAT_hi_es,NAT_hi_es,NAT,es,hi,0.7366,0.5738,-0.2078,0.4573,1.5101
NAT_lo_es,NAT_lo_es,NAT,es,lo,0.7366,0.2818,-0.2078,0.4573,1.5101
LIB,LIB,LIB,base,base,-0.4623,-0.7437,-0.0862,-0.323,-0.9496
LIB_hi_pc,LIB_hi_pc,LIB,pc,hi,-0.4623,-0.7437,-0.0862,-0.323,-0.7387
LIB_lo_pc,LIB_lo_pc,LIB,pc,lo,-0.4623,-0.7437,-0.0862,-0.323,-1.1605
POP,POP,POP,base,base,0.2023,0.7593,-0.2061,0.147,0.9903
POP_hi_es,POP_hi_es,POP,es,hi,0.2023,0.9053,-0.2061,0.147,0.9903
POP_lo_es,POP_lo_es,POP,es,lo,0.2023,0.6133,-0.2061,0.147,0.9903
POP_hi_pc,POP_hi_pc,POP,pc,hi,0.2023,0.7593,-0.2061,0.147,1.2012
POP_lo_pc,POP_lo_pc,POP,pc,lo,0.2023,0.7593,-0.2061,0.147,0.7794
CUP,CUP,CUP,base,base,0.2658,-0.8166,-0.1744,0.1296,0.0387
CUP_hi_pc,CUP_hi_pc,CUP,pc,hi,0.2658,-0.8166,-0.1744,0.1296,0.2496
CUP_lo_pc,CUP_lo_pc,CUP,pc,lo,0.2658,-0.8166,-0.1744,0.1296,-0.1722
DSA,DSA,DSA,base,base,-1.3034,0.504,0.0761,-0.3869,-0.874
DSA_hi_es,DSA_hi_es,DSA,es,hi,-1.3034,0.65,0.0761,-0.3869,-0.874
DSA_lo_es,DSA_lo_es,DSA,es,lo,-1.3034,0.358,0.0761,-0.3869,-0.874
PRG,PRG,PRG,base,base,-1.26,-0.6338,-0.2057,-0.3869,-0.99
