candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CTR_lo_pc,CTR,pc,lo,37,17,6,60,6.87
SD_hi_so,SD,so,hi,30,18,7,55,6.3
LIB,LIB,base,base,27,15,5,47,5.38
CON,CON,base,base,16,15,7,38,4.35
CON_hi_ae,CON,ae,hi,18,12,7,37,4.24
CTR,CTR,base,base,22,12,3,37,4.24
CON_lo_pc,CON,pc,lo,17,14,5,36,4.12
CON_lo_ae,CON,ae,lo,15,15,5,35,4.01
CTR_hi_pc,CTR,pc,hi,16,13,4,33,3.78
LIB_hi_pc,LIB,pc,hi,19,10,4,33,3.78
CON_hi_pc,CON,pc,hi,10,13,4,27,3.09
SD_lo_ae,SD,ae,lo,13,10,4,27,3.09
SD_hi_ae,SD,ae,hi,12,12,1,25,2.86
REF_hi_ae,REF,ae,hi,10,14,1,25,2.86
LIB_lo_pc,LIB,pc,lo,13,9,3,25,2.86
PRG,PRG,base,base,18,5,1,24,2.75
SD_lo_so,SD,so,lo,18,4,2,24,2.75
STY_hi_ae,STY,ae,hi,14,4,5,23,2.63
SD_hi_pc,SD,pc,hi,11,9,2,22,2.52
STY_lo_ae,STY,ae,lo,12,6,1,19,2.18
STY_lo_pc,STY,pc,lo,13,4,2,19,2.18
NAT_lo_ae,NAT,ae,lo,4,6,7,17,1.95
STY_hi_so,STY,so,hi,10,5,2,17,1.95
REF_lo_pc,REF,pc,lo,10,4,3,17,1.95
SD,SD,base,base,8,7,2,17,1.95
REF_lo_ae,REF,ae,lo,7,7,1,15,1.72
STY_lo_so,STY,so,lo,12,2,0,14,1.6
STY_hi_pc,STY,pc,hi,8,5,1,14,1.6
DSA_lo_ae,DSA,ae,lo,10,3,1,14,1.6
SD_lo_pc,SD,pc,lo,8,3,3,14,1.6
STY,STY,base,base,8,5,0,13,1.49
DSA_hi_ae,DSA,ae,hi,10,2,0,12,1.37
DSA,DSA,base,base,7,3,0,10,1.15
NAT_hi_ae,NAT,ae,hi,6,2,1,9,1.03
REF_hi_pc,REF,pc,hi,5,3,0,8,0.92
NAT,NAT,base,base,4,2,1,7,0.8
REF,REF,base,base,3,0,1,4,0.46
