candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,condorcet_winner
CON_hi_pc,CON_lo_pc,14396.6686,31234.4737,CON_lo_pc,16837.8051,36.9,STY_lo_es
CON_hi_pc,LBR_lo_es,19287.2497,26343.8926,LBR_lo_es,7056.6429,15.465,STY_lo_es
CON_hi_pc,POP_hi_es,19027.0429,26604.0993,POP_hi_es,7577.0564,16.605,STY_lo_es
CON_hi_pc,STY_lo_es,15537.1605,30093.9817,STY_lo_es,14556.8212,31.901,STY_lo_es
CON_lo_pc,LBR_lo_es,22180.6966,23450.4456,LBR_lo_es,1269.749,2.783,STY_lo_es
CON_lo_pc,POP_hi_es,19446.3582,26184.7841,POP_hi_es,6738.4259,14.767,STY_lo_es
CON_lo_pc,STY_lo_es,19091.0857,26540.0566,STY_lo_es,7448.971,16.324,STY_lo_es
LBR_lo_es,POP_hi_es,25491.6432,20139.4991,LBR_lo_es,5352.1441,11.729,STY_lo_es
LBR_lo_es,STY_lo_es,17945.6466,27685.4957,STY_lo_es,9739.849,21.345,STY_lo_es
POP_hi_es,STY_lo_es,12549.562,33081.5802,STY_lo_es,20532.0182,44.996,STY_lo_es
