round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CON_lo_pc,CON_lo_pc,8804.5556,19.2951,False,False
1,CTR_lo_pc,CTR_lo_pc,8238.7996,18.0552,False,False
1,PRG,PRG,7406.6958,16.2317,True,False
1,REF_lo_ae,REF_lo_ae,10811.4607,23.6932,False,False
1,SD_hi_ae,SD_hi_ae,10369.6306,22.7249,False,False
2,CON_lo_pc,CON_lo_pc,8804.5556,19.2951,False,False
2,CTR_lo_pc,CTR_lo_pc,8362.1475,18.3255,True,False
2,REF_lo_ae,REF_lo_ae,10811.838,23.694,False,False
2,SD_hi_ae,SD_hi_ae,17652.6012,38.6854,False,False
3,CON_lo_pc,CON_lo_pc,13117.2092,28.7462,False,False
3,REF_lo_ae,REF_lo_ae,11123.0133,24.3759,True,False
3,SD_hi_ae,SD_hi_ae,21390.9197,46.8779,False,False
4,CON_lo_pc,CON_lo_pc,23169.6293,50.7759,False,True
4,SD_hi_ae,SD_hi_ae,22461.5129,49.2241,False,False
