state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_hi_pc,r1_pct_CON_lo_pc,r1_pct_LBR_lo_es,r1_pct_POP_hi_es,r1_pct_STY_lo_es
1,AL,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,661,3,22.74,22.16,20.99,10.51,23.6
2,AK,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,105,4,14.67,16.99,34.36,11.29,22.69
4,AZ,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,1159,4,21.36,13.16,31.14,18.39,15.95
5,AR,STY_lo_es,STY_lo_es,CON_hi_pc,CON_hi_pc,STY_lo_es,390,4,20.75,20.0,31.31,8.4,19.55
6,CA,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,3626,4,10.21,15.61,39.62,12.17,22.4
8,CO,LBR_lo_es,LBR_lo_es,CON_lo_pc,CON_lo_pc,STY_lo_es,785,3,20.4,13.27,41.44,13.54,11.35
9,CT,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,465,4,12.18,17.9,40.06,14.39,15.47
10,DE,CON_lo_pc,CON_lo_pc,CON_hi_pc,CON_hi_pc,none,164,4,17.22,23.61,42.3,5.23,11.64
11,DC,LBR_lo_es,LBR_lo_es,none,none,LBR_lo_es,122,1,3.38,8.11,66.88,0.33,21.29
12,FL,STY_lo_es,STY_lo_es,CON_hi_pc,CON_hi_pc,STY_lo_es,3350,4,20.94,17.83,27.54,7.66,26.03
13,GA,STY_lo_es,STY_lo_es,CON_hi_pc,CON_hi_pc,STY_lo_es,1489,4,19.88,19.1,30.14,8.8,22.08
15,HI,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,153,4,10.22,20.49,43.96,12.1,13.23
16,ID,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,244,4,35.22,7.25,22.68,12.11,22.74
17,IL,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,1758,4,14.68,18.91,39.15,10.67,16.59
18,IN,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,978,4,25.55,18.43,29.06,8.25,18.72
19,IA,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,490,4,28.93,14.06,32.73,6.77,17.5
20,KS,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,385,4,24.34,16.94,32.8,9.14,16.79
21,KY,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,674,4,27.5,16.6,24.41,10.13,21.36
22,LA,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,493,4,26.82,15.67,26.7,4.78,26.03
23,ME,LBR_lo_es,LBR_lo_es,CON_lo_pc,CON_lo_pc,LBR_lo_es,236,3,16.54,14.23,44.28,14.22,10.72
24,MD,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,791,4,12.28,18.8,38.87,10.11,19.93
25,MA,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,LBR_lo_es,906,4,13.01,19.9,46.32,7.36,13.41
26,MI,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,1531,4,23.21,16.14,33.74,10.11,16.8
27,MN,LBR_lo_es,LBR_lo_es,POP_hi_es,POP_hi_es,STY_lo_es,811,4,15.87,15.88,43.27,15.38,9.6
28,MS,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,349,3,19.8,20.56,18.18,10.16,31.29
29,MO,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,1047,4,25.12,14.93,30.09,7.5,22.35
30,MT,LBR_lo_es,LBR_lo_es,STY_lo_es,STY_lo_es,STY_lo_es,185,4,35.62,6.91,32.12,9.61,15.74
31,NE,STY_lo_es,STY_lo_es,LBR_lo_es,LBR_lo_es,STY_lo_es,286,4,20.12,14.43,29.08,11.65,24.72
