variable,domain,question,metric,overall,CON,CON_hi_so,CON_lo_so,CON_hi_ae,CON_lo_ae,CON_hi_rt,CON_lo_rt,CON_hi_pc,CON_lo_pc,SD,SD_hi_so,SD_lo_so,SD_hi_ae,SD_lo_ae,SD_hi_pc,SD_lo_pc,STY,STY_hi_so,STY_lo_so,STY_hi_ae,STY_lo_ae,STY_hi_rt,STY_lo_rt,STY_hi_pc,STY_lo_pc,NAT,NAT_hi_so,NAT_lo_so,NAT_hi_ae,NAT_lo_ae,NAT_hi_pc,NAT_lo_pc,LIB,LIB_hi_so,LIB_lo_so,LIB_hi_ae,LIB_lo_ae,LIB_hi_pc,LIB_lo_pc,REF,REF_hi_so,REF_lo_so,REF_hi_ae,REF_lo_ae,REF_hi_rt,REF_lo_rt,REF_hi_pc,REF_lo_pc,CTR,CTR_hi_so,CTR_lo_so,CTR_hi_ae,CTR_lo_ae,CTR_hi_rt,CTR_lo_rt,CTR_hi_pc,CTR_lo_pc,DSA,DSA_hi_so,DSA_lo_so,DSA_hi_ae,DSA_lo_ae,DSA_hi_pc,DSA_lo_pc,PRG,PRG_hi_so,PRG_lo_so,PRG_hi_ae,PRG_lo_ae,PRG_hi_pc,PRG_lo_pc
CC24_324b,Abortion,Permit abortion only in rape/incest/life danger cases,% Supporting,51.4,72.6,78.3,67.0,74.4,70.8,78.2,67.0,77.8,67.4,36.9,42.6,31.3,38.7,35.2,42.1,31.8,56.8,62.5,51.2,58.6,55.0,62.4,51.2,62.0,51.6,72.2,77.9,66.6,74.0,70.5,77.4,67.1,25.7,31.4,20.1,27.5,24.0,30.9,20.6,60.4,66.0,54.7,62.2,58.6,66.0,54.8,65.6,55.2,65.4,71.1,59.8,67.2,63.7,71.1,59.8,70.6,60.3,14.2,19.8,8.5,15.9,12.4,19.3,9.0,6.1,11.8,0.5,7.9,4.4,11.3,1.0
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),% Supporting,63.0,48.7,43.6,53.8,46.2,51.2,43.0,54.4,43.2,54.2,82.7,77.6,87.8,80.3,85.2,77.2,88.2,53.2,48.1,58.3,50.7,55.7,47.5,58.8,47.7,58.7,31.5,26.4,36.6,29.0,34.0,26.0,37.0,88.8,83.7,93.9,86.3,91.3,83.3,94.3,43.5,38.4,48.6,41.0,46.0,37.8,49.2,38.0,49.0,53.9,48.8,59.0,51.4,56.3,48.2,59.5,48.4,59.4,94.1,89.0,99.1,91.6,96.5,88.6,99.5,95.7,90.6,100.0,93.2,98.2,90.2,100.0
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,% Supporting,41.2,63.6,69.8,57.4,65.7,61.5,69.8,57.3,69.8,57.4,22.9,29.1,16.7,25.1,20.8,29.1,16.8,39.0,45.2,32.8,41.1,36.9,45.3,32.7,45.2,32.8,74.7,80.9,68.5,76.8,72.6,80.8,68.5,11.2,17.4,5.0,13.3,9.1,17.4,5.0,58.7,64.9,52.5,60.8,56.6,65.0,52.5,64.9,52.6,54.6,60.8,48.3,56.7,52.4,60.8,48.3,60.7,48.4,3.8,10.0,0.0,5.9,1.7,9.9,0.0,1.5,7.7,0.0,3.6,0.0,7.6,0.0
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,% Supporting,18.5,27.2,29.8,24.6,28.2,26.2,30.0,24.3,29.7,24.6,8.9,11.5,6.3,9.9,7.9,11.5,6.3,25.6,28.2,23.0,26.6,24.6,28.4,22.8,28.2,23.1,27.3,29.9,24.7,28.2,26.3,29.8,24.7,3.7,6.3,1.1,4.7,2.7,6.2,1.1,26.8,29.4,24.2,27.8,25.8,29.7,24.0,29.4,24.3,28.0,30.6,25.4,29.0,27.0,30.9,25.2,30.6,25.5,0.5,3.1,0.0,1.5,0.0,3.0,0.0,0.1,2.7,0.0,1.1,0.0,2.7,0.0
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,% Supporting,66.1,47.8,42.0,53.7,44.9,50.8,41.1,54.6,41.4,54.3,95.9,90.1,100.0,93.0,98.9,89.5,100.0,54.3,48.5,60.1,51.3,57.3,47.6,61.0,47.8,60.8,26.5,20.7,32.4,23.6,29.5,20.1,33.0,97.3,91.4,100.0,94.3,100.0,90.8,100.0,43.4,37.6,49.2,40.4,46.4,36.7,50.1,36.9,49.9,55.8,50.0,61.6,52.8,58.8,49.1,62.6,49.3,62.3,98.5,92.7,100.0,95.5,100.0,92.0,100.0,99.9,94.1,100.0,96.9,100.0,93.4,100.0
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,% Supporting,55.5,73.6,77.9,69.4,73.3,74.0,77.1,70.2,77.0,70.3,44.5,48.7,40.3,44.2,44.8,47.8,41.1,40.7,44.9,36.5,40.4,41.0,44.2,37.3,44.0,37.4,76.9,81.1,72.6,76.5,77.2,80.2,73.5,52.4,56.6,48.1,52.0,52.7,55.7,49.0,54.8,59.0,50.6,54.5,55.1,58.2,51.3,58.1,51.5,62.4,66.6,58.2,62.1,62.7,65.9,59.0,65.8,59.1,20.8,25.0,16.6,20.5,21.1,24.1,17.5,32.2,36.4,27.9,31.8,32.5,35.5,28.8
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,% Supporting,34.0,45.1,46.5,43.8,43.8,46.4,45.4,44.9,44.7,45.6,36.4,37.8,35.1,35.1,37.7,36.0,36.9,30.3,31.6,29.0,29.0,31.6,30.5,30.1,29.9,30.7,9.5,10.8,8.2,8.2,10.8,9.1,9.9,43.0,44.4,41.7,41.7,44.3,42.6,43.4,21.4,22.7,20.0,20.1,22.7,21.6,21.2,20.9,21.8,45.7,47.0,44.3,44.4,47.0,45.9,45.4,45.2,46.1,18.3,19.7,17.0,17.0,19.6,17.9,18.8,3.8,5.1,2.4,2.5,5.0,3.3,4.2
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,% Supporting,60.1,78.1,84.1,72.1,80.3,75.9,84.0,72.2,84.0,72.3,48.9,54.9,42.9,51.1,46.7,54.8,43.1,60.1,66.1,54.1,62.3,57.9,66.0,54.2,66.0,54.3,88.9,94.9,82.9,91.1,86.7,94.8,83.0,32.6,38.6,26.6,34.8,30.4,38.4,26.7,78.4,84.4,72.4,80.6,76.2,84.3,72.5,84.2,72.5,72.3,78.3,66.3,74.5,70.1,78.2,66.4,78.1,66.4,21.7,27.7,15.7,23.9,19.5,27.5,15.8,15.6,21.5,9.6,17.7,13.4,21.4,9.7
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,% Supporting,62.7,85.4,92.7,78.1,87.8,83.0,92.5,78.2,92.4,78.4,45.7,53.0,38.3,48.1,43.2,52.7,38.7,63.6,70.9,56.3,66.0,61.2,70.8,56.5,70.6,56.6,94.3,100.0,87.0,96.8,91.9,100.0,87.3,34.6,42.0,27.3,37.1,32.2,41.6,27.6,85.1,92.4,77.7,87.5,82.6,92.2,77.9,92.1,78.0,75.4,82.8,68.1,77.9,73.0,82.6,68.3,82.4,68.4,11.7,19.0,4.3,14.1,9.2,18.7,4.7,7.7,15.0,0.3,10.1,5.2,14.7,0.7
CC24_444e,Civil Liberties,Age verification for adult web content,% Supporting,78.8,88.6,91.3,85.9,89.1,88.1,90.9,86.2,90.7,86.4,75.3,78.0,72.6,75.7,74.8,77.4,73.1,77.6,80.3,74.9,78.1,77.1,80.0,75.2,79.8,75.4,87.1,89.8,84.4,87.5,86.6,89.2,84.9,72.9,75.6,70.2,73.4,72.5,75.1,70.8,78.9,81.6,76.2,79.4,78.4,81.2,76.5,81.0,76.7,83.4,86.1,80.7,83.9,83.0,85.8,81.1,85.6,81.3,59.1,61.8,56.4,59.6,58.6,61.3,56.9,53.2,55.9,50.5,53.7,52.7,55.4,51.1
