state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_ae,fc_pct_CON_hi_pc,fc_pct_CON_lo_ae,fc_pct_CON_lo_pc,fc_pct_CTR,fc_pct_CTR_hi_pc,fc_pct_CTR_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_ae,fc_pct_DSA_lo_ae,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_ae,fc_pct_NAT_lo_ae,fc_pct_PRG,fc_pct_REF,fc_pct_REF_hi_ae,fc_pct_REF_hi_pc,fc_pct_REF_lo_ae,fc_pct_REF_lo_pc,fc_pct_SD,fc_pct_SD_hi_ae,fc_pct_SD_hi_pc,fc_pct_SD_hi_so,fc_pct_SD_lo_ae,fc_pct_SD_lo_pc,fc_pct_SD_lo_so,fc_pct_STY,fc_pct_STY_hi_ae,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_ae,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_ae,CON,ae,hi,726.21,5,3.951,5.49,4.526,3.688,5.782,7.541,3.982,3.071,1.629,6.954,0.544,3.352,2.195,0.4,3.109,2.755,5.463,1.424,1.478,0.701,3.969,1.043,2.843,0.286,0.501,0.443,2.067,1.767,0.709,1.201,0.915,2.246,1.761,3.184,3.94,3.135,1.956
2,AK,SD_lo_ae,SD,ae,lo,130.64,5,1.741,1.141,4.005,1.647,1.155,16.279,3.55,9.746,0.743,1.343,1.189,4.457,3.367,1.756,2.023,2.904,4.269,3.865,1.023,3.067,0.52,4.402,0.423,1.926,2.763,0.828,2.276,8.137,0.0,3.882,0.0,0.967,0.0,0.0,0.998,3.069,0.538
4,AZ,SD_hi_so,SD,so,hi,1160.11,5,4.077,3.204,4.261,1.556,3.787,2.655,2.129,2.073,4.272,2.796,1.514,3.389,2.574,2.247,3.774,8.574,2.702,7.474,2.149,6.002,3.117,1.965,1.39,1.526,3.013,1.575,2.145,0.519,0.896,1.876,0.331,3.955,3.5,1.426,0.241,0.41,0.903
5,AR,CON_lo_pc,CON,pc,lo,412.18,5,2.837,7.148,4.447,2.809,7.498,1.469,5.214,4.918,0.566,3.395,3.556,1.127,3.898,2.059,1.725,1.999,5.002,3.401,2.547,1.246,2.615,1.436,1.605,0.248,1.841,3.663,2.082,5.196,0.205,4.057,1.652,1.597,2.764,0.403,1.961,0.077,1.736
6,CA,SD_lo_ae,SD,ae,lo,3966.17,5,2.568,1.719,2.462,2.682,3.732,4.573,2.78,3.728,1.045,1.371,1.406,4.893,4.367,4.502,2.471,4.138,1.408,6.844,1.484,3.305,1.311,1.002,2.388,2.427,2.448,2.101,4.029,2.826,3.375,2.045,2.313,2.33,1.374,2.049,1.314,2.967,2.224
8,CO,SD,SD,base,base,827.29,5,4.234,4.169,3.935,4.39,3.89,3.326,1.698,2.737,2.973,2.49,0.711,3.557,5.266,4.492,2.933,2.742,1.653,8.934,1.717,6.195,3.996,1.39,1.177,3.188,2.668,1.235,1.289,2.633,1.04,3.775,0.154,1.093,0.293,0.919,1.903,0.35,0.856
9,CT,SD_lo_so,SD,so,lo,484.15,5,3.442,1.566,2.513,4.626,3.726,4.517,1.327,4.955,0.874,0.775,1.063,4.401,4.026,4.879,1.353,2.206,1.623,10.215,6.406,1.96,1.181,0.655,1.969,4.527,1.17,0.93,2.941,1.197,2.747,4.574,0.163,1.407,1.415,6.466,0.947,0.118,1.143
10,DE,CTR_lo_pc,CTR,pc,lo,216.95,5,3.949,1.639,2.7,3.523,4.079,4.147,5.297,5.583,1.65,1.319,0.852,2.74,3.94,3.501,7.012,2.393,1.99,3.919,3.424,1.394,0.0,1.435,1.371,6.787,6.982,0.888,2.137,1.565,6.202,1.806,0.194,0.448,0.488,2.398,2.13,0.0,0.117
11,DC,SD_lo_so,SD,so,lo,117.36,5,1.601,3.079,1.459,8.064,0.747,2.249,6.003,4.353,1.431,2.367,3.562,8.076,9.431,10.321,0.0,0.0,0.0,10.934,0.964,0.332,0.0,0.0,0.0,2.139,2.654,1.877,2.492,1.924,3.638,5.434,0.0,0.0,0.0,0.38,0.0,1.453,3.035
12,FL,CTR_lo_pc,CTR,pc,lo,3184.13,5,3.868,2.913,5.327,4.728,3.378,4.427,6.68,8.008,2.083,2.885,1.884,2.782,2.638,2.359,1.957,0.891,4.807,2.046,0.924,1.041,1.089,1.722,1.671,2.227,2.015,1.963,2.95,1.97,2.405,1.538,2.279,3.082,1.166,1.849,1.803,2.412,2.234
13,GA,SD_lo_ae,SD,ae,lo,1472.39,5,3.351,2.69,4.287,4.747,6.088,3.745,5.681,6.65,1.411,1.072,0.593,3.47,3.573,2.914,2.844,1.873,3.084,2.292,1.384,1.623,2.58,0.842,2.646,1.09,2.67,0.939,4.447,2.462,1.904,2.982,1.209,2.367,2.641,2.412,1.681,1.328,2.429
15,HI,SD,SD,base,base,203.15,5,3.022,2.583,2.243,8.74,1.647,3.427,0.256,6.928,6.749,1.256,1.272,6.361,6.954,2.748,0.292,2.048,2.066,0.972,1.093,5.137,0.308,2.758,0.127,2.85,1.77,0.963,5.086,1.808,3.0,5.916,3.574,2.92,0.0,0.763,0.206,0.0,2.153
16,ID,CON_lo_ae,CON,ae,lo,325.33,5,2.238,1.728,4.079,7.579,2.956,4.673,11.377,1.765,3.757,1.75,1.126,3.434,1.191,1.658,2.59,4.981,9.235,3.03,1.377,4.025,4.118,2.329,0.384,0.838,1.047,0.711,3.307,1.003,1.114,2.529,1.448,0.576,1.049,0.527,0.0,0.695,3.772
17,IL,SD_hi_so,SD,so,hi,1460.33,5,2.839,2.907,3.202,2.371,5.854,4.899,5.902,6.237,1.194,2.399,3.628,4.73,4.019,4.993,1.783,2.785,2.274,6.438,1.365,2.924,1.384,1.325,2.595,1.394,1.439,1.826,4.024,2.314,1.575,1.607,0.563,0.64,0.773,3.019,0.747,1.756,0.273
18,IN,CON_hi_pc,CON,pc,hi,994.99,5,3.565,2.8,3.974,5.624,6.615,2.894,4.588,4.617,2.031,2.903,1.044,5.044,3.331,1.807,4.778,2.021,4.628,4.287,2.089,0.977,1.032,2.687,2.193,1.119,1.637,2.743,2.594,1.855,0.785,1.954,2.643,1.201,0.835,0.819,2.71,1.133,2.446
19,IA,CON,CON,base,base,446.79,5,7.494,0.727,4.184,4.885,4.376,4.571,4.209,5.43,1.206,2.042,3.969,2.846,2.525,2.217,1.847,0.473,6.652,2.544,4.2,0.664,4.16,4.909,0.59,1.598,1.976,0.942,4.534,1.206,0.935,4.323,0.013,3.691,0.001,0.868,0.179,1.247,1.766
20,KS,CON_lo_ae,CON,ae,lo,372.7,5,3.046,2.693,3.584,6.461,7.325,2.925,3.798,2.407,3.433,3.782,1.324,3.225,1.81,5.701,4.443,2.525,3.315,5.122,1.255,3.042,0.493,4.159,1.494,0.695,3.011,1.051,1.4,0.993,1.3,0.955,0.71,2.585,2.022,4.494,0.423,1.126,1.874
21,KY,CON_hi_pc,CON,pc,hi,717.93,5,3.43,3.539,5.544,7.445,5.857,1.497,3.839,5.998,3.815,0.912,0.697,2.158,2.2,1.788,3.123,2.756,6.116,2.544,2.149,1.03,0.462,4.417,2.809,1.913,0.866,0.457,1.535,0.774,0.566,5.64,2.692,0.858,4.119,0.387,2.408,2.237,1.42
22,LA,CON_hi_ae,CON,ae,hi,508.41,5,2.234,6.597,3.949,4.4,4.255,6.448,2.633,10.766,0.529,1.189,1.366,2.118,1.351,1.826,5.565,2.183,5.843,4.693,1.541,1.229,1.991,1.316,0.764,0.526,1.315,2.339,2.393,1.225,0.568,0.296,0.939,3.038,0.639,3.303,2.879,3.516,2.24
23,ME,SD_hi_so,SD,so,hi,243.16,5,4.739,1.62,4.654,2.673,3.512,3.711,0.512,3.189,1.467,2.649,2.424,4.031,3.476,5.81,0.585,5.036,1.926,7.779,2.822,2.583,2.166,2.346,1.887,6.481,0.93,1.233,2.857,2.008,2.935,3.784,2.706,1.774,0.918,0.854,0.0,1.171,0.753
24,MD,SD_lo_ae,SD,ae,lo,782.14,5,2.845,2.48,2.132,2.505,2.13,2.703,2.999,5.25,0.91,0.491,1.617,3.54,2.935,6.055,2.391,2.905,2.033,9.072,2.269,2.687,2.204,1.423,0.697,4.41,2.668,2.352,2.672,3.829,2.496,3.303,3.602,1.614,0.69,2.94,0.591,3.474,1.083
25,MA,SD_hi_so,SD,so,hi,790.97,5,3.797,7.036,1.878,1.964,4.009,2.084,2.938,3.264,2.809,2.049,2.878,6.621,4.509,4.47,1.624,2.144,0.847,9.365,1.002,1.285,1.498,2.203,1.896,2.746,1.694,2.355,4.145,1.308,2.435,1.786,2.41,4.547,1.034,1.937,0.33,0.395,0.706
26,MI,CON,CON,base,base,1329.58,5,3.764,4.387,4.433,2.636,4.799,4.919,3.066,4.212,2.743,1.045,2.623,5.271,2.915,4.444,4.96,3.036,4.393,5.568,1.536,3.755,2.474,1.179,1.014,2.311,1.696,2.165,1.626,1.653,1.634,2.064,0.176,0.825,0.667,1.103,3.14,1.058,0.71
27,MN,SD_lo_pc,SD,pc,lo,714.01,5,2.336,3.934,2.31,2.604,3.152,4.942,3.978,4.795,1.426,0.17,2.161,4.675,4.324,5.887,1.927,4.333,1.393,9.886,3.222,6.813,0.764,0.818,0.865,1.77,2.157,2.413,2.165,3.809,4.17,1.832,0.208,0.429,0.738,1.4,1.265,0.147,0.782
28,MS,STY_hi_so,STY,so,hi,444.25,5,2.805,3.689,4.586,5.781,4.001,2.547,5.989,7.038,0.754,0.904,1.677,2.785,0.969,1.643,3.012,2.342,3.023,0.796,1.235,3.939,0.523,1.161,1.844,4.164,0.609,2.266,3.898,1.41,0.233,1.025,1.569,3.233,3.375,6.982,0.724,2.875,4.594
29,MO,SD,SD,base,base,950.73,5,4.062,2.495,4.43,6.367,4.201,4.675,3.5,3.558,1.327,4.664,1.903,3.597,1.615,2.666,3.195,2.303,5.064,3.366,0.765,0.965,1.856,1.928,1.566,3.531,1.617,1.687,1.782,2.112,1.875,1.08,2.838,6.088,0.646,1.3,0.317,2.551,2.507
30,MT,SD_hi_pc,SD,pc,hi,257.38,5,3.83,4.466,6.389,0.636,5.604,3.76,4.797,2.033,2.177,1.468,2.294,2.514,6.903,2.817,8.921,0.542,8.911,3.897,0.971,0.43,0.786,1.209,0.525,2.493,0.667,1.821,2.91,0.395,1.269,1.568,0.446,5.237,2.318,1.411,1.371,2.062,0.155
