candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON_lo_pc,CTR,377.9316978380458,348.27640104302793,29.66,4.0836,10,True,CON_lo_pc,1,AL
CON_lo_pc,DSA_lo_ae,511.9297580969245,214.2783407841492,297.65,40.9871,2,True,CON_lo_pc,1,AL
CON_lo_pc,NAT_lo_ae,509.24324942795727,216.96484945311653,292.28,40.2472,4,True,CON_lo_pc,1,AL
CON_lo_pc,STY_hi_ae,417.4820121962549,308.72608668481877,108.76,14.9759,7,True,CON_lo_pc,1,AL
CTR,DSA_lo_ae,511.2772175906929,214.9308812903808,296.35,40.8074,3,True,CON_lo_pc,1,AL
CTR,NAT_lo_ae,503.0721607678248,223.13593811324893,279.94,38.5477,5,True,CON_lo_pc,1,AL
CTR,STY_hi_ae,408.8846025443594,317.3234963367143,91.56,12.6081,9,True,CON_lo_pc,1,AL
DSA_lo_ae,NAT_lo_ae,309.3803171013279,416.82778177974586,107.45,14.7957,8,True,CON_lo_pc,1,AL
DSA_lo_ae,STY_hi_ae,162.21608420098372,563.99201468009,401.78,55.3252,1,True,CON_lo_pc,1,AL
NAT_lo_ae,STY_hi_ae,257.92228407656694,468.2858148045068,210.36,28.9674,6,True,CON_lo_pc,1,AL
CTR,CTR_lo_pc,70.69922837672445,59.93910958804899,10.76,8.2366,7,True,CTR,2,AK
CTR,LIB_hi_pc,74.85455176480752,55.78378619996592,19.07,14.5981,3,True,CTR,2,AK
CTR,REF_lo_ae,89.8101692224325,40.82816874234091,48.98,37.4944,1,True,CTR,2,AK
CTR,SD_lo_pc,71.53887833417471,59.09945963059872,12.44,9.522,6,True,CTR,2,AK
CTR_lo_pc,LIB_hi_pc,63.05254084490054,67.5857971198729,4.53,3.4701,10,True,CTR,2,AK
CTR_lo_pc,REF_lo_ae,88.6949289317921,41.94340903298132,46.75,35.787,2,True,CTR,2,AK
CTR_lo_pc,SD_lo_pc,74.60909334244394,56.02924462232947,18.58,14.2224,4,True,CTR,2,AK
LIB_hi_pc,REF_lo_ae,70.19242336994908,60.445914594824345,9.75,7.4607,8,True,CTR,2,AK
LIB_hi_pc,SD_lo_pc,73.45418973756382,57.1841482272096,16.27,12.4543,5,True,CTR,2,AK
REF_lo_ae,SD_lo_pc,61.08081393632174,69.5575240284517,8.48,6.4887,9,True,CTR,2,AK
CTR_lo_pc,DSA_lo_ae,762.5625502795605,397.5426972048646,365.02,31.4644,3,True,STY_hi_so,4,AZ
