state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_ae,fc_pct_CON_hi_pc,fc_pct_CON_lo_ae,fc_pct_CON_lo_pc,fc_pct_CTR,fc_pct_CTR_hi_pc,fc_pct_CTR_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_ae,fc_pct_DSA_lo_ae,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_ae,fc_pct_NAT_lo_ae,fc_pct_PRG,fc_pct_REF,fc_pct_REF_hi_ae,fc_pct_REF_hi_pc,fc_pct_REF_lo_ae,fc_pct_REF_lo_pc,fc_pct_SD,fc_pct_SD_hi_ae,fc_pct_SD_hi_pc,fc_pct_SD_hi_so,fc_pct_SD_lo_ae,fc_pct_SD_lo_pc,fc_pct_SD_lo_so,fc_pct_STY,fc_pct_STY_hi_ae,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_ae,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_lo_pc,CON,pc,lo,726.21,5,4.009,3.91,4.595,2.141,5.661,4.856,2.869,5.706,1.422,4.458,3.887,2.114,3.169,1.019,4.853,3.51,5.273,2.258,2.344,0.779,4.364,0.953,1.22,0.76,0.651,0.934,2.35,0.915,2.69,2.209,1.715,5.151,2.895,1.075,0.695,1.51,1.081
2,AK,LIB_hi_pc,LIB,pc,hi,130.64,5,0.862,1.821,2.783,0.93,3.184,9.854,0.909,10.991,1.014,3.161,0.572,4.496,3.146,1.89,2.023,6.941,6.314,3.648,0.166,1.062,2.863,4.167,0.903,2.804,3.386,0.693,2.777,2.586,5.575,1.949,0.443,2.357,0.776,0.0,0.0,0.041,2.915
4,AZ,CTR_lo_pc,CTR,pc,lo,1160.11,5,1.804,2.615,1.99,3.344,2.07,1.337,4.136,4.701,2.969,1.88,5.125,3.24,2.156,2.88,4.163,5.089,5.189,5.471,5.277,4.972,2.747,3.72,1.083,1.164,2.307,1.042,2.691,1.077,2.327,0.845,2.798,0.897,0.238,2.34,2.317,1.046,0.953
5,AR,CON_lo_pc,CON,pc,lo,412.18,5,2.313,4.466,3.698,3.475,8.601,2.672,6.04,5.407,2.377,3.123,0.463,1.591,0.79,1.55,1.753,2.43,7.299,8.047,0.697,1.555,2.905,4.295,0.561,1.784,0.464,4.587,1.011,4.015,1.077,4.646,1.67,0.719,1.505,0.548,0.628,1.115,0.124
6,CA,STY_lo_pc,STY,pc,lo,3966.17,5,2.853,1.421,2.164,2.4,4.0,2.693,2.704,5.608,1.907,1.378,2.015,4.564,3.875,3.482,1.75,3.874,2.499,8.043,2.033,2.142,1.754,1.514,2.362,2.756,2.444,2.296,2.759,3.591,2.465,2.404,0.905,3.103,2.455,1.311,1.571,3.11,1.795
8,CO,LIB_hi_pc,LIB,pc,hi,827.29,5,3.535,1.585,4.952,3.153,2.965,1.217,2.569,5.174,0.747,1.643,5.601,4.07,5.08,4.159,3.069,3.629,1.875,9.642,4.368,1.819,4.042,2.14,5.856,0.854,2.991,0.478,1.802,2.223,2.271,1.776,1.064,0.297,0.244,0.691,0.442,1.179,0.796
9,CT,SD_hi_ae,SD,ae,hi,484.15,5,5.561,4.092,1.963,2.571,4.614,1.97,2.593,6.627,2.752,1.63,2.08,4.019,4.544,3.419,1.096,1.629,5.008,7.661,0.486,4.484,0.266,1.09,0.294,2.057,3.751,3.302,2.229,2.264,1.463,0.881,1.437,0.528,1.241,3.674,0.308,2.723,3.693
10,DE,SD_hi_ae,SD,ae,hi,216.95,5,3.649,2.317,2.588,1.946,5.298,3.101,1.516,8.814,1.439,2.287,1.043,3.657,6.975,3.744,0.482,3.113,7.454,3.47,1.365,1.834,1.729,4.208,0.107,8.127,4.79,1.011,2.706,1.152,2.272,1.004,0.178,0.102,2.579,3.133,0.631,0.061,0.117
11,DC,LIB_hi_pc,LIB,pc,hi,117.36,5,9.726,0.0,0.0,5.317,2.577,2.411,1.921,4.116,2.274,1.052,4.711,9.154,7.556,4.891,0.0,0.0,0.0,18.762,1.459,0.0,0.0,0.964,0.0,2.288,2.272,0.924,0.789,2.873,5.539,6.064,0.0,0.0,0.0,0.741,0.0,0.239,1.378
12,FL,SD_lo_ae,SD,ae,lo,3184.13,5,2.894,4.506,4.364,3.64,4.864,5.095,5.465,6.562,3.286,3.827,1.604,2.812,2.262,2.777,2.188,1.719,4.535,3.539,1.509,1.135,1.402,1.615,2.449,2.078,1.703,1.699,3.503,2.658,1.52,1.299,1.828,2.385,0.946,1.725,1.727,1.946,0.935
