candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,76,46,21,143,8.91
CON_lo_pc,CON,pc,lo,78,36,22,136,8.47
SD_hi_so,SD,so,hi,66,22,13,101,6.29
CUP_lo_pc,CUP,pc,lo,68,19,10,97,6.04
CON_lo_es,CON,es,lo,47,34,14,95,5.92
SD_lo_so,SD,so,lo,63,22,4,89,5.55
STY_lo_es,STY,es,lo,53,32,4,89,5.55
CON_hi_es,CON,es,hi,48,20,11,79,4.92
SD_lo_es,SD,es,lo,43,14,7,64,3.99
LIB,LIB,base,base,41,17,5,63,3.93
DSA_lo_es,DSA,es,lo,44,14,1,59,3.68
POP_lo_es,POP,es,lo,30,21,7,58,3.61
SD_hi_es,SD,es,hi,34,16,5,55,3.43
NAT_lo_es,NAT,es,lo,19,17,13,49,3.05
CUP_hi_pc,CUP,pc,hi,21,14,9,44,2.74
POP_lo_pc,POP,pc,lo,22,8,7,37,2.31
LIB_lo_pc,LIB,pc,lo,29,6,1,36,2.24
PRG,PRG,base,base,26,6,1,33,2.06
STY_hi_pc,STY,pc,hi,20,10,2,32,1.99
NAT_hi_es,NAT,es,hi,21,7,3,31,1.93
STY_hi_es,STY,es,hi,18,7,3,28,1.74
POP_hi_es,POP,es,hi,21,5,2,28,1.74
STY_hi_so,STY,so,hi,16,8,2,26,1.62
STY_lo_pc,STY,pc,lo,14,4,3,21,1.31
LIB_hi_pc,LIB,pc,hi,13,6,2,21,1.31
STY_lo_so,STY,so,lo,13,7,1,21,1.31
SD_lo_pc,SD,pc,lo,8,6,4,18,1.12
POP_hi_pc,POP,pc,hi,4,6,6,16,1.0
SD_hi_pc,SD,pc,hi,8,2,3,13,0.81
DSA_hi_es,DSA,es,hi,3,3,1,7,0.44
CUP,CUP,base,base,3,1,0,4,0.25
CON,CON,base,base,1,0,3,4,0.25
POP,POP,base,base,2,0,0,2,0.12
STY,STY,base,base,0,1,1,2,0.12
DSA,DSA,base,base,0,1,1,2,0.12
NAT,NAT,base,base,0,1,0,1,0.06
SD,SD,base,base,0,1,0,1,0.06
