candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,88,47,21,156,9.72
CON_lo_pc,CON,pc,lo,77,35,21,133,8.29
CON_lo_es,CON,es,lo,53,39,14,106,6.6
LBR_hi_so,LBR,so,hi,61,23,10,94,5.86
LBR_lo_so,LBR,so,lo,57,19,5,81,5.05
NAT_lo_es,NAT,es,lo,36,26,16,78,4.86
CON_hi_es,CON,es,hi,43,19,12,74,4.61
LIB,LIB,base,base,44,25,5,74,4.61
LBR_lo_es,LBR,es,lo,43,17,7,67,4.17
CUP_lo_pc,CUP,pc,lo,46,13,7,66,4.11
DSA_lo_es,DSA,es,lo,45,16,2,63,3.93
PRG,PRG,base,base,46,14,2,62,3.86
LIB_lo_pc,LIB,pc,lo,43,9,2,54,3.36
LBR_hi_es,LBR,es,hi,32,15,6,53,3.3
STY_lo_es,STY,es,lo,35,16,1,52,3.24
POP_lo_es,POP,es,lo,22,22,5,49,3.05
NAT_hi_es,NAT,es,hi,28,8,4,40,2.49
LIB_hi_pc,LIB,pc,hi,24,8,4,36,2.24
CUP_hi_pc,CUP,pc,hi,20,10,5,35,2.18
POP_lo_pc,POP,pc,lo,19,10,6,35,2.18
POP_hi_es,POP,es,hi,25,4,2,31,1.93
OAO,OAO,base,base,12,7,6,25,1.56
STY_hi_pc,STY,pc,hi,11,7,1,19,1.18
STY_hi_es,STY,es,hi,11,3,3,17,1.06
STY_hi_so,STY,so,hi,10,6,0,16,1.0
LBR_lo_pc,LBR,pc,lo,8,3,4,15,0.93
STY_lo_so,STY,so,lo,8,4,1,13,0.81
POP_hi_pc,POP,pc,hi,2,4,7,13,0.81
STY_lo_pc,STY,pc,lo,5,3,3,11,0.69
DSA_hi_es,DSA,es,hi,6,1,1,8,0.5
CON,CON,base,base,2,1,5,8,0.5
LBR_hi_pc,LBR,pc,hi,5,1,2,8,0.5
CUP,CUP,base,base,2,1,0,3,0.19
DSA,DSA,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
STY,STY,base,base,0,0,1,1,0.06
LBR,LBR,base,base,0,1,0,1,0.06
