district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
01-01,1,AL,URBAN,7,195,CON_lo_pc,CUP_hi_pc,STY_hi_so,CON_hi_pc,CON_lo_es,LBR_lo_so,NAT_lo_es,,,
01-02,1,AL,SUBURBAN,7,204,CON_lo_pc,NAT_lo_es,CON_hi_pc,STY_hi_es,DSA_lo_es,LBR_lo_es,CUP,,,
01-03,1,AL,RURAL,7,194,LBR_lo_so,LBR_hi_es,POP_lo_pc,CON_hi_pc,CON_lo_es,CON_lo_pc,STY_lo_so,,,
01-04,1,AL,RURAL,5,68,NAT_lo_es,POP_lo_pc,CON_lo_es,LBR_hi_so,POP_hi_pc,,,,,
02-01,2,AK,SUBURBAN,4,105,LBR_lo_so,STY_lo_es,CON_lo_es,LIB,,,,,,
04-01,4,AZ,URBAN,9,613,DSA_lo_es,NAT_hi_es,CON_hi_pc,POP_hi_es,CON_hi_es,LBR_lo_es,LBR_hi_es,CON_lo_es,PRG,
04-02,4,AZ,URBAN,9,432,NAT_hi_es,DSA_lo_es,CON_hi_es,CON_hi_pc,POP_hi_es,LIB,CON_lo_es,LBR_hi_es,PRG,
04-03,4,AZ,URBAN,7,106,NAT_hi_es,CON_hi_pc,STY_hi_pc,CON_lo_es,LBR_hi_so,NAT,POP_hi_es,,,
04-04,4,AZ,SUBURBAN,7,8,CON_lo_es,LBR_lo_es,CON_lo_pc,LBR_hi_so,LBR_lo_pc,OAO,STY_lo_pc,,,
05-01,5,AR,URBAN,6,150,CON_lo_pc,CON_hi_pc,POP_hi_es,LBR_lo_es,LBR_lo_so,LBR_hi_so,,,,
05-02,5,AR,SUBURBAN,5,147,CON_lo_pc,CON_hi_pc,DSA_lo_es,LBR_hi_es,POP_lo_es,,,,,
05-03,5,AR,RURAL,5,93,NAT_lo_es,POP_lo_es,STY_lo_pc,CON_hi_pc,LBR_lo_es,,,,,
06-01,6,CA,URBAN,9,875,LIB,STY_lo_es,STY_hi_so,LBR_lo_so,LBR_hi_so,PRG,CUP_lo_pc,CON_lo_pc,CON_hi_pc,
06-02,6,CA,URBAN,9,303,CON_hi_pc,POP_lo_pc,LIB,LBR_lo_es,LBR_hi_so,PRG,STY_lo_es,CON_lo_pc,STY_lo_so,
06-03,6,CA,URBAN,9,268,CON_hi_pc,LIB,LBR_lo_so,LBR_lo_es,CON_lo_pc,CUP_lo_pc,NAT_hi_es,POP_hi_es,PRG,
06-04,6,CA,URBAN,9,247,CON_lo_pc,POP_lo_pc,LIB_lo_pc,LBR_lo_es,STY_lo_pc,CON_hi_pc,CON_lo_es,LBR_hi_so,NAT_hi_es,
06-05,6,CA,URBAN,9,228,LBR_lo_so,LBR_hi_so,STY_lo_pc,CON_lo_pc,NAT_hi_es,LBR_lo_es,LIB_lo_pc,CON_hi_es,POP_hi_es,
06-06,6,CA,URBAN,9,136,PRG,LIB,LIB_lo_pc,CON_lo_pc,CON_lo_es,CUP_lo_pc,DSA_lo_es,LBR_lo_es,LBR_lo_so,
06-07,6,CA,URBAN,9,236,LBR_hi_so,PRG,NAT_hi_es,CON_lo_pc,LBR_lo_pc,STY_lo_es,CON_hi_pc,CUP_lo_pc,LIB,
06-08,6,CA,URBAN,9,225,NAT_hi_es,CON_hi_es,LIB_hi_pc,LBR_lo_so,STY_lo_es,LBR_hi_so,CUP_lo_pc,CON_lo_es,PRG,
06-09,6,CA,URBAN,9,204,LBR_hi_so,LIB_hi_pc,PRG,LIB,POP_lo_pc,CON_lo_pc,CUP_lo_pc,LBR_lo_pc,LBR_lo_so,
06-10,6,CA,URBAN,9,173,PRG,LBR_lo_es,LIB,LIB_lo_pc,CON_lo_pc,CON_hi_pc,LBR_hi_so,LBR_lo_so,STY_lo_so,
06-11,6,CA,URBAN,9,159,NAT_hi_es,CON_lo_pc,CON_lo_es,LBR_lo_so,LIB,LBR_hi_so,STY_hi_pc,CON_hi_es,CON_hi_pc,
