candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,85,49,19,153,9.53
CON_lo_pc,CON,pc,lo,79,33,20,132,8.22
CON_lo_es,CON,es,lo,53,37,18,108,6.73
LBR_hi_so,LBR,so,hi,59,23,11,93,5.79
LBR_lo_so,LBR,so,lo,57,18,5,80,4.98
CON_hi_es,CON,es,hi,42,18,13,73,4.55
NAT_lo_es,NAT,es,lo,31,25,14,70,4.36
CUP_lo_pc,CUP,pc,lo,48,12,7,67,4.17
DSA_lo_es,DSA,es,lo,48,16,2,66,4.11
LIB,LIB,base,base,40,21,5,66,4.11
LBR_lo_es,LBR,es,lo,41,17,7,65,4.05
STY_lo_es,STY,es,lo,42,20,2,64,3.99
PRG,PRG,base,base,42,11,1,54,3.36
LBR_hi_es,LBR,es,hi,33,15,6,54,3.36
POP_lo_es,POP,es,lo,28,20,5,53,3.3
LIB_lo_pc,LIB,pc,lo,42,7,2,51,3.18
CUP_hi_pc,CUP,pc,hi,20,12,8,40,2.49
POP_lo_pc,POP,pc,lo,20,10,5,35,2.18
NAT_hi_es,NAT,es,hi,25,7,3,35,2.18
LIB_hi_pc,LIB,pc,hi,21,10,2,33,2.06
POP_hi_es,POP,es,hi,23,5,3,31,1.93
OAO,OAO,base,base,14,7,4,25,1.56
STY_hi_es,STY,es,hi,12,5,4,21,1.31
STY_hi_pc,STY,pc,hi,12,7,1,20,1.25
STY_hi_so,STY,so,hi,11,8,0,19,1.18
LBR_lo_pc,LBR,pc,lo,9,5,4,18,1.12
STY_lo_pc,STY,pc,lo,8,4,3,15,0.93
POP_hi_pc,POP,pc,hi,2,6,6,14,0.87
STY_lo_so,STY,so,lo,8,2,1,11,0.69
DSA_hi_es,DSA,es,hi,5,2,2,9,0.56
LBR_hi_pc,LBR,pc,hi,5,1,2,8,0.5
CON,CON,base,base,1,0,5,6,0.37
CUP,CUP,base,base,2,2,0,4,0.25
DSA,DSA,base,base,1,1,1,3,0.19
STY,STY,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
