candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,48,34,11,93,10.94
CON_lo_pc,CON,pc,lo,52,27,5,84,9.88
LBR_hi_so,LBR,so,hi,31,21,2,54,6.35
CON_lo_id,CON,id,lo,22,21,9,52,6.12
LBR_lo_so,LBR,so,lo,35,11,6,52,6.12
LIB,LIB,base,base,29,17,4,50,5.88
CUP_lo_pc,CUP,pc,lo,27,11,1,39,4.59
CON_hi_id,CON,id,hi,18,10,9,37,4.35
STY_lo_id,STY,id,lo,21,12,2,35,4.12
LBR_lo_id,LBR,id,lo,23,7,2,32,3.76
POP_lo_id,POP,id,lo,11,17,4,32,3.76
DSA_lo_id,DSA,id,lo,21,9,0,30,3.53
NAT_lo_id,NAT,id,lo,11,10,7,28,3.29
PRG,PRG,base,base,18,6,2,26,3.06
LIB_hi_pc,LIB,pc,hi,17,6,3,26,3.06
POP_lo_pc,POP,pc,lo,12,9,4,25,2.94
LBR_hi_id,LBR,id,hi,12,8,5,25,2.94
NAT_hi_id,NAT,id,hi,10,6,5,21,2.47
LIB_lo_pc,LIB,pc,lo,14,5,1,20,2.35
CUP_hi_pc,CUP,pc,hi,6,3,4,13,1.53
POP_hi_id,POP,id,hi,8,5,0,13,1.53
STY_hi_pc,STY,pc,hi,7,3,0,10,1.18
STY_hi_id,STY,id,hi,7,1,1,9,1.06
OAO,OAO,base,base,4,3,2,9,1.06
LBR_lo_pc,LBR,pc,lo,5,1,1,7,0.82
STY_hi_so,STY,so,hi,4,2,1,7,0.82
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
DSA_hi_id,DSA,id,hi,3,0,1,4,0.47
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
STY_lo_pc,STY,pc,lo,2,0,0,2,0.24
STY_lo_so,STY,so,lo,1,1,0,2,0.24
LBR_hi_pc,LBR,pc,hi,1,1,0,2,0.24
CON,CON,base,base,1,0,0,1,0.12
