state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_lo_pc,CON,pc,lo,435.63,5,0.0,3.946,8.093,7.343,12.047,1.536,3.612,3.165,0.0,5.268,4.37,0.0,1.767,0.559,2.064,0.938,1.841,3.378,0.6,1.707,1.252,0.518,2.168,10.305,2.282,0.0,0.408,2.801,2.59,4.075,0.341,0.0,3.425,0.821,1.496,2.281,0.651,2.351
2,AK,STY_lo_es,STY,es,lo,77.69,5,0.0,5.791,4.369,11.633,0.396,0.0,9.808,2.405,0.0,2.044,0.298,0.0,0.0,1.842,0.751,3.398,8.344,7.888,2.733,5.249,2.294,1.693,2.605,5.524,0.775,0.0,2.12,1.47,1.469,0.687,2.263,0.852,0.363,0.241,0.435,7.188,0.96,2.116
4,AZ,STY_lo_es,STY,es,lo,746.51,5,0.103,6.446,8.412,6.07,3.714,0.122,0.682,1.128,1.38,2.082,6.831,0.017,2.452,1.418,1.286,4.105,1.573,2.075,1.824,1.825,2.367,0.0,10.887,5.42,2.976,0.0,5.258,2.726,1.351,1.434,7.059,0.119,1.107,1.719,0.328,3.354,0.289,0.062
5,AR,STY_hi_pc,STY,pc,hi,256.4,5,0.0,3.393,8.271,5.196,10.224,0.0,2.929,2.766,0.0,2.282,5.042,0.0,3.081,0.093,4.23,5.181,0.991,3.231,2.539,1.678,0.938,0.686,0.796,9.056,2.952,0.0,1.751,2.545,5.526,2.043,4.993,0.145,0.577,2.83,0.561,1.517,1.065,0.893
6,CA,LBR_hi_so,LBR,so,hi,2465.3,5,0.353,4.241,3.343,3.364,6.013,0.207,1.803,3.7,0.295,1.112,3.64,0.06,2.196,1.126,5.471,4.169,1.99,4.047,4.128,3.958,4.509,0.029,8.879,1.723,4.057,0.06,2.819,0.662,0.996,1.698,8.278,0.001,1.567,1.551,1.348,3.998,1.076,1.532
8,CO,LBR_lo_so,LBR,so,lo,537.49,5,0.073,5.949,12.71,2.09,3.126,0.218,0.574,3.21,0.335,0.49,5.979,0.0,1.943,0.384,1.611,2.303,1.371,8.108,2.844,3.103,5.615,0.104,5.511,2.837,4.285,0.0,3.603,2.422,2.017,2.092,9.911,0.328,0.909,0.842,0.139,1.436,0.527,1.001
9,CT,LBR_hi_so,LBR,so,hi,317.18,5,0.972,6.375,2.783,2.017,8.917,0.347,2.298,3.509,0.148,1.016,3.685,0.0,1.934,2.941,4.406,2.765,1.296,2.103,3.749,5.813,2.975,0.128,6.272,3.055,4.218,0.154,1.084,0.924,2.521,4.616,10.86,0.481,0.003,0.305,0.129,3.063,1.345,0.793
10,DE,LBR_hi_so,LBR,so,hi,137.71,5,0.0,4.935,10.001,3.756,7.795,0.198,0.0,3.276,0.0,0.217,6.017,0.0,1.815,1.185,10.35,6.686,1.647,2.303,2.848,2.168,2.57,0.0,3.428,3.111,12.32,0.0,1.258,0.0,2.905,0.955,2.877,0.0,1.463,0.0,1.403,2.169,0.343,0.0
11,DC,LBR_lo_so,LBR,so,lo,78.06,5,0.0,1.459,0.0,2.405,5.18,0.0,2.026,5.868,0.884,0.0,9.621,0.0,2.07,0.419,3.281,4.484,6.178,11.094,7.907,0.751,7.222,0.0,0.0,0.0,1.626,0.0,0.0,0.0,3.596,6.525,13.757,0.0,0.0,0.773,0.0,1.617,1.028,0.229
12,FL,CON_lo_pc,CON,pc,lo,1915.25,5,0.074,2.808,7.396,7.742,6.862,0.941,5.263,5.539,0.099,3.527,3.444,0.0,2.289,0.73,3.777,3.203,1.625,2.705,2.004,2.03,2.92,0.287,0.558,7.831,4.007,0.765,0.83,0.739,4.299,1.673,2.836,0.032,3.204,1.006,0.786,3.62,1.027,1.522
13,GA,STY_lo_es,STY,es,lo,904.3,5,0.278,3.51,6.727,7.578,8.148,0.698,2.518,5.95,0.053,0.97,2.237,0.0,5.173,1.046,3.898,2.044,1.397,4.853,3.807,2.9,3.751,0.797,1.899,6.967,2.802,0.0,2.655,0.615,2.041,1.188,3.209,0.113,1.601,2.176,0.857,3.283,1.649,0.613
15,HI,LBR_hi_so,LBR,so,hi,131.26,5,0.0,11.249,0.501,4.657,5.348,0.0,0.464,1.056,0.0,0.0,3.893,0.0,0.541,4.323,5.568,3.462,1.83,8.938,9.141,4.525,3.994,0.0,2.928,1.885,9.881,0.316,4.554,2.077,1.597,0.183,1.136,0.0,0.658,0.275,0.948,3.483,0.436,0.153
16,ID,POP_lo_es,POP,es,lo,207.03,5,0.0,2.793,18.898,4.614,2.605,0.174,6.923,0.782,0.0,3.827,2.482,0.0,2.706,0.0,2.438,0.326,0.29,4.906,2.151,2.139,2.949,0.272,1.646,9.948,2.653,0.0,0.121,2.34,9.426,1.863,4.62,0.0,0.105,0.604,0.642,3.732,0.44,0.587
17,IL,LBR_lo_so,LBR,so,lo,939.48,5,0.24,5.501,5.018,5.288,7.427,0.292,2.735,4.614,0.446,1.969,3.668,0.112,2.018,0.584,3.527,3.53,1.568,3.999,3.606,1.847,6.253,0.0,5.707,1.971,6.069,0.01,2.246,0.673,1.38,2.777,8.069,0.126,0.272,0.726,0.81,3.807,0.328,0.788
18,IN,POP_lo_es,POP,es,lo,622.9,5,0.123,8.146,6.805,5.004,5.589,0.43,4.41,3.716,0.044,1.886,2.642,0.0,3.086,0.691,2.448,2.413,1.526,3.591,3.161,1.929,2.685,1.074,1.723,10.02,4.418,0.234,1.22,2.172,3.88,0.734,5.868,0.245,1.221,0.828,0.378,3.964,0.957,0.738
19,IA,CUP_hi_pc,CUP,pc,hi,280.31,5,0.0,2.393,7.876,7.541,4.407,0.504,6.669,3.715,0.0,1.64,5.557,0.0,0.901,0.81,2.053,6.743,1.011,2.646,1.299,2.451,2.984,1.153,1.069,10.84,5.758,0.002,3.049,0.747,5.306,0.454,4.107,0.059,2.147,1.75,0.296,1.319,0.431,0.313
20,KS,STY_lo_es,STY,es,lo,235.14,5,0.252,3.721,13.262,5.856,8.636,0.712,2.943,2.266,0.0,0.934,5.784,0.0,0.735,0.877,2.653,0.805,0.495,4.315,8.829,2.311,1.496,0.331,1.896,5.998,1.526,0.472,1.235,4.261,0.9,0.807,6.945,0.046,1.467,0.328,0.161,4.087,1.133,1.525
21,KY,POP_lo_es,POP,es,lo,438.79,5,0.116,3.774,9.88,5.722,5.893,1.609,5.473,1.869,0.156,2.201,2.244,1.176,2.164,2.193,1.845,2.947,1.044,5.439,1.702,1.626,2.619,0.666,3.648,9.609,4.771,0.0,1.929,0.751,3.703,1.381,3.915,0.698,0.416,2.171,2.037,2.043,0.164,0.403
22,LA,CON_lo_pc,CON,pc,lo,311.37,5,0.0,6.04,11.109,5.283,5.62,0.185,2.97,7.019,0.007,1.454,1.866,0.0,1.022,1.493,4.251,4.081,0.564,0.504,1.63,1.599,2.558,0.0,1.83,11.219,4.23,0.0,0.462,1.527,2.59,0.927,6.319,0.452,2.875,1.512,0.456,3.277,2.8,0.268
23,ME,LBR_hi_so,LBR,so,hi,157.39,5,0.0,4.987,4.966,4.387,3.22,1.331,2.446,5.289,0.0,3.775,3.702,0.0,0.881,1.125,3.777,4.359,2.008,2.705,4.337,2.729,4.414,0.095,5.973,1.347,5.404,0.0,2.89,2.402,5.817,2.02,9.616,0.0,0.208,2.231,0.407,0.827,0.323,0.0
24,MD,LBR_hi_so,LBR,so,hi,493.86,5,0.089,4.627,3.486,5.189,3.785,0.57,1.819,3.245,0.094,0.162,3.421,0.0,1.529,1.28,5.78,4.391,2.482,4.264,3.866,2.538,4.078,0.0,4.186,3.116,5.977,0.095,2.874,1.575,1.918,1.062,12.306,0.135,0.475,3.9,0.827,2.915,0.388,1.558
25,MA,LBR_hi_so,LBR,so,hi,515.39,5,2.137,4.516,5.952,2.336,6.169,0.035,1.442,1.851,0.24,1.846,6.571,0.0,1.184,0.604,5.324,4.701,1.795,5.135,3.671,2.575,6.109,0.307,3.396,3.938,4.736,0.094,0.852,1.241,3.126,1.014,11.561,0.0,1.572,0.804,0.907,1.006,0.204,1.047
26,MI,POP_lo_es,POP,es,lo,857.62,5,0.926,4.382,9.683,5.595,4.845,1.132,2.522,2.793,0.362,1.629,4.57,0.0,1.918,0.813,3.643,2.618,1.464,3.544,3.498,3.04,2.787,0.102,6.516,6.053,3.783,0.0,2.846,1.572,3.808,1.543,7.101,0.017,0.392,1.602,0.487,1.251,0.65,0.514
27,MN,LBR_lo_so,LBR,so,lo,472.71,5,0.196,2.959,6.605,5.069,4.304,0.28,2.425,2.792,0.0,0.711,3.413,0.015,0.842,0.634,1.321,2.568,4.284,3.431,4.078,5.703,4.745,0.0,7.129,2.316,6.948,0.132,3.697,2.199,1.142,2.431,13.46,0.345,0.234,0.635,0.847,1.732,0.073,0.304
28,MS,CON_lo_pc,CON,pc,lo,254.08,5,0.039,4.892,7.181,5.642,6.04,0.837,4.712,5.224,0.4,1.441,2.722,0.0,2.813,3.332,3.221,1.936,0.65,2.534,0.0,0.041,1.325,0.49,4.474,6.848,5.227,0.0,1.974,2.643,3.357,0.343,1.161,0.922,2.823,3.875,3.461,2.656,1.999,2.765
29,MO,STY_lo_es,STY,es,lo,585.51,5,0.221,4.611,9.44,7.234,4.482,0.596,3.774,2.674,0.156,1.863,5.5,0.0,4.925,0.556,2.8,2.425,1.844,3.748,3.204,1.729,2.072,0.972,2.767,8.533,2.858,0.0,1.049,1.957,2.071,2.588,4.152,0.0,2.045,1.258,1.897,2.147,1.026,0.828
30,MT,STY_lo_es,STY,es,lo,165.36,5,0.0,3.548,13.674,5.728,1.069,0.477,5.016,1.5,0.0,2.188,2.245,0.0,1.395,0.398,4.294,1.226,2.415,1.653,2.971,7.679,3.935,1.959,1.47,13.026,1.383,0.0,0.3,0.383,1.62,2.424,4.847,0.0,4.096,0.251,0.648,4.793,0.511,0.876
31,NE,POP_lo_es,POP,es,lo,180.44,5,0.197,6.02,4.997,7.489,5.272,3.219,6.205,2.987,0.0,2.589,6.194,0.0,3.924,0.0,1.098,1.521,2.169,5.742,2.152,1.976,1.713,0.319,4.978,4.679,2.627,0.0,0.0,2.702,4.022,2.611,3.944,0.0,2.039,1.896,0.664,3.254,0.204,0.599
32,NV,STY_lo_so,STY,so,lo,442.42,5,0.223,7.572,6.381,1.694,7.685,0.093,2.909,2.431,0.0,2.555,3.113,0.0,4.583,0.808,1.348,3.756,3.483,5.472,2.776,4.516,1.982,0.191,7.217,2.805,4.25,0.0,4.545,0.843,0.722,2.508,5.897,0.314,1.796,0.842,0.408,2.084,0.375,1.82
33,NH,LBR_lo_es,LBR,es,lo,171.37,5,0.376,2.533,4.433,6.086,4.632,0.544,1.9,0.882,0.0,3.811,7.769,0.144,0.468,3.518,1.862,4.634,3.379,4.322,4.458,2.563,2.518,0.0,4.288,1.559,10.114,0.0,0.562,1.73,3.46,0.0,11.377,0.236,0.79,0.917,0.186,3.829,0.119,0.0
34,NJ,LBR_lo_so,LBR,so,lo,750.23,5,0.022,5.962,6.47,3.768,5.681,0.517,2.726,6.568,0.129,0.633,6.222,0.001,1.581,0.964,3.879,1.037,1.88,4.826,4.139,2.874,4.522,0.101,6.571,2.73,4.601,0.317,1.883,0.274,1.987,2.157,9.217,0.06,0.468,0.527,0.44,2.843,0.984,0.442
