state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_pc,CON,pc,hi,408.63,5,0.0,3.988,8.232,7.415,12.175,1.513,3.586,3.145,0.0,5.36,4.485,0.0,1.667,0.549,2.044,0.925,1.807,3.401,0.615,1.751,1.284,0.532,2.226,10.58,2.32,0.0,0.401,2.75,2.543,4.037,0.355,0.0,3.179,0.783,1.417,2.145,0.605,2.182
2,AK,LBR_lo_so,LBR,so,lo,72.57,5,0.0,5.893,4.477,11.581,0.403,0.0,9.807,2.423,0.0,2.088,0.304,0.0,0.0,1.817,0.74,3.429,8.227,7.815,2.815,5.407,2.363,1.746,2.686,5.696,0.791,0.0,2.09,1.449,1.449,0.699,2.364,0.794,0.338,0.237,0.405,6.713,0.981,1.972
4,AZ,CON_hi_pc,CON,pc,hi,705.24,5,0.103,6.481,8.494,6.077,3.73,0.119,0.674,1.12,1.395,2.103,6.954,0.017,2.423,1.377,1.269,4.074,1.535,2.027,1.858,1.857,2.41,0.0,11.099,5.525,3.005,0.0,5.125,2.657,1.317,1.362,7.291,0.109,1.02,1.596,0.302,3.166,0.269,0.057
5,AR,LBR_hi_so,LBR,so,hi,241.02,5,0.0,3.431,8.379,5.216,10.342,0.0,2.899,2.764,0.0,2.317,5.12,0.0,3.018,0.091,4.163,5.077,0.971,3.166,2.599,1.718,0.96,0.703,0.815,9.279,2.995,0.0,1.715,2.493,5.424,1.971,5.184,0.135,0.535,2.747,0.519,1.412,1.016,0.828
6,CA,STY_lo_es,STY,es,lo,2316.74,5,0.357,4.263,3.38,3.388,6.073,0.204,1.78,3.689,0.3,1.129,3.72,0.059,2.148,1.099,5.404,4.117,1.972,3.982,4.227,4.05,4.617,0.03,9.084,1.765,4.117,0.059,2.762,0.648,0.975,1.647,8.596,0.001,1.452,1.461,1.256,3.759,1.012,1.42
8,CO,LBR_lo_so,LBR,so,lo,507.8,5,0.074,5.986,12.799,2.101,3.142,0.213,0.561,3.186,0.339,0.495,6.073,0.0,1.894,0.375,1.574,2.26,1.349,7.929,2.897,3.161,5.721,0.106,5.614,2.892,4.326,0.0,3.512,2.36,1.966,2.026,10.237,0.302,0.838,0.795,0.128,1.354,0.493,0.923
9,CT,LBR_hi_so,LBR,so,hi,299.96,5,0.977,6.394,2.807,2.027,8.96,0.339,2.246,3.519,0.149,1.025,3.751,0.0,1.884,2.864,4.307,2.747,1.271,2.075,3.815,5.915,3.027,0.13,6.387,3.11,4.254,0.15,1.056,0.899,2.455,4.494,11.206,0.443,0.002,0.281,0.126,2.919,1.258,0.73
10,DE,LBR_hi_so,LBR,so,hi,129.71,5,0.0,4.98,10.093,3.771,7.848,0.195,0.0,3.215,0.0,0.22,6.159,0.0,1.775,1.158,10.206,6.538,1.61,2.323,2.91,2.215,2.626,0.0,3.505,3.18,12.474,0.0,1.23,0.0,2.844,0.934,2.981,0.0,1.352,0.0,1.297,2.044,0.317,0.0
11,DC,LBR_lo_so,LBR,so,lo,73.89,5,0.0,1.465,0.0,2.418,5.203,0.0,1.995,5.902,0.891,0.0,9.723,0.0,2.014,0.407,3.23,4.454,6.107,10.975,8.038,0.763,7.342,0.0,0.0,0.0,1.638,0.0,0.0,0.0,3.498,6.347,14.183,0.0,0.0,0.711,0.0,1.541,0.945,0.211
12,FL,LBR_lo_es,LBR,es,lo,1794.19,5,0.075,2.835,7.521,7.833,6.938,0.929,5.227,5.529,0.1,3.594,3.518,0.0,2.246,0.718,3.729,3.158,1.604,2.682,2.058,2.085,3.0,0.295,0.573,8.043,4.079,0.752,0.816,0.727,4.23,1.623,2.955,0.03,2.977,0.937,0.748,3.451,0.969,1.417
13,GA,LBR_hi_es,LBR,es,hi,848.34,5,0.281,3.543,6.81,7.65,8.241,0.688,2.493,5.946,0.054,0.987,2.284,0.0,5.076,1.027,3.882,2.031,1.376,4.761,3.905,2.974,3.848,0.819,1.944,7.152,2.849,0.0,2.606,0.604,2.005,1.158,3.338,0.105,1.486,2.084,0.799,3.088,1.538,0.569
15,HI,LBR_hi_so,LBR,so,hi,123.68,5,0.0,11.348,0.505,4.695,5.397,0.0,0.456,1.059,0.0,0.0,3.997,0.0,0.534,4.226,5.449,3.456,1.789,8.746,9.335,4.621,4.075,0.0,2.987,1.927,10.001,0.309,4.45,2.029,1.561,0.178,1.176,0.0,0.608,0.254,0.933,3.351,0.408,0.141
16,ID,CON_hi_pc,CON,pc,hi,195.16,5,0.0,2.785,19.104,4.643,2.624,0.171,6.805,0.782,0.0,3.875,2.52,0.0,2.622,0.0,2.431,0.318,0.292,4.805,2.196,2.183,3.01,0.277,1.682,10.163,2.684,0.0,0.118,2.286,9.211,1.82,4.783,0.0,0.097,0.563,0.593,3.607,0.407,0.542
17,IL,LBR_lo_so,LBR,so,lo,887.38,5,0.242,5.53,5.058,5.309,7.476,0.286,2.698,4.571,0.45,1.989,3.722,0.109,1.974,0.569,3.465,3.455,1.546,3.95,3.674,1.88,6.371,0.0,5.813,2.01,6.128,0.01,2.19,0.656,1.346,2.708,8.337,0.116,0.25,0.68,0.747,3.65,0.31,0.727
18,IN,CON_hi_pc,CON,pc,hi,586.44,5,0.124,8.214,6.903,5.014,5.648,0.423,4.361,3.711,0.045,1.912,2.682,0.0,3.01,0.676,2.422,2.368,1.497,3.536,3.231,1.972,2.744,1.098,1.762,10.249,4.475,0.229,1.193,2.124,3.801,0.716,6.083,0.226,1.129,0.768,0.35,3.729,0.892,0.683
19,IA,CON_lo_es,CON,es,lo,263.93,5,0.0,2.405,7.958,7.593,4.385,0.495,6.678,3.683,0.0,1.663,5.645,0.0,0.882,0.783,2.02,6.603,0.991,2.616,1.327,2.505,3.049,1.179,1.093,11.088,5.833,0.002,2.982,0.731,5.178,0.444,4.257,0.054,1.985,1.652,0.273,1.279,0.399,0.289
20,KS,STY_lo_es,STY,es,lo,221.62,5,0.254,3.743,13.372,5.892,8.673,0.698,2.915,2.271,0.0,0.946,5.863,0.0,0.717,0.858,2.607,0.812,0.483,4.217,9.014,2.36,1.527,0.338,1.938,6.129,1.544,0.461,1.207,4.163,0.879,0.788,7.191,0.043,1.355,0.309,0.149,3.827,1.05,1.408
21,KY,CON_hi_pc,CON,pc,hi,411.84,5,0.117,3.801,10.018,5.771,5.97,1.584,5.428,1.848,0.158,2.239,2.285,1.154,2.064,2.089,1.833,2.91,1.025,5.388,1.745,1.664,2.684,0.683,3.742,9.853,4.848,0.0,1.893,0.737,3.634,1.355,4.07,0.648,0.386,2.044,1.889,1.917,0.152,0.374
22,LA,CON_hi_pc,CON,pc,hi,292.52,5,0.0,6.085,11.301,5.337,5.673,0.182,2.967,6.914,0.007,1.477,1.899,0.0,1.002,1.462,4.179,4.021,0.554,0.497,1.669,1.637,2.62,0.0,1.876,11.5,4.294,0.0,0.453,1.496,2.542,0.909,6.564,0.419,2.665,1.404,0.422,3.128,2.595,0.248
23,ME,LBR_hi_so,LBR,so,hi,148.63,5,0.0,5.006,5.012,4.379,3.205,1.303,2.41,5.36,0.0,3.816,3.758,0.0,0.834,1.095,3.761,4.304,1.958,2.664,4.419,2.781,4.498,0.097,6.084,1.374,5.458,0.0,2.818,2.342,5.672,1.942,9.937,0.0,0.192,2.057,0.375,0.794,0.298,0.0
