state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_lo_pc,CON,pc,lo,456.27,5,0.0,3.897,7.939,7.274,11.945,1.564,3.64,3.189,0.0,5.304,4.328,0.0,1.876,0.552,2.04,0.925,1.819,3.383,0.578,1.645,1.206,0.501,2.096,9.961,2.255,0.0,0.407,2.794,2.583,4.061,0.329,0.0,3.736,0.86,1.595,2.443,0.71,2.564
2,AK,STY_lo_id,STY,id,lo,81.28,5,0.0,5.72,4.269,11.782,0.391,0.0,9.884,2.393,0.0,2.06,0.3,0.0,0.0,1.822,0.743,3.318,8.254,7.823,2.637,5.064,2.213,1.639,2.521,5.347,0.767,0.0,2.117,1.467,1.467,0.678,2.183,0.93,0.396,0.241,0.474,7.822,0.968,2.31
4,AZ,STY_lo_id,STY,id,lo,773.47,5,0.102,6.431,8.344,6.09,3.715,0.125,0.694,1.141,1.405,2.119,6.801,0.017,2.471,1.428,1.284,4.095,1.57,2.07,1.777,1.779,2.307,0.0,10.639,5.297,2.973,0.0,5.301,2.749,1.365,1.51,6.876,0.131,1.22,1.873,0.362,3.555,0.316,0.068
5,AR,STY_hi_pc,STY,pc,hi,266.69,5,0.0,3.371,8.194,5.206,10.164,0.0,2.982,2.788,0.0,2.314,5.112,0.0,3.069,0.092,4.209,5.155,0.986,3.215,2.464,1.629,0.91,0.668,0.775,8.816,2.938,0.0,1.758,2.556,5.612,2.105,4.845,0.16,0.634,2.885,0.616,1.656,1.136,0.981
6,CA,STY_lo_id,STY,id,lo,2564.16,5,0.35,4.222,3.31,3.359,5.989,0.213,1.841,3.73,0.299,1.129,3.629,0.06,2.194,1.132,5.439,4.14,1.971,4.029,4.007,3.842,4.378,0.029,8.654,1.678,4.037,0.06,2.831,0.665,1.007,1.739,8.033,0.001,1.721,1.661,1.471,4.32,1.152,1.683
8,CO,STY_lo_id,STY,id,lo,555.72,5,0.073,5.946,12.68,2.091,3.125,0.225,0.591,3.254,0.342,0.5,6.002,0.0,1.945,0.385,1.612,2.305,1.366,8.117,2.777,3.029,5.484,0.102,5.399,2.779,4.289,0.0,3.641,2.447,2.038,2.136,9.675,0.363,1.005,0.897,0.153,1.547,0.576,1.106
9,CT,LBR_hi_so,LBR,so,hi,327.59,5,0.973,6.383,2.769,2.018,8.928,0.358,2.374,3.502,0.151,1.037,3.664,0.0,1.938,2.947,4.415,2.741,1.294,2.121,3.664,5.681,2.907,0.125,6.148,2.995,4.227,0.156,1.097,0.934,2.55,4.693,10.613,0.532,0.003,0.337,0.135,3.256,1.454,0.877
10,DE,LBR_hi_so,LBR,so,hi,142.8,5,0.0,4.918,9.967,3.765,7.769,0.204,0.0,3.37,0.0,0.221,5.967,0.0,1.812,1.182,10.324,6.673,1.644,2.259,2.772,2.11,2.502,0.0,3.347,3.037,12.297,0.0,1.268,0.0,2.952,0.962,2.801,0.0,1.612,0.0,1.546,2.341,0.378,0.0
11,DC,LBR_lo_so,LBR,so,lo,80.41,5,0.0,1.464,0.0,2.414,5.197,0.0,2.078,5.843,0.905,0.0,9.729,0.0,2.079,0.42,3.297,4.452,6.152,11.058,7.748,0.736,7.077,0.0,0.0,0.0,1.633,0.0,0.0,0.0,3.647,6.617,13.479,0.0,0.0,0.857,0.0,1.724,1.139,0.254
12,FL,CON_lo_pc,CON,pc,lo,2002.69,5,0.073,2.78,7.284,7.678,6.805,0.96,5.307,5.573,0.099,3.558,3.447,0.0,2.282,0.725,3.738,3.167,1.606,2.669,1.934,1.96,2.819,0.278,0.54,7.594,3.966,0.764,0.829,0.739,4.31,1.711,2.738,0.035,3.499,1.094,0.838,3.837,1.102,1.661
13,GA,STY_lo_id,STY,id,lo,941.95,5,0.275,3.487,6.668,7.55,8.104,0.715,2.563,5.974,0.053,0.982,2.247,0.0,5.146,1.039,3.865,2.037,1.386,4.845,3.689,2.81,3.636,0.775,1.85,6.772,2.784,0.0,2.662,0.617,2.054,1.205,3.109,0.124,1.755,2.273,0.935,3.547,1.792,0.672
15,HI,LBR_hi_so,LBR,so,hi,135.6,5,0.0,11.253,0.501,4.664,5.351,0.0,0.48,1.061,0.0,0.0,3.858,0.0,0.565,4.331,5.578,3.427,1.834,8.959,8.931,4.421,3.914,0.0,2.874,1.848,9.899,0.319,4.605,2.1,1.615,0.185,1.11,0.0,0.728,0.304,0.976,3.671,0.472,0.169
16,ID,POP_lo_id,POP,id,lo,214.68,5,0.0,2.794,18.751,4.61,2.603,0.179,7.085,0.782,0.0,3.893,2.487,0.0,2.744,0.0,2.433,0.325,0.284,4.903,2.094,2.082,2.87,0.265,1.607,9.713,2.647,0.0,0.122,2.357,9.514,1.874,4.497,0.0,0.115,0.654,0.707,3.876,0.485,0.646
17,IL,LBR_lo_so,LBR,so,lo,973.32,5,0.24,5.489,4.987,5.289,7.411,0.301,2.788,4.678,0.454,2.004,3.693,0.112,2.02,0.583,3.525,3.534,1.559,4.005,3.514,1.801,6.093,0.0,5.582,1.926,6.062,0.01,2.264,0.679,1.392,2.803,7.861,0.139,0.3,0.782,0.893,4.012,0.347,0.869
18,IN,POP_lo_id,POP,id,lo,647.72,5,0.122,8.106,6.714,5.018,5.557,0.442,4.485,3.735,0.045,1.913,2.672,0.0,3.088,0.689,2.437,2.398,1.517,3.584,3.069,1.872,2.606,1.046,1.677,9.759,4.397,0.235,1.225,2.181,3.918,0.741,5.696,0.269,1.341,0.906,0.414,4.275,1.039,0.811
19,IA,CUP_hi_pc,CUP,pc,hi,291.36,5,0.0,2.382,7.82,7.521,4.457,0.517,6.679,3.768,0.0,1.664,5.614,0.0,0.898,0.834,2.046,6.712,1.006,2.65,1.261,2.381,2.897,1.123,1.041,10.56,5.734,0.002,3.064,0.751,5.372,0.455,3.988,0.064,2.36,1.863,0.325,1.375,0.473,0.344
20,KS,STY_lo_id,STY,id,lo,244.28,5,0.251,3.704,13.133,5.84,8.635,0.731,2.989,2.265,0.0,0.948,5.857,0.0,0.736,0.883,2.643,0.788,0.493,4.298,8.579,2.246,1.453,0.322,1.848,5.846,1.52,0.475,1.242,4.284,0.905,0.812,6.748,0.051,1.613,0.351,0.177,4.418,1.239,1.676
21,KY,POP_lo_id,POP,id,lo,457.76,5,0.115,3.745,9.768,5.697,5.839,1.645,5.543,1.905,0.158,2.226,2.265,1.166,2.272,2.296,1.83,2.937,1.036,5.368,1.647,1.576,2.537,0.646,3.542,9.337,4.734,0.0,1.932,0.752,3.712,1.384,3.787,0.765,0.455,2.325,2.23,2.209,0.18,0.441
22,LA,CON_lo_pc,CON,pc,lo,324.9,5,0.0,5.991,10.912,5.242,5.583,0.189,2.986,7.169,0.007,1.47,1.875,0.0,1.014,1.485,4.216,4.101,0.56,0.501,1.576,1.546,2.475,0.0,1.776,10.887,4.195,0.0,0.463,1.528,2.592,0.928,6.113,0.495,3.148,1.649,0.499,3.471,3.065,0.293
23,ME,LBR_hi_so,LBR,so,hi,162.81,5,0.0,4.987,4.941,4.428,3.219,1.373,2.495,5.203,0.0,3.849,3.742,0.0,0.931,1.128,3.74,4.348,2.009,2.692,4.232,2.663,4.307,0.093,5.852,1.318,5.407,0.0,2.918,2.425,5.874,2.09,9.383,0.0,0.23,2.464,0.449,0.852,0.357,0.0
24,MD,LBR_hi_so,LBR,so,hi,512.36,5,0.089,4.611,3.451,5.199,3.775,0.586,1.859,3.297,0.095,0.164,3.418,0.0,1.525,1.277,5.766,4.375,2.472,4.261,3.761,2.47,3.97,0.0,4.088,3.041,5.963,0.095,2.894,1.586,1.932,1.066,11.972,0.148,0.523,4.153,0.91,3.074,0.418,1.716
25,MA,LBR_hi_so,LBR,so,hi,533.02,5,2.136,4.512,5.926,2.345,6.166,0.036,1.468,1.877,0.244,1.882,6.637,0.0,1.189,0.608,5.325,4.667,1.793,5.135,3.583,2.514,5.963,0.301,3.325,3.856,4.739,0.095,0.861,1.253,3.161,1.053,11.283,0.0,1.736,0.88,0.989,1.081,0.225,1.156
26,MI,POP_lo_id,POP,id,lo,887.91,5,0.925,4.377,9.595,5.587,4.843,1.167,2.59,2.807,0.369,1.659,4.618,0.0,1.929,0.813,3.64,2.608,1.457,3.535,3.41,2.964,2.721,0.1,6.374,5.924,3.782,0.0,2.871,1.586,3.842,1.613,6.923,0.019,0.433,1.767,0.526,1.356,0.706,0.567
27,MN,LBR_lo_so,LBR,so,lo,487.69,5,0.196,2.968,6.589,5.117,4.313,0.289,2.493,2.798,0.0,0.727,3.443,0.015,0.845,0.644,1.321,2.569,4.289,3.436,3.99,5.58,4.644,0.0,6.997,2.272,6.97,0.134,3.743,2.227,1.157,2.498,13.168,0.382,0.259,0.701,0.903,1.904,0.081,0.337
28,MS,STY_hi_pc,STY,pc,hi,267.69,5,0.038,4.798,7.024,5.547,5.927,0.848,4.765,5.165,0.4,1.442,2.643,0.0,2.774,3.273,3.146,1.94,0.639,2.49,0.0,0.04,1.269,0.471,4.321,6.581,5.135,0.0,1.957,2.62,3.32,0.34,1.113,1.0,3.06,4.182,3.753,2.834,2.147,2.998
29,MO,STY_lo_id,STY,id,lo,610.35,5,0.219,4.573,9.303,7.186,4.462,0.61,3.84,2.678,0.157,1.885,5.515,0.0,5.004,0.553,2.794,2.407,1.829,3.73,3.102,1.674,2.007,0.944,2.688,8.32,2.837,0.0,1.051,1.961,2.076,2.589,4.02,0.0,2.241,1.367,2.079,2.294,1.096,0.908
30,MT,STY_hi_id,STY,id,hi,171.27,5,0.0,3.54,13.481,5.72,1.066,0.491,5.132,1.524,0.0,2.228,2.286,0.0,1.394,0.398,4.275,1.225,2.413,1.652,2.895,7.483,3.834,1.915,1.437,12.739,1.382,0.0,0.302,0.387,1.633,2.445,4.723,0.0,4.518,0.277,0.715,4.994,0.529,0.966
31,NE,STY_lo_id,STY,id,lo,188.29,5,0.195,5.966,4.923,7.518,5.223,3.291,6.278,2.944,0.0,2.616,6.256,0.0,3.892,0.0,1.089,1.511,2.149,5.712,2.081,1.912,1.657,0.31,4.83,4.54,2.606,0.0,0.0,2.704,4.026,2.614,3.815,0.0,2.232,2.075,0.684,3.482,0.215,0.655
32,NV,STY_lo_so,STY,so,lo,459.8,5,0.222,7.53,6.302,1.692,7.644,0.096,2.976,2.461,0.0,2.593,3.104,0.0,4.663,0.809,1.342,3.709,3.472,5.444,2.697,4.387,1.925,0.186,7.04,2.733,4.233,0.0,4.568,0.848,0.727,2.518,5.727,0.345,1.974,0.916,0.449,2.29,0.376,2.001
