candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,49,35,12,96,11.29
CON_lo_pc,CON,pc,lo,50,25,5,80,9.41
CON_lo_id,CON,id,lo,22,23,9,54,6.35
LBR_hi_so,LBR,so,hi,36,17,1,54,6.35
LBR_lo_so,LBR,so,lo,33,12,6,51,6.0
STY_lo_id,STY,id,lo,29,16,2,47,5.53
LIB,LIB,base,base,28,14,3,45,5.29
CUP_lo_pc,CUP,pc,lo,28,12,2,42,4.94
POP_lo_id,POP,id,lo,15,16,4,35,4.12
CON_hi_id,CON,id,hi,16,8,10,34,4.0
LBR_lo_id,LBR,id,lo,21,7,3,31,3.65
NAT_lo_id,NAT,id,lo,10,12,6,28,3.29
LBR_hi_id,LBR,id,hi,12,8,6,26,3.06
DSA_lo_id,DSA,id,lo,17,6,0,23,2.71
LIB_hi_pc,LIB,pc,hi,14,6,3,23,2.71
POP_lo_pc,POP,pc,lo,11,7,5,23,2.71
PRG,PRG,base,base,15,6,1,22,2.59
LIB_lo_pc,LIB,pc,lo,14,5,0,19,2.24
POP_hi_id,POP,id,hi,9,6,1,16,1.88
NAT_hi_id,NAT,id,hi,7,5,2,14,1.65
STY_hi_id,STY,id,hi,10,2,1,13,1.53
CUP_hi_pc,CUP,pc,hi,7,2,4,13,1.53
STY_hi_pc,STY,pc,hi,6,5,1,12,1.41
STY_hi_so,STY,so,hi,6,3,1,10,1.18
LBR_lo_pc,LBR,pc,lo,5,1,1,7,0.82
OAO,OAO,base,base,3,3,1,7,0.82
STY_lo_so,STY,so,lo,3,3,0,6,0.71
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
STY_lo_pc,STY,pc,lo,1,2,0,3,0.35
DSA_hi_id,DSA,id,hi,2,0,1,3,0.35
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
POP,POP,base,base,0,0,1,1,0.12
LBR_hi_pc,LBR,pc,hi,1,0,0,1,0.12
CON,CON,base,base,1,0,0,1,0.12
