candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON_hi_pc,CON_lo_pc,169.9245542142582,302.2233340611291,132.3,28.0206,6,True,CON_lo_pc,1,AL
CON_hi_pc,LBR_lo_so,275.57611820720024,196.57177006818716,79.0,16.733,8,True,CON_lo_pc,1,AL
CON_hi_pc,NAT_lo_es,413.8866807134276,58.26120756195971,355.63,75.3208,1,True,CON_lo_pc,1,AL
CON_hi_pc,STY_hi_es,237.9353470066398,234.21254126874751,3.72,0.7885,10,True,CON_lo_pc,1,AL
CON_lo_pc,LBR_lo_so,292.45115942033215,179.69672885505526,112.75,23.8812,7,True,CON_lo_pc,1,AL
CON_lo_pc,NAT_lo_es,389.5876528994486,82.56023537593875,307.03,65.0278,2,True,CON_lo_pc,1,AL
CON_lo_pc,STY_hi_es,255.0515607719859,217.09632750340145,37.96,8.0388,9,True,CON_lo_pc,1,AL
LBR_lo_so,NAT_lo_es,324.7194756971875,147.42841257819993,177.29,37.5499,4,True,CON_lo_pc,1,AL
LBR_lo_so,STY_hi_es,151.44637452785054,320.7015137475368,169.26,35.8479,5,True,CON_lo_pc,1,AL
NAT_lo_es,STY_hi_es,112.40901784738048,359.73887042800686,247.33,52.384,3,True,CON_lo_pc,1,AL
CON_lo_es,CUP_hi_pc,31.310530484491576,52.87489426765157,21.56,25.6153,6,True,STY_lo_es,2,AK
CON_lo_es,LBR_lo_so,38.939290362112914,45.24613439003023,6.31,7.4916,9,True,STY_lo_es,2,AK
CON_lo_es,LIB,42.36739435583723,41.818030396305915,0.55,0.6526,10,True,STY_lo_es,2,AK
CON_lo_es,STY_lo_es,31.049009874679395,53.13641487746376,22.09,26.2366,5,True,STY_lo_es,2,AK
CUP_hi_pc,LBR_lo_so,33.02658212425402,51.15884262788912,18.13,21.5385,8,True,STY_lo_es,2,AK
CUP_hi_pc,LIB,55.306631447390124,28.878793304753028,26.43,31.3924,4,True,STY_lo_es,2,AK
CUP_hi_pc,STY_lo_es,25.944511027105392,58.24091372503776,32.3,38.3634,3,True,STY_lo_es,2,AK
LBR_lo_so,LIB,70.90487532937046,13.280549422772712,57.62,68.4493,1,True,STY_lo_es,2,AK
LBR_lo_so,STY_lo_es,31.36123949947005,52.824185252673104,21.46,25.4948,7,True,STY_lo_es,2,AK
LIB,STY_lo_es,15.582021199739879,68.60340355240325,53.02,62.9817,2,True,STY_lo_es,2,AK
CON_hi_es,CON_hi_pc,578.7806428348215,217.4299793893839,361.35,45.3838,3,True,STY_lo_es,4,AZ
CON_hi_es,DSA_lo_es,546.1880184392521,250.02260378495328,296.17,37.1969,4,True,STY_lo_es,4,AZ
CON_hi_es,LBR_lo_es,407.91690837325444,388.293713850951,19.62,2.4646,9,True,STY_lo_es,4,AZ
