state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_pc,CON,pc,hi,472.15,5,0.0,3.87,7.854,7.234,11.879,1.579,3.655,3.201,0.0,5.288,4.282,0.0,1.936,0.553,2.039,0.926,1.822,3.377,0.567,1.615,1.184,0.492,2.059,9.783,2.236,0.0,0.409,2.807,2.595,4.068,0.321,0.0,3.896,0.883,1.646,2.529,0.741,2.674
2,AK,LBR_lo_so,LBR,so,lo,84.19,5,0.0,5.671,4.209,11.84,0.388,0.0,9.906,2.385,0.0,2.052,0.299,0.0,0.0,1.824,0.743,3.286,8.261,7.825,2.585,4.965,2.17,1.608,2.473,5.246,0.76,0.0,2.125,1.473,1.472,0.672,2.131,0.969,0.413,0.241,0.494,8.14,0.964,2.407
4,AZ,CON_hi_pc,CON,pc,hi,796.21,5,0.102,6.417,8.3,6.094,3.71,0.127,0.699,1.148,1.408,2.124,6.755,0.017,2.485,1.443,1.289,4.101,1.581,2.083,1.753,1.756,2.277,0.0,10.504,5.229,2.964,0.0,5.353,2.775,1.379,1.553,6.754,0.137,1.28,1.954,0.379,3.671,0.329,0.071
5,AR,LBR_hi_so,LBR,so,hi,275.25,5,0.0,3.354,8.14,5.203,10.112,0.0,3.006,2.795,0.0,2.313,5.11,0.0,3.084,0.093,4.222,5.178,0.99,3.229,2.424,1.602,0.895,0.658,0.763,8.681,2.921,0.0,1.771,2.574,5.667,2.144,4.746,0.167,0.663,2.925,0.644,1.727,1.171,1.026
6,CA,STY_lo_id,STY,id,lo,2646.63,5,0.349,4.21,3.289,3.351,5.965,0.215,1.858,3.742,0.299,1.128,3.602,0.06,2.207,1.142,5.449,4.147,1.97,4.042,3.942,3.781,4.308,0.028,8.528,1.653,4.013,0.061,2.851,0.669,1.016,1.766,7.869,0.001,1.8,1.719,1.533,4.483,1.193,1.76
8,CO,LBR_lo_so,LBR,so,lo,571.69,5,0.073,5.935,12.644,2.088,3.12,0.228,0.6,3.274,0.343,0.502,5.981,0.0,1.96,0.388,1.623,2.318,1.371,8.173,2.741,2.991,5.413,0.101,5.335,2.745,4.278,0.0,3.679,2.472,2.059,2.169,9.509,0.38,1.054,0.928,0.161,1.604,0.601,1.161
9,CT,CON_hi_id,CON,id,hi,336.8,5,0.972,6.38,2.757,2.015,8.918,0.364,2.412,3.497,0.151,1.041,3.638,0.0,1.954,2.971,4.447,2.739,1.301,2.135,3.619,5.612,2.872,0.124,6.078,2.961,4.219,0.158,1.109,0.944,2.578,4.752,10.437,0.559,0.003,0.354,0.137,3.357,1.513,0.921
10,DE,CON_lo_pc,CON,pc,lo,147.16,5,0.0,4.9,9.93,3.763,7.746,0.207,0.0,3.416,0.0,0.221,5.91,0.0,1.822,1.189,10.359,6.713,1.653,2.24,2.732,2.08,2.466,0.0,3.301,2.995,12.244,0.0,1.279,0.0,2.984,0.97,2.748,0.0,1.688,0.0,1.619,2.428,0.396,0.0
11,DC,LBR_lo_so,LBR,so,lo,82.58,5,0.0,1.463,0.0,2.413,5.195,0.0,2.103,5.825,0.909,0.0,9.731,0.0,2.099,0.424,3.316,4.452,6.166,11.083,7.661,0.727,6.998,0.0,0.0,0.0,1.632,0.0,0.0,0.0,3.691,6.697,13.27,0.0,0.0,0.9,0.0,1.779,1.197,0.267
12,FL,LBR_lo_id,LBR,id,lo,2072.18,5,0.072,2.764,7.216,7.633,6.766,0.969,5.33,5.585,0.099,3.547,3.426,0.0,2.293,0.727,3.741,3.17,1.607,2.665,1.899,1.924,2.767,0.273,0.53,7.464,3.933,0.768,0.833,0.742,4.333,1.737,2.675,0.037,3.65,1.139,0.864,3.949,1.14,1.732
13,GA,LBR_hi_id,LBR,id,hi,973.15,5,0.274,3.47,6.627,7.521,8.065,0.723,2.584,5.982,0.053,0.981,2.236,0.0,5.167,1.043,3.861,2.038,1.388,4.87,3.627,2.762,3.574,0.762,1.823,6.662,2.765,0.0,2.679,0.621,2.068,1.218,3.043,0.129,1.834,2.328,0.974,3.68,1.866,0.702
15,HI,LBR_hi_so,LBR,so,hi,139.57,5,0.0,11.225,0.5,4.655,5.337,0.0,0.487,1.061,0.0,0.0,3.817,0.0,0.575,4.362,5.616,3.418,1.847,9.022,8.812,4.362,3.867,0.0,2.84,1.824,9.869,0.323,4.65,2.121,1.631,0.186,1.09,0.0,0.763,0.318,0.989,3.765,0.491,0.177
16,ID,CON_hi_pc,CON,pc,hi,221.19,5,0.0,2.796,18.647,4.601,2.597,0.182,7.167,0.782,0.0,3.898,2.477,0.0,2.779,0.0,2.434,0.327,0.282,4.932,2.064,2.052,2.829,0.261,1.585,9.581,2.637,0.0,0.123,2.378,9.603,1.89,4.413,0.0,0.121,0.681,0.74,3.955,0.508,0.677
17,IL,LBR_lo_so,LBR,so,lo,1001.97,5,0.239,5.477,4.966,5.283,7.392,0.306,2.814,4.71,0.455,2.008,3.684,0.112,2.033,0.587,3.542,3.558,1.563,4.021,3.466,1.778,6.011,0.0,5.514,1.902,6.043,0.01,2.287,0.686,1.405,2.831,7.721,0.145,0.314,0.812,0.936,4.119,0.358,0.911
18,IN,CON_hi_pc,CON,pc,hi,668.15,5,0.121,8.074,6.659,5.019,5.53,0.447,4.521,3.743,0.045,1.913,2.669,0.0,3.111,0.692,2.442,2.407,1.523,3.598,3.021,1.843,2.566,1.03,1.653,9.616,4.374,0.237,1.235,2.198,3.953,0.748,5.583,0.281,1.403,0.946,0.432,4.435,1.082,0.849
