state_fips,state_abbr,total_seats,party,party_seats,vote_share
1,AL,13,CON,3,0.2055
1,AL,13,CUP,2,0.1626
1,AL,13,DSA,1,0.1106
1,AL,13,LIB,1,0.0546
1,AL,13,NAT,2,0.1489
1,AL,13,PRG,1,0.049
1,AL,13,POP,1,0.0804
1,AL,13,SD,1,0.0694
1,AL,13,STY,1,0.1191
2,AK,2,CUP,1,0.204
2,AK,2,SD,1,0.1381
4,AZ,19,CON,2,0.1291
4,AZ,19,CUP,2,0.0975
4,AZ,19,DSA,2,0.0891
4,AZ,19,LIB,2,0.0926
4,AZ,19,NAT,3,0.1828
4,AZ,19,PRG,2,0.1032
4,AZ,19,POP,3,0.146
4,AZ,19,SD,1,0.0733
4,AZ,19,STY,2,0.0864
5,AR,8,CON,2,0.1962
5,AR,8,CUP,1,0.1762
5,AR,8,LIB,1,0.069
5,AR,8,NAT,1,0.1324
5,AR,8,PRG,1,0.0902
5,AR,8,POP,1,0.1002
5,AR,8,SD,1,0.1001
6,CA,104,CON,11,0.1105
6,CA,104,CUP,15,0.1411
6,CA,104,DSA,6,0.0572
6,CA,104,LIB,15,0.1434
6,CA,104,NAT,9,0.0907
6,CA,104,PRG,12,0.1108
6,CA,104,POP,10,0.0962
6,CA,104,SD,14,0.135
6,CA,104,STY,12,0.1149
8,CO,15,CON,2,0.1552
8,CO,15,CUP,2,0.094
8,CO,15,DSA,1,0.08
8,CO,15,LIB,2,0.1256
8,CO,15,NAT,2,0.1275
8,CO,15,PRG,2,0.1364
8,CO,15,POP,2,0.1345
8,CO,15,SD,1,0.0939
8,CO,15,STY,1,0.0529
9,CT,9,CON,2,0.1767
9,CT,9,CUP,1,0.138
9,CT,9,LIB,1,0.1338
9,CT,9,NAT,1,0.0703
9,CT,9,PRG,1,0.1276
9,CT,9,POP,1,0.09
9,CT,9,SD,1,0.1305
9,CT,9,STY,1,0.0887
10,DE,3,CON,1,0.1367
10,DE,3,CUP,1,0.226
10,DE,3,SD,1,0.1548
11,DC,2,LIB,1,0.2151
11,DC,2,PRG,1,0.2725
12,FL,57,CON,10,0.1799
12,FL,57,CUP,11,0.1863
12,FL,57,DSA,5,0.0804
12,FL,57,LIB,5,0.0936
12,FL,57,NAT,6,0.1055
12,FL,57,PRG,3,0.0587
12,FL,57,POP,5,0.0811
12,FL,57,SD,6,0.0992
12,FL,57,STY,6,0.1152
13,GA,28,CON,5,0.1626
13,GA,28,CUP,5,0.1782
13,GA,28,DSA,2,0.0734
13,GA,28,LIB,3,0.1098
13,GA,28,NAT,3,0.1061
13,GA,28,PRG,1,0.0541
13,GA,28,POP,2,0.0858
13,GA,28,SD,4,0.1258
13,GA,28,STY,3,0.1043
15,HI,4,CON,1,0.1782
15,HI,4,CUP,1,0.1343
15,HI,4,LIB,1,0.1742
15,HI,4,SD,1,0.145
16,ID,5,CON,1,0.1802
16,ID,5,CUP,1,0.1261
16,ID,5,DSA,1,0.1037
16,ID,5,NAT,1,0.2184
16,ID,5,POP,1,0.1343
17,IL,34,CON,5,0.1603
17,IL,34,CUP,6,0.1679
17,IL,34,DSA,2,0.0678
17,IL,34,LIB,5,0.1425
17,IL,34,NAT,3,0.0871
17,IL,34,PRG,4,0.1042
17,IL,34,POP,3,0.0885
17,IL,34,SD,4,0.1136
17,IL,34,STY,2,0.0681
18,IN,18,CON,3,0.192
18,IN,18,CUP,3,0.1495
18,IN,18,DSA,1,0.0691
18,IN,18,LIB,2,0.0894
18,IN,18,NAT,3,0.1501
18,IN,18,PRG,1,0.0757
18,IN,18,POP,2,0.0912
18,IN,18,SD,2,0.1062
18,IN,18,STY,1,0.0768
19,IA,8,CON,1,0.1782
19,IA,8,CUP,1,0.1487
19,IA,8,DSA,1,0.0757
19,IA,8,LIB,1,0.0855
19,IA,8,NAT,1,0.1489
19,IA,8,PRG,1,0.0719
19,IA,8,POP,1,0.111
19,IA,8,SD,1,0.1159
20,KS,8,CON,1,0.199
20,KS,8,CUP,1,0.1099
20,KS,8,DSA,1,0.0802
20,KS,8,LIB,1,0.1016
20,KS,8,NAT,1,0.1629
20,KS,8,PRG,1,0.1013
20,KS,8,SD,1,0.0807
20,KS,8,STY,1,0.092
21,KY,12,CON,2,0.2037
21,KY,12,CUP,2,0.1339
21,KY,12,DSA,1,0.0721
21,KY,12,LIB,1,0.0678
21,KY,12,NAT,2,0.162
21,KY,12,PRG,1,0.0653
21,KY,12,POP,1,0.128
21,KY,12,SD,1,0.0731
21,KY,12,STY,1,0.0942
22,LA,12,CON,2,0.1809
22,LA,12,CUP,2,0.2142
22,LA,12,LIB,1,0.0604
22,LA,12,NAT,2,0.1628
22,LA,12,PRG,1,0.0565
22,LA,12,POP,1,0.0759
22,LA,12,SD,1,0.0757
22,LA,12,STY,2,0.1361
23,ME,4,CON,1,0.1525
23,ME,4,CUP,1,0.1253
23,ME,4,LIB,1,0.1475
23,ME,4,SD,1,0.1277
24,MD,16,CON,2,0.1238
24,MD,16,CUP,2,0.1448
24,MD,16,DSA,1,0.0607
24,MD,16,LIB,2,0.1327
24,MD,16,NAT,1,0.0861
24,MD,16,PRG,2,0.1378
24,MD,16,POP,2,0.0949
24,MD,16,SD,2,0.1286
24,MD,16,STY,2,0.0908
25,MA,18,CON,3,0.1593
25,MA,18,CUP,2,0.1035
25,MA,18,DSA,2,0.0976
25,MA,18,LIB,3,0.1409
25,MA,18,NAT,1,0.085
25,MA,18,PRG,3,0.1542
25,MA,18,POP,1,0.0742
25,MA,18,SD,2,0.112
