candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,rp_winner_overall
CON_ctr,CTR_con,23015.7438,22615.3985,CON_ctr,400.3453,0.877,STY_ctr
CON_ctr,SD_sty,22614.3452,23016.797,SD_sty,402.4518,0.882,STY_ctr
CON_ctr,STY_ctr,21896.7891,23734.3532,STY_ctr,1837.5641,4.027,STY_ctr
CON_ctr,STY_sd,22741.9839,22889.1584,STY_sd,147.1745,0.323,STY_ctr
CTR_con,SD_sty,22574.4401,23056.7022,SD_sty,482.2621,1.057,STY_ctr
CTR_con,STY_ctr,21944.2569,23686.8854,STY_ctr,1742.6284,3.819,STY_ctr
CTR_con,STY_sd,22749.3343,22881.808,STY_sd,132.4738,0.29,STY_ctr
SD_sty,STY_ctr,22233.8433,23397.2989,STY_ctr,1163.4556,2.55,STY_ctr
SD_sty,STY_sd,22730.8121,22900.3302,STY_sd,169.5182,0.371,STY_ctr
STY_ctr,STY_sd,23720.8023,21910.3399,STY_ctr,1810.4624,3.968,STY_ctr
