round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CON_ctr,CON_ctr,9121.2218,19.989,False,False
1,CTR_con,CTR_con,9006.8311,19.7383,False,False
1,SD_sty,SD_sty,9165.6099,20.0863,False,False
1,STY_ctr,STY_ctr,9526.6119,20.8774,False,False
1,STY_sd,STY_sd,8810.8677,19.3089,True,False
2,CON_ctr,CON_ctr,11230.8035,24.6121,False,False
2,CTR_con,CTR_con,11023.215,24.1572,True,False
2,SD_sty,SD_sty,11496.9382,25.1954,False,False
2,STY_ctr,STY_ctr,11880.1855,26.0353,False,False
3,CON_ctr,CON_ctr,15068.1472,33.0216,True,False
3,SD_sty,SD_sty,15153.2662,33.2082,False,False
3,STY_ctr,STY_ctr,15409.7289,33.7702,False,False
4,SD_sty,SD_sty,22233.8433,48.7252,False,False
4,STY_ctr,STY_ctr,23397.2989,51.2748,False,True
