state_fips,state_abbr,senator_code,senator_label,primary_cluster,secondary_cluster,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_ctr,fc_pct_CON_ref,fc_pct_CTR,fc_pct_CTR_con,fc_pct_CTR_sty,fc_pct_DSA,fc_pct_DSA_lib,fc_pct_DSA_prg,fc_pct_LIB,fc_pct_LIB_dsa,fc_pct_LIB_sd,fc_pct_NAT,fc_pct_NAT_ref,fc_pct_PRG,fc_pct_PRG_dsa,fc_pct_REF,fc_pct_REF_con,fc_pct_REF_nat,fc_pct_SD,fc_pct_SD_lib,fc_pct_SD_sty,fc_pct_STY,fc_pct_STY_ctr,fc_pct_STY_sd
1,AL,CON_ctr,CON_ctr,0,6.0,726.21,5,3.755,8.8,7.225,5.735,7.219,3.586,3.374,2.773,2.709,2.681,1.741,1.01,9.071,4.453,3.172,0.584,2.004,3.911,3.181,3.155,2.595,1.207,5.657,6.096,4.305
2,AK,CTR_sty,CTR_sty,6,2.0,130.64,5,3.372,13.428,5.622,4.596,0.927,8.053,0.829,3.75,5.23,2.912,2.977,7.608,7.361,3.032,0.0,1.535,4.542,4.193,1.314,0.808,7.249,3.189,1.649,1.758,4.067
4,AZ,CON_ctr,CON_ctr,0,6.0,1160.11,5,4.146,4.604,3.678,4.937,3.11,3.079,3.426,4.319,2.137,2.055,2.471,3.342,8.506,6.388,5.925,3.015,4.18,5.062,8.248,1.701,2.643,2.581,3.883,3.014,3.55
5,AR,CTR_sty,CTR_sty,6,2.0,412.18,5,9.869,4.83,4.412,3.24,3.351,14.399,1.801,3.881,2.667,1.393,1.27,2.917,8.265,6.117,4.969,0.82,3.056,2.456,4.408,3.7,3.709,3.498,2.034,0.872,2.064
6,CA,SD_lib,SD_lib,1,4.0,3966.17,5,3.046,3.672,3.177,5.029,5.396,4.858,2.38,2.56,1.855,5.044,3.996,5.369,4.431,3.359,4.703,4.877,4.176,3.773,3.259,3.79,4.834,3.646,4.467,3.165,5.136
8,CO,CTR_con,CTR_con,6,0.0,827.29,5,3.266,5.557,6.552,3.413,3.58,1.607,2.64,1.446,4.542,5.239,5.475,5.314,5.135,5.848,5.069,6.311,5.94,4.787,4.626,2.858,2.913,2.518,1.104,1.04,3.22
9,CT,SD_sty,SD_sty,1,2.0,484.15,5,7.063,5.758,4.742,5.003,6.576,5.029,2.278,2.377,1.437,5.719,3.974,4.156,2.886,3.437,3.859,7.645,3.833,0.814,1.951,3.279,4.403,5.156,1.437,4.152,3.035
10,DE,CTR_sty,CTR_sty,6,2.0,216.95,5,2.637,5.435,3.05,7.056,11.966,9.993,1.359,0.0,2.237,8.402,2.607,2.678,11.139,1.938,3.265,2.975,2.635,2.688,2.782,2.67,3.696,1.525,4.454,2.13,0.682
11,DC,LIB_sd,LIB_sd,4,1.0,117.36,5,3.26,2.173,5.829,10.658,3.022,3.274,0.854,4.442,5.644,7.837,7.801,15.744,0.0,0.0,8.438,9.149,0.0,0.0,0.332,1.966,1.679,5.158,1.363,0.0,1.378
12,FL,CTR_con,CTR_con,6,0.0,3184.13,5,5.533,6.173,5.896,5.906,6.848,5.821,3.506,3.011,2.712,3.333,3.0,3.806,4.385,4.936,3.057,1.843,4.087,2.184,3.186,3.023,2.667,3.159,5.288,4.045,2.595
