candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON,CON_ctr,324.580351263428,401.6277476176457,77.05,10.6095,2,True,CON_ctr,1,AL
CON,CTR,327.95942134453605,398.2486775365376,70.29,9.6789,3,True,CON_ctr,1,AL
CON,STY,368.8908154809267,357.317283400147,11.57,1.5937,10,False,CON_ctr,1,AL
CON,STY_ctr,305.178245670249,421.02985321082474,115.85,15.9529,1,True,CON_ctr,1,AL
CON_ctr,CTR,392.435755871858,333.7723430092157,58.66,8.078,4,True,CON_ctr,1,AL
CON_ctr,STY,381.29031959332366,344.91777928775,36.37,5.0086,6,True,CON_ctr,1,AL
CON_ctr,STY_ctr,369.2186016315726,356.98949724950114,12.23,1.684,8,True,CON_ctr,1,AL
CTR,STY,357.1402448250687,369.0678540560051,11.93,1.6425,9,True,CON_ctr,1,AL
CTR,STY_ctr,344.89051110511366,381.3175877759601,36.43,5.0161,5,True,CON_ctr,1,AL
STY,STY_ctr,372.7596721842013,353.4484266968724,19.31,2.6592,7,True,CON_ctr,1,AL
CON,CTR_con,51.12469692914099,79.51364103563245,28.39,21.7309,2,True,CTR_sty,2,AK
CON,CTR_sty,60.55831984662628,70.08001811814714,9.52,7.2886,10,True,CTR_sty,2,AK
CON,SD_sty,58.71156361956989,71.92677434520354,13.22,10.1159,7,True,CTR_sty,2,AK
CON,STY_ctr,50.642009674705996,79.99632829006742,29.35,22.4699,1,True,CTR_sty,2,AK
CTR_con,CTR_sty,59.82800866923655,70.81032929553686,10.98,8.4067,9,True,CTR_sty,2,AK
CTR_con,SD_sty,71.0461289189042,59.59220904586923,11.45,8.7677,8,True,CTR_sty,2,AK
CTR_con,STY_ctr,72.50426358977468,58.13407437499875,14.37,11.0,6,True,CTR_sty,2,AK
CTR_sty,SD_sty,75.50045278939507,55.13788517537834,20.36,15.587,5,True,CTR_sty,2,AK
CTR_sty,STY_ctr,78.61485255188734,52.023485412886075,26.59,20.3549,3,True,CTR_sty,2,AK
SD_sty,STY_ctr,54.14408314200854,76.4942548227649,22.35,17.1084,4,True,CTR_sty,2,AK
CON_ref,CTR,622.6923457963649,537.4129016880604,85.28,7.351,3,True,CON_ref,4,AZ
CON_ref,REF_con,592.6276955334122,567.4775519510129,25.15,2.1679,8,True,CON_ref,4,AZ
CON_ref,REF_nat,635.7847396981776,524.3205077862473,111.46,9.6081,2,True,CON_ref,4,AZ
CON_ref,STY_sd,582.6591383233065,577.4461091611186,5.21,0.4494,9,True,CON_ref,4,AZ
CTR,REF_con,545.6416374199971,614.4636100644279,68.82,5.9324,4,True,CON_ref,4,AZ
CTR,REF_nat,578.3614834624398,581.7437640219853,3.38,0.2915,10,True,CON_ref,4,AZ
CTR,STY_sd,547.7369594929405,612.3682879914845,64.63,5.5712,6,True,CON_ref,4,AZ
REF_con,REF_nat,598.4106065382418,561.6946409461833,36.72,3.1649,7,True,CON_ref,4,AZ
REF_con,STY_sd,614.261239630777,545.844007853648,68.42,5.8975,5,True,CON_ref,4,AZ
REF_nat,STY_sd,518.4823786972584,641.6228687871667,123.14,10.6146,1,True,CON_ref,4,AZ
CTR,CTR_con,216.88805962684535,195.29389909311527,21.59,5.239,7,True,CTR,5,AR
CTR,CTR_sty,221.6675089329144,190.51444978704623,31.15,7.5581,5,True,CTR,5,AR
CTR,LIB_sd,223.4263139709166,188.75564474904405,34.67,8.4115,4,True,CTR,5,AR
CTR,SD,227.1083570502061,185.07360166975457,42.03,10.1981,3,True,CTR,5,AR
CTR_con,CTR_sty,170.4363837758076,241.74557494415308,71.31,17.3004,2,True,CTR,5,AR
CTR_con,LIB_sd,220.47286633110718,191.7090923888534,28.76,6.9784,6,True,CTR,5,AR
CTR_con,SD,211.06794976090012,201.11400895906047,9.95,2.4149,8,True,CTR,5,AR
CTR_sty,LIB_sd,206.73567748038312,205.44628123957756,1.29,0.3128,10,True,CTR,5,AR
