state_fips,state_abbr,senator_code,senator_label,primary_cluster,secondary_cluster,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_ctr,fc_pct_CON_ref,fc_pct_CTR,fc_pct_CTR_con,fc_pct_CTR_sty,fc_pct_DSA,fc_pct_DSA_lib,fc_pct_DSA_prg,fc_pct_LIB,fc_pct_LIB_dsa,fc_pct_LIB_sd,fc_pct_NAT,fc_pct_NAT_ref,fc_pct_PRG,fc_pct_PRG_dsa,fc_pct_REF,fc_pct_REF_con,fc_pct_REF_nat,fc_pct_SD,fc_pct_SD_lib,fc_pct_SD_sty,fc_pct_STY,fc_pct_STY_ctr,fc_pct_STY_sd
1,AL,CON_ctr,CON_ctr,0,6.0,726.21,5,6.859,7.737,5.113,4.359,1.543,2.822,1.2,3.545,2.64,1.727,2.698,1.837,6.73,2.894,1.53,2.903,3.114,2.343,4.31,5.521,4.021,2.694,8.684,7.297,5.879
2,AK,CTR_sty,CTR_sty,6,2.0,130.64,5,7.798,0.566,7.675,2.731,6.657,11.261,1.277,0.415,2.45,6.013,2.376,1.225,4.099,2.125,2.599,2.99,2.481,1.359,5.49,3.377,2.873,6.595,9.366,3.695,2.504
4,AZ,CON_ref,CON_ref,0,5.0,1160.11,5,3.073,3.477,4.805,4.895,4.562,2.94,2.254,3.913,4.236,3.681,4.104,1.596,5.802,2.872,2.146,3.194,5.714,5.471,4.655,3.736,4.608,3.29,4.746,2.744,7.486
5,AR,CTR_sty,CTR_sty,6,2.0,412.18,5,7.364,3.024,0.454,2.608,7.959,9.955,5.079,0.591,1.823,4.008,3.773,3.83,4.167,2.026,5.686,2.063,1.597,2.976,4.794,10.252,5.289,1.989,2.432,2.249,4.013
6,CA,SD_sty,SD_sty,1,2.0,3966.17,5,4.954,3.473,3.083,3.393,4.691,4.046,3.328,4.453,4.044,3.038,5.035,3.683,3.559,2.601,4.075,3.368,4.359,4.728,4.376,4.028,4.6,4.192,4.406,4.041,4.448
8,CO,CTR_sty,CTR_sty,6,2.0,827.29,5,6.702,3.614,5.165,2.552,3.391,5.409,1.623,5.42,2.092,3.026,3.669,7.453,1.984,2.388,2.76,3.673,4.97,3.547,3.644,6.442,4.529,5.184,2.942,2.589,5.231
9,CT,LIB_sd,LIB_sd,4,1.0,484.15,5,2.177,2.619,7.437,5.237,4.571,3.615,1.815,6.445,3.623,3.419,3.528,4.117,2.016,3.39,3.999,3.026,6.429,4.641,4.276,2.566,2.122,5.752,3.969,3.46,5.752
10,DE,CTR,CTR,6,,216.95,5,3.359,3.647,3.831,9.67,3.971,5.071,6.452,1.597,0.993,2.023,1.645,5.936,1.139,1.14,2.735,2.182,8.661,6.719,3.905,4.777,2.983,6.659,2.547,2.527,5.832
11,DC,CTR_sty,CTR_sty,6,2.0,117.36,5,6.031,4.528,2.574,1.735,2.75,5.033,2.216,8.164,2.768,4.712,5.917,3.728,0.302,1.287,6.368,7.947,0.0,3.381,1.401,7.716,3.04,1.463,11.366,1.439,4.135
12,FL,STY_ctr,STY_ctr,2,6.0,3184.13,5,5.442,5.327,4.644,4.681,4.298,5.249,2.684,3.101,2.972,3.761,4.492,4.545,2.913,3.51,3.191,3.253,3.183,3.558,3.341,3.121,3.671,3.598,4.692,6.09,4.682
13,GA,CON_ctr,CON_ctr,0,6.0,1472.39,5,4.685,4.718,5.73,3.205,4.929,5.633,3.021,2.927,2.324,4.121,3.675,5.515,3.183,2.607,1.783,4.748,4.058,2.824,3.715,4.267,5.298,2.621,3.811,6.667,3.933
15,HI,SD_sty,SD_sty,1,2.0,203.15,5,0.984,5.415,3.785,3.06,7.998,4.291,7.214,0.075,0.531,3.574,5.786,6.322,1.112,3.441,2.923,0.636,4.894,3.487,2.541,4.099,7.191,11.906,3.397,3.607,1.734
16,ID,CTR_sty,CTR_sty,6,2.0,325.33,5,10.419,4.354,4.604,3.947,3.381,12.033,0.415,1.568,3.102,2.397,2.575,1.072,2.637,2.771,3.764,0.715,6.673,6.076,2.674,6.053,1.901,1.634,6.223,3.97,5.043
17,IL,CTR_sty,CTR_sty,6,2.0,1460.33,5,4.97,3.336,3.355,3.702,4.211,4.425,3.037,3.813,5.235,3.224,5.075,5.042,3.011,3.403,2.912,3.448,3.494,4.138,2.635,4.087,3.816,5.115,4.953,4.784,4.777
18,IN,CTR_sty,CTR_sty,6,2.0,994.99,5,2.37,4.988,4.312,3.725,5.579,5.586,4.257,1.987,1.405,3.993,2.682,4.431,3.146,4.874,2.818,3.085,6.006,4.094,3.994,5.424,4.131,4.945,4.556,3.118,4.494
19,IA,SD_lib,SD_lib,1,4.0,446.79,5,5.37,2.737,3.708,3.811,6.055,3.231,2.775,1.965,2.024,1.432,3.09,6.406,2.399,2.396,1.576,4.716,1.887,3.102,2.805,2.848,8.239,8.333,7.971,8.367,2.756
20,KS,CON_ctr,CON_ctr,0,6.0,372.7,5,2.966,7.011,4.04,5.227,2.617,2.678,8.645,1.172,2.113,7.511,3.975,2.585,2.056,3.56,1.749,4.201,1.778,2.364,5.266,2.31,5.508,3.805,7.617,3.791,5.457
21,KY,STY_ctr,STY_ctr,2,6.0,717.93,5,6.321,2.708,4.27,4.89,4.931,5.296,2.513,2.758,2.664,4.077,4.055,3.695,4.224,3.64,4.478,1.313,6.184,2.978,2.392,3.953,2.923,2.945,4.327,8.014,4.45
22,LA,CON_ctr,CON_ctr,0,6.0,508.41,5,2.004,4.389,5.846,7.927,2.942,2.19,5.573,8.354,3.289,4.339,2.741,1.16,2.602,1.313,4.348,0.97,3.797,9.218,2.101,2.73,2.02,3.887,1.099,10.407,4.755
23,ME,STY,STY,2,,243.16,5,4.676,3.873,7.832,6.3,3.948,3.695,2.892,4.636,5.752,2.91,2.27,3.128,3.375,3.282,5.146,1.423,1.899,1.93,6.099,4.54,5.071,2.622,4.039,2.718,5.943
24,MD,SD_sty,SD_sty,1,2.0,782.14,5,3.215,3.353,4.54,4.499,5.044,5.375,4.058,4.824,2.767,6.478,4.421,4.432,1.396,6.17,1.909,2.497,2.181,2.561,3.985,5.337,4.757,6.104,2.562,2.91,4.625
25,MA,SD,SD,1,,790.97,5,3.214,1.979,7.269,2.395,2.628,5.985,2.298,3.671,6.671,4.806,3.931,3.414,1.91,6.287,2.309,3.228,3.008,2.943,4.867,4.952,6.058,5.086,2.786,5.169,3.135
26,MI,CTR_sty,CTR_sty,6,2.0,1329.58,5,3.667,4.797,3.869,4.611,6.115,4.832,2.492,2.557,3.167,2.749,2.773,4.879,2.923,6.277,4.238,2.693,5.641,3.906,3.331,4.67,4.27,3.672,3.943,3.856,4.074
27,MN,SD_sty,SD_sty,1,2.0,714.01,5,3.525,4.869,3.698,3.51,5.469,5.267,3.624,5.753,3.094,2.826,4.238,5.13,4.101,4.127,3.642,2.681,3.483,2.56,3.346,2.963,4.51,5.402,3.321,4.65,4.211
28,MS,STY,STY,2,,444.25,5,6.466,3.781,3.817,10.769,1.111,3.047,2.476,3.201,4.245,2.216,4.536,4.546,1.915,2.986,2.357,2.437,6.506,3.273,4.392,2.447,2.07,5.271,7.247,4.986,3.901
29,MO,CON_ctr,CON_ctr,0,6.0,950.73,5,4.755,6.359,2.956,4.521,3.453,4.648,2.137,5.358,1.78,3.616,4.642,2.981,2.952,2.897,2.059,5.463,4.129,3.068,4.581,4.902,3.128,7.621,4.1,4.428,3.467
30,MT,NAT_ref,NAT_ref,3,5.0,257.38,5,4.668,4.341,3.811,8.074,3.637,2.705,2.275,1.718,2.116,7.525,0.768,2.378,5.413,8.268,8.684,0.243,1.373,2.477,1.877,6.88,8.095,3.749,1.447,5.764,1.713
31,NE,SD_lib,SD_lib,1,4.0,295.91,5,9.767,3.487,6.019,0.833,0.782,4.318,1.275,6.526,2.507,3.742,3.508,5.515,3.214,4.072,2.258,2.026,3.282,5.861,2.166,3.588,6.22,4.874,5.315,7.224,1.619
32,NV,SD_sty,SD_sty,1,2.0,707.53,5,1.85,5.464,9.458,3.844,1.253,3.117,5.841,4.005,3.396,2.132,0.972,2.757,3.11,4.304,1.711,2.219,3.206,6.69,5.339,6.976,3.919,6.668,5.525,2.632,3.613
33,NH,CTR_sty,CTR_sty,6,2.0,264.7,5,3.09,6.456,1.063,5.051,4.857,10.963,2.701,6.202,2.503,3.978,4.4,6.326,2.326,2.59,0.735,2.073,1.301,2.392,2.953,6.737,2.31,2.468,3.956,5.833,6.737
34,NJ,CTR,CTR,6,,1162.21,5,6.729,3.696,5.79,7.676,3.946,2.674,4.666,3.411,4.253,5.226,2.699,3.515,5.131,3.644,2.426,1.816,3.533,2.038,2.919,3.454,5.644,2.955,3.458,5.36,3.339
35,NM,SD,SD,1,,415.1,5,1.826,6.222,9.026,1.169,3.065,5.713,1.599,1.304,2.761,4.893,4.102,3.985,2.676,1.667,2.38,5.233,3.365,6.615,5.372,12.209,1.881,5.459,1.062,3.772,2.643
36,NY,SD_sty,SD_sty,1,2.0,2314.44,5,3.607,5.781,3.264,3.636,3.619,5.233,4.953,4.067,3.393,4.093,3.458,2.459,2.112,2.083,3.451,3.216,4.231,4.011,4.606,4.585,4.982,6.062,4.321,3.099,5.682
37,NC,STY_sd,STY_sd,2,1.0,1455.35,5,5.244,3.347,4.942,3.461,3.981,6.946,1.822,4.147,1.927,2.665,5.411,5.746,2.906,4.181,2.147,3.04,4.467,2.558,3.938,5.376,5.064,2.568,3.695,3.857,6.567
38,ND,CON,CON,0,,112.02,5,5.616,6.228,12.299,5.331,2.599,9.912,2.266,0.404,1.387,5.745,2.018,0.0,0.993,1.606,0.705,2.745,1.311,4.841,5.219,3.713,1.86,10.248,3.228,7.002,2.724
39,OH,CTR_sty,CTR_sty,6,2.0,1727.15,5,3.861,3.806,4.886,4.483,4.322,5.472,2.156,2.66,3.647,3.333,5.424,5.905,3.871,3.567,3.523,4.006,3.378,4.52,2.973,4.869,4.401,3.099,5.633,3.147,3.059
40,OK,CTR_con,CTR_con,6,0.0,606.2,5,5.302,4.712,5.22,4.347,6.999,5.394,2.922,1.656,1.371,2.935,2.394,3.243,4.689,2.79,1.964,4.932,6.449,2.815,3.924,10.108,2.576,2.198,3.073,3.677,4.309
41,OR,SD_lib,SD_lib,1,4.0,861.73,5,2.384,4.804,3.88,2.27,4.822,5.754,6.486,5.028,4.355,2.446,6.843,2.495,2.987,3.356,4.354,2.532,3.289,4.903,3.891,3.2,7.173,2.779,4.495,2.696,2.779
42,PA,STY_sd,STY_sd,2,1.0,2189.53,5,3.433,5.986,5.041,5.804,5.808,3.708,2.534,4.571,4.149,3.91,3.171,2.326,2.326,2.651,2.146,2.457,2.619,3.29,3.967,5.818,3.948,5.553,5.872,3.496,5.417
44,RI,SD_lib,SD_lib,1,4.0,163.32,5,5.372,2.769,4.157,0.9,6.024,3.827,1.653,11.684,3.76,2.619,5.341,6.705,0.947,1.687,2.385,3.832,1.891,4.746,2.015,5.308,7.571,4.616,2.334,6.632,1.226
45,SC,STY_ctr,STY_ctr,2,6.0,730.29,5,3.609,4.485,5.242,2.556,5.022,2.589,4.308,3.338,3.286,5.762,4.866,4.315,2.913,1.876,1.852,4.352,4.059,3.856,3.991,6.336,5.255,4.487,3.447,5.434,2.762
46,SD,STY_sd,STY_sd,2,1.0,141.48,5,4.097,2.734,2.217,1.227,2.262,1.777,2.419,4.585,5.78,3.954,4.827,4.477,7.665,1.06,1.323,3.854,2.839,6.27,0.729,9.669,3.533,5.682,3.395,3.246,10.379
47,TN,CON,CON,0,,1143.42,5,7.845,4.559,5.515,2.587,3.96,4.479,3.885,1.871,2.366,1.803,3.511,4.086,4.595,4.194,2.679,1.739,4.648,4.898,5.308,2.612,3.68,4.323,5.632,5.292,3.932
48,TX,STY_sd,STY_sd,2,1.0,3555.07,5,4.797,4.398,4.339,4.569,3.624,5.404,3.699,2.731,2.775,4.134,4.73,3.769,3.827,4.388,2.527,2.117,5.016,4.682,3.555,3.796,4.391,4.102,3.975,4.751,3.903
49,UT,SD_sty,SD_sty,1,2.0,462.14,5,2.604,8.074,3.039,6.246,4.928,3.731,2.779,7.231,2.12,2.944,1.161,2.8,4.157,4.483,1.465,1.999,2.942,10.24,2.032,4.325,2.201,6.754,4.575,4.656,2.512
50,VT,LIB_sd,LIB_sd,4,1.0,107.67,5,3.355,4.307,1.546,12.676,0.514,2.764,1.154,5.442,4.626,3.058,6.277,13.234,1.581,3.743,4.074,2.556,1.869,2.829,2.51,3.377,2.69,5.737,4.295,2.718,3.066
51,VA,STY_ctr,STY_ctr,2,6.0,1326.72,5,4.533,4.189,4.041,3.904,5.21,3.041,2.231,2.745,3.134,5.705,3.881,5.933,2.858,3.572,3.581,2.78,3.428,3.331,3.82,3.987,5.817,5.337,3.977,6.091,2.872
53,WA,SD_lib,SD_lib,1,4.0,1221.78,5,3.391,3.235,4.708,3.869,4.114,4.321,2.685,3.257,3.06,4.384,3.744,5.059,3.495,3.665,2.405,3.47,4.123,2.62,3.153,7.126,5.759,5.894,4.569,3.379,4.513
54,WV,CON,CON,0,,360.26,5,3.853,8.23,9.534,3.248,4.914,6.949,4.672,3.242,0.643,2.717,4.87,2.559,5.237,6.268,1.544,4.353,2.479,5.332,2.512,8.162,1.186,3.572,1.625,1.759,0.539
55,WI,STY_ctr,STY_ctr,2,6.0,969.41,5,5.371,6.047,5.741,3.652,4.455,5.558,1.613,4.007,4.622,4.854,4.127,3.522,4.852,3.517,1.721,1.906,2.525,3.807,3.468,4.257,5.879,4.072,3.134,5.165,2.13
56,WY,CTR_sty,CTR_sty,6,2.0,98.3,5,7.08,4.17,0.844,1.199,5.174,9.738,1.498,4.162,0.157,3.346,3.022,0.689,6.895,3.501,1.024,5.062,0.0,2.18,4.002,11.908,1.596,10.519,2.197,9.522,0.513
