respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
0,JR,CO,SD_LIB,ZN,MW,SD_CTR,SD_STY,STY_SD,SD_CON,CON_SD,LK,MRJ,CON_CTR,STY_REF,BE,CON_STY,REF_STY,CON_REF,RH,DH
1,SD_LIB,CO,STY_SD,SD_STY,MW,SD_CTR,CON_SD,LK,SD_CON,JR,CON_CTR,CON_STY,MRJ,ZN,RH,REF_STY,CON_REF,STY_REF,DH,BE
2,JR,ZN,MW,CO,SD_LIB,STY_SD,SD_STY,SD_CTR,SD_CON,MRJ,CON_SD,LK,STY_REF,CON_STY,DH,BE,REF_STY,CON_CTR,CON_REF,RH
3,STY_SD,MW,SD_STY,CON_SD,MRJ,SD_LIB,SD_CON,ZN,CON_STY,SD_CTR,STY_REF,CO,JR,REF_STY,RH,LK,CON_CTR,CON_REF,DH,BE
4,CON_REF,LK,REF_STY,STY_REF,CON_CTR,CON_STY,CON_SD,MRJ,DH,SD_CON,SD_CTR,STY_SD,RH,SD_STY,BE,MW,SD_LIB,CO,ZN,JR
5,JR,CO,SD_LIB,MW,REF_STY,CON_STY,STY_REF,RH,SD_STY,DH,LK,SD_CTR,STY_SD,CON_REF,ZN,SD_CON,MRJ,CON_SD,BE,CON_CTR
6,MW,ZN,CO,JR,SD_LIB,SD_STY,STY_SD,SD_CTR,SD_CON,MRJ,LK,CON_SD,CON_STY,STY_REF,CON_CTR,RH,DH,BE,REF_STY,CON_REF
7,DH,BE,REF_STY,MRJ,SD_CON,SD_CTR,ZN,STY_REF,JR,CON_STY,RH,LK,CON_SD,CO,STY_SD,SD_LIB,CON_REF,MW,SD_STY,CON_CTR
8,DH,BE,REF_STY,STY_REF,CON_REF,CON_STY,RH,CON_CTR,MRJ,CON_SD,SD_STY,SD_CON,STY_SD,JR,CO,MW,SD_CTR,ZN,SD_LIB,LK
9,MRJ,CON_STY,STY_SD,STY_REF,SD_STY,CON_SD,SD_CON,REF_STY,MW,SD_CTR,SD_LIB,RH,CON_REF,ZN,DH,CON_CTR,LK,CO,BE,JR
10,REF_STY,STY_REF,CON_STY,DH,MRJ,CON_REF,SD_CON,CON_SD,BE,RH,STY_SD,SD_STY,CON_CTR,MW,SD_CTR,LK,SD_LIB,ZN,CO,JR
11,BE,DH,RH,CON_REF,REF_STY,CON_CTR,CON_STY,STY_REF,CON_SD,SD_CON,MRJ,LK,STY_SD,ZN,SD_CTR,MW,JR,SD_LIB,SD_STY,CO
12,CON_CTR,CON_REF,RH,CON_STY,CON_SD,SD_CON,LK,BE,DH,SD_CTR,REF_STY,STY_REF,MRJ,STY_SD,SD_STY,MW,SD_LIB,CO,JR,ZN
13,CON_REF,DH,STY_REF,REF_STY,CON_STY,CON_SD,RH,MRJ,CO,BE,STY_SD,SD_CON,LK,SD_CTR,SD_STY,ZN,MW,SD_LIB,CON_CTR,JR
14,REF_STY,DH,CON_REF,STY_REF,CON_STY,RH,SD_CON,CON_SD,BE,CON_CTR,MRJ,STY_SD,SD_STY,SD_CTR,MW,LK,SD_LIB,CO,ZN,JR
15,CON_CTR,RH,CON_STY,CON_REF,CON_SD,LK,SD_CON,SD_CTR,BE,DH,SD_LIB,SD_STY,STY_SD,REF_STY,STY_REF,MW,MRJ,ZN,JR,CO
16,RH,CON_SD,CON_REF,CON_CTR,CON_STY,SD_CON,LK,MW,SD_CTR,STY_REF,SD_STY,DH,REF_STY,MRJ,STY_SD,SD_LIB,BE,CO,ZN,JR
17,LK,CON_CTR,CON_SD,RH,SD_CTR,SD_CON,MW,CON_STY,CON_REF,SD_STY,SD_LIB,CO,STY_SD,REF_STY,DH,STY_REF,MRJ,BE,JR,ZN
18,CON_SD,CON_STY,SD_CON,CON_CTR,RH,CON_REF,SD_CTR,STY_SD,LK,MW,MRJ,SD_STY,STY_REF,SD_LIB,REF_STY,CO,DH,ZN,JR,BE
19,CO,JR,SD_LIB,ZN,SD_STY,MW,SD_CTR,STY_SD,LK,SD_CON,CON_SD,MRJ,CON_STY,CON_CTR,CON_REF,STY_REF,REF_STY,DH,BE,RH
20,CON_SD,MW,SD_CON,STY_SD,SD_STY,SD_LIB,CON_STY,RH,MRJ,SD_CTR,CON_CTR,CO,STY_REF,CON_REF,JR,LK,ZN,REF_STY,DH,BE
21,JR,SD_LIB,ZN,CO,MW,SD_STY,SD_CTR,STY_SD,SD_CON,MRJ,LK,DH,CON_SD,CON_CTR,REF_STY,CON_REF,STY_REF,CON_STY,BE,RH
22,MRJ,STY_REF,REF_STY,STY_SD,SD_STY,CON_STY,SD_CON,DH,ZN,MW,CON_SD,SD_CTR,CON_REF,SD_LIB,RH,JR,BE,CON_CTR,CO,LK
23,BE,DH,CON_REF,REF_STY,RH,CON_STY,STY_REF,CON_CTR,CON_SD,SD_CON,MRJ,LK,CO,STY_SD,MW,SD_CTR,SD_STY,JR,SD_LIB,ZN
24,CON_SD,CON_STY,SD_CON,RH,CON_REF,STY_REF,REF_STY,CON_CTR,SD_CTR,STY_SD,MRJ,SD_STY,LK,DH,MW,BE,SD_LIB,CO,ZN,JR
25,JR,ZN,CO,SD_LIB,SD_STY,MW,STY_SD,SD_CTR,MRJ,SD_CON,CON_SD,CON_STY,CON_REF,LK,REF_STY,STY_REF,BE,DH,CON_CTR,RH
26,SD_LIB,SD_STY,ZN,JR,MW,MRJ,STY_SD,CO,SD_CTR,SD_CON,CON_SD,STY_REF,CON_STY,LK,DH,REF_STY,RH,CON_REF,CON_CTR,BE
27,SD_LIB,JR,CO,MW,SD_CTR,ZN,SD_STY,STY_SD,SD_CON,MRJ,CON_SD,LK,CON_STY,CON_CTR,STY_REF,DH,REF_STY,CON_REF,BE,RH
28,CON_CTR,LK,SD_CON,RH,CON_SD,CON_REF,SD_CTR,CON_STY,BE,STY_REF,DH,REF_STY,SD_STY,MRJ,SD_LIB,STY_SD,MW,CO,JR,ZN
29,MRJ,ZN,STY_SD,SD_STY,STY_REF,REF_STY,MW,SD_LIB,JR,CON_STY,SD_CON,SD_CTR,CON_SD,DH,CO,CON_REF,RH,CON_CTR,LK,BE
30,STY_REF,REF_STY,DH,STY_SD,MRJ,ZN,CON_CTR,CON_STY,SD_STY,BE,JR,LK,CON_SD,CON_REF,SD_CON,SD_CTR,SD_LIB,RH,MW,CO
31,LK,CON_CTR,SD_LIB,SD_CON,SD_CTR,CON_SD,CO,MW,RH,SD_STY,CON_STY,STY_SD,CON_REF,JR,BE,MRJ,STY_REF,REF_STY,ZN,DH
32,LK,CO,SD_CTR,SD_LIB,SD_CON,MW,CON_SD,CON_CTR,SD_STY,RH,JR,STY_SD,CON_STY,CON_REF,MRJ,STY_REF,ZN,REF_STY,DH,BE
33,LK,CO,CON_CTR,SD_CTR,CON_SD,SD_LIB,SD_CON,RH,CON_STY,MW,SD_STY,CON_REF,STY_SD,JR,REF_STY,MRJ,ZN,BE,DH,STY_REF
