variable,domain,type,stat_label,question,overall,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
CC24_341a,Taxes & Economy,binary,% Supporting,Extend the 2017 tax cuts,62.9096,85.1391,48.868,60.5274,93.7855,33.0026,75.7089,76.3888,68.5288,28.8072,11.7472
CC24_341b,Taxes & Economy,binary,% Supporting,Raise corporate income tax from 21% to 28%,57.6828,38.8283,80.3757,53.4382,6.6686,90.7269,33.5886,53.0495,80.0204,88.5291,97.349
CC24_341c,Taxes & Economy,binary,% Supporting,Allow rates on $400k+ earners to rise to 35%,65.3484,52.531,86.3894,58.7368,7.5546,98.0046,37.998,62.0599,92.7938,99.6371,100.0
CC24_341d,Taxes & Economy,binary,% Supporting,Spend $150B/yr on infrastructure,80.4546,78.4184,90.7076,70.879,54.8584,97.4358,61.252,79.6649,94.9394,95.4743,99.527
CC24_302,Taxes & Economy,ordinal,Weighted mean,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.1199,3.2872,2.949,3.1641,3.5477,2.6856,3.4277,3.0302,2.9728,3.0358,2.7421
CC24_302,Taxes & Economy,ordinal_dist,% Increased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.03,1.16,4.0,3.28,1.13,4.88,1.78,5.87,2.28,2.86,5.36
CC24_302,Taxes & Economy,ordinal_dist,% Increased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),19.74,12.07,25.75,19.94,6.44,35.05,11.67,18.05,22.84,25.17,34.76
CC24_302,Taxes & Economy,ordinal_dist,% Stayed same,Household income change past year (1=Increased a lot … 5=Decreased a lot),50.26,55.02,49.56,46.94,48.85,50.05,46.53,51.67,56.58,47.13,46.05
CC24_302,Taxes & Economy,ordinal_dist,% Decreased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),16.15,20.37,12.71,16.75,23.69,6.66,22.02,16.01,11.93,15.19,7.95
CC24_302,Taxes & Economy,ordinal_dist,% Decreased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),10.82,11.38,7.97,13.08,19.89,3.36,17.99,8.4,6.37,9.65,5.87
CC24_303,Taxes & Economy,ordinal,Weighted mean,Price change past year (1=Increased a lot … 5=Decreased a lot),1.6116,1.3256,1.8281,1.7436,1.193,2.0245,1.3853,1.5351,1.6372,1.7634,2.0963
CC24_303,Taxes & Economy,ordinal_dist,% Increased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),55.11,73.98,39.69,49.52,83.63,26.98,72.54,57.96,50.34,43.18,23.8
CC24_303,Taxes & Economy,ordinal_dist,% Increased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),32.57,21.37,43.0,32.64,14.18,50.71,20.48,32.47,38.6,41.16,50.51
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,12.34,13.08,1.77,15.35,4.14,8.19,8.13,11.89,18.3
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,4.75,3.49,0.1,6.79,1.58,0.89,2.88,3.66,7.06
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.22,1.27,0.32,0.17,1.26,0.5,0.06,0.1,0.34
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,82.7113,75.1003,0.201,98.3073,12.3442,59.9703,90.3728,99.3685,99.9762
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,72.2397,64.8119,100.0,75.3309,89.1047,93.2013,99.966,18.338,40.627
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,98.3844,86.6809,0.282,99.9717,27.6665,72.2816,98.7846,100.0,100.0
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,79.6209,70.5324,5.2886,82.7126,30.2371,47.291,54.8215,95.8983,93.6354
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,39.458,39.6282,100.0,29.4301,87.0888,82.0974,100.0,0.0336,0.1145
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,80.9072,63.1428,6.4067,91.4934,27.0589,58.5513,81.0322,93.1937,96.5447
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,20.1692,36.5762,91.7736,7.2956,67.8831,44.222,21.1161,1.9058,1.1018
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,98.4429,88.7939,75.8481,99.5799,80.3952,94.8726,98.9825,99.6987,99.647
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,31.436,34.9589,100.0,35.5848,44.166,65.1423,99.9786,0.2707,0.3959
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,39.5124,39.1405,0.1097,35.6377,19.5421,16.6141,1.3649,87.2103,75.5713
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,95.922,85.8456,54.075,98.4488,66.5524,90.4463,98.4488,99.0147,99.6192
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,18.0,13.0,7.0,24.0,8.0,12.0,12.0,28.0,32.0
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,10.0,6.0,0.0,16.0,1.0,4.0,8.0,20.0,24.0
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,26.0,23.0,12.0,36.0,14.0,19.0,21.0,40.0,40.0
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,36.9495,56.8046,72.2413,25.7348,60.3942,65.4458,57.3858,14.1527,6.143
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,82.7413,53.177,31.5194,88.8153,43.5041,53.8649,75.0169,94.0501,95.6766
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,22.9448,39.0023,74.6758,11.1838,58.7169,54.5528,38.551,3.7817,1.466
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,8.8986,25.6106,27.2533,3.6846,26.8387,28.0167,15.9998,0.469,0.1411
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,95.9375,54.3011,26.541,97.2584,43.4016,55.8161,79.2497,98.4739,99.9117
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,44.4839,40.7118,76.8622,52.3658,54.7864,62.4261,70.7874,20.813,32.151
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,36.4273,30.2967,9.4977,43.0105,21.3699,45.6591,71.6158,18.3327,3.7548
