district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,429.658,115.1436,0.0,0
01-02,1,6,296.5501,77.0192,0.0,0
02-01,2,2,130.6383,87.539,35.8791,0
04-01,4,7,586.6281,147.6226,0.0,0
04-02,4,7,573.4772,110.0729,0.0,0
04-03,4,5,1160.1052,454.5903,0.0,0
05-01,5,4,217.274,86.1815,0.0,0
05-02,5,4,194.9079,86.975,0.0,0
06-01,6,7,1002.725,234.3602,0.0,0
06-02,6,7,298.899,59.8531,0.0,0
06-03,6,7,244.344,43.2196,0.0,0
06-04,6,7,635.8695,126.9925,0.0,0
06-05,6,7,254.4831,46.6437,0.0,0
06-06,6,7,342.2918,84.2354,0.0,0
06-07,6,7,321.2411,80.6729,0.0,0
06-08,6,7,262.2903,75.9833,0.0,0
06-09,6,7,339.1496,51.6139,0.0,0
06-10,6,7,94.2691,15.7809,0.0,1
06-11,6,7,114.6763,14.7569,0.0,0
06-12,6,7,11.9858,0.002,0.0,3
06-13,6,7,26.2077,2.4248,0.0,5
06-14,6,7,16.4078,0.7096,0.0,3
06-15,6,6,3966.0951,1316.1068,0.0,0
08-01,8,5,380.579,109.0236,0.0,0
08-02,8,5,367.1835,150.5377,0.0,0
08-03,8,5,79.5228,28.1233,0.0,0
09-01,9,5,312.1519,84.2625,0.0,0
09-02,9,4,172.0026,78.7476,0.0,0
10-01,10,3,216.9502,100.1046,22.7846,0
11-01,11,2,117.3573,63.2312,41.8501,0
12-01,12,7,549.4862,106.1629,0.0,0
12-02,12,7,346.593,71.066,0.0,0
12-03,12,7,468.6151,97.8891,0.0,0
12-04,12,7,564.808,144.4286,0.0,0
12-05,12,7,647.7414,101.0168,0.0,0
12-06,12,7,393.4076,89.9475,0.0,0
12-07,12,5,176.8414,59.4644,0.0,0
12-08,12,5,36.6399,6.3378,0.0,1
12-09,12,5,3184.1333,917.8263,0.0,0
13-01,13,7,542.4193,109.6333,0.0,0
13-02,13,7,432.1692,112.0003,0.0,0
13-03,13,7,425.4781,77.6216,0.0,0
13-04,13,7,72.3243,8.7585,0.0,1
15-01,15,4,203.1471,67.8042,0.0,0
16-01,16,5,325.3257,108.7229,0.0,0
17-01,17,7,578.427,123.2625,0.0,0
17-02,17,7,124.7103,15.3598,0.0,0
17-03,17,7,268.7767,54.8752,0.0,0
17-04,17,7,371.6644,79.6628,0.0,0
17-05,17,6,116.7534,25.8326,0.0,0
18-01,18,7,515.3449,102.8779,0.0,0
18-02,18,6,380.0003,100.9042,0.0,0
18-03,18,5,99.6439,44.2551,0.0,0
19-01,19,4,273.0543,134.1168,0.0,0
19-02,19,4,173.7369,62.5116,3.9227,0
20-01,20,4,179.9073,84.0625,0.0,0
20-02,20,4,192.7923,61.1354,0.0,0
21-01,21,7,429.3181,94.56,0.0,0
21-02,21,5,288.6072,92.8257,0.0,0
22-01,22,7,328.6197,92.4017,0.0,0
22-02,22,5,179.7889,26.6722,0.0,0
23-01,23,4,243.1583,101.2714,0.0,0
24-01,24,6,376.625,132.9255,0.0,0
24-02,24,5,234.4869,78.2157,0.0,0
24-03,24,5,171.0273,56.6623,0.0,0
25-01,25,7,351.6683,80.7415,0.0,0
25-02,25,6,320.3811,94.3836,0.0,0
25-03,25,5,118.9183,37.6625,0.0,0
