district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,5,135,17,STY,STY,CON,CUP,DSA,,
01-02,1,AL,SUBURBAN,5,300,17,CON,POP,STY,SD,CUP,,
01-03,1,AL,RURAL,3,226,17,CON,STY,POP,,,,
02-01,2,AK,SUBURBAN,2,105,20,SD,CON,,,,,
04-01,4,AZ,URBAN,7,259,22,LIB,SD,CON,NAT,SD,STY,POP
04-02,4,AZ,URBAN,7,216,22,CON,NAT,CON,SD,POP,CON,LIB
04-03,4,AZ,SUBURBAN,5,684,22,POP,SD,CON,STY,NAT,,
05-01,5,AR,URBAN,5,131,20,CUP,CON,POP,STY,DSA,,
05-02,5,AR,SUBURBAN,3,259,20,SD,CON,STY,,,,
06-01,6,CA,URBAN,7,106,20,SD,LIB,CON,CUP,DSA,SD,STY
06-02,6,CA,URBAN,7,89,20,SD,STY,LIB,NAT,SD,STY,STY
06-03,6,CA,URBAN,5,104,20,SD,LIB,POP,SD,CON,,
06-04,6,CA,URBAN,5,104,20,STY,STY,SD,CON,SD,,
06-05,6,CA,URBAN,5,105,20,LIB,STY,SD,STY,POP,,
06-06,6,CA,URBAN,5,110,20,STY,CON,LIB,SD,STY,,
06-07,6,CA,URBAN,5,91,20,STY,SD,CON,CUP,DSA,,
06-08,6,CA,URBAN,5,103,20,STY,LIB,SD,STY,POP,,
06-09,6,CA,URBAN,5,94,20,SD,STY,CON,LIB,SD,,
06-10,6,CA,URBAN,5,95,20,SD,POP,CON,DSA,LIB,,
06-11,6,CA,URBAN,5,90,20,CON,POP,LIB,SD,STY,,
06-12,6,CA,URBAN,5,101,20,CON,STY,LIB,STY,DSA,,
06-13,6,CA,URBAN,5,109,20,STY,SD,LIB,POP,CON,,
06-14,6,CA,SUBURBAN,5,346,20,SD,CON,LIB,CUP,POP,,
06-15,6,CA,SUBURBAN,5,315,20,CON,STY,LIB,SD,CON,,
06-16,6,CA,SUBURBAN,5,331,20,SD,LIB,SD,POP,STY,,
06-17,6,CA,SUBURBAN,5,335,20,STY,CON,POP,LIB,SD,,
06-18,6,CA,SUBURBAN,5,306,20,CON,SD,LIB,POP,STY,,
06-19,6,CA,SUBURBAN,5,312,20,SD,LIB,STY,SD,CON,,
06-20,6,CA,RURAL,5,380,20,POP,STY,CON,SD,LIB,,
08-01,8,CO,URBAN,5,144,20,POP,SD,STY,CON,LIB,,
08-02,8,CO,URBAN,5,130,20,SD,CON,LIB,STY,STY,,
08-03,8,CO,SUBURBAN,5,511,20,SD,CON,LIB,STY,POP,,
09-01,9,CT,URBAN,3,66,20,STY,SD,LIB,,,,
09-02,9,CT,URBAN,3,54,20,CUP,CON,STY,,,,
09-03,9,CT,SUBURBAN,3,345,20,SD,CON,LIB,,,,
10-01,10,DE,URBAN,3,164,18,SD,CON,CUP,,,,
11-01,11,DC,URBAN,2,122,18,SD,LIB,,,,,
12-01,12,FL,URBAN,7,127,21,CON,STY,DSA,SD,CON,POP,DSA
12-02,12,FL,URBAN,5,97,21,STY,SD,SD,STY,CON,,
12-03,12,FL,URBAN,5,112,21,STY,CON,CUP,STY,SD,,
12-04,12,FL,URBAN,5,116,21,SD,STY,CON,SD,LIB,,
12-05,12,FL,URBAN,5,132,21,CUP,CON,STY,SD,STY,,
12-06,12,FL,URBAN,5,110,21,SD,SD,CON,STY,POP,,
12-07,12,FL,URBAN,5,123,21,SD,CUP,STY,CON,POP,,
12-08,12,FL,SUBURBAN,5,739,21,CON,CUP,SD,STY,POP,,
12-09,12,FL,SUBURBAN,5,690,21,CUP,SD,CON,POP,STY,,
12-10,12,FL,SUBURBAN,5,746,21,CON,SD,STY,CON,CUP,,
12-11,12,FL,RURAL,5,358,21,STY,POP,SD,CON,CON,,
13-01,13,GA,URBAN,7,134,19,SD,SD,STY,CUP,POP,CON,CON
13-02,13,GA,URBAN,7,139,19,CUP,SD,SD,STY,CUP,LIB,POP
13-03,13,GA,SUBURBAN,7,863,19,CON,CUP,STY,SD,LIB,STY,POP
13-04,13,GA,RURAL,7,353,19,CON,POP,CON,CUP,SD,STY,POP
15-01,15,HI,URBAN,4,153,18,SD,POP,LIB,SD,,,
16-01,16,ID,SUBURBAN,5,244,19,CON,SD,STY,CUP,POP,,
17-01,17,IL,URBAN,7,194,20,CUP,SD,CON,DSA,CON,POP,LIB
17-02,17,IL,URBAN,7,141,20,SD,CON,LIB,SD,CUP,STY,STY
17-03,17,IL,URBAN,5,166,20,CON,LIB,POP,STY,DSA,,
17-04,17,IL,URBAN,5,160,20,SD,LIB,STY,CON,CUP,,
17-05,17,IL,SUBURBAN,5,569,20,CON,POP,SD,LIB,CUP,,
17-06,17,IL,SUBURBAN,5,528,20,SD,CON,CON,LIB,STY,,
18-01,18,IN,URBAN,5,130,20,POP,CON,STY,STY,CUP,,
18-02,18,IN,URBAN,5,112,20,CON,POP,SD,CON,LIB,,
18-03,18,IN,SUBURBAN,5,500,20,CON,SD,STY,CUP,NAT,,
18-04,18,IN,RURAL,3,236,20,STY,CON,CUP,,,,
19-01,19,IA,URBAN,5,179,21,CON,CUP,CON,SD,SD,,
19-02,19,IA,SUBURBAN,3,311,21,SD,CON,POP,,,,
20-01,20,KS,URBAN,5,134,19,SD,CON,CON,POP,STY,,
20-02,20,KS,SUBURBAN,3,251,19,CON,SD,LIB,,,,
21-01,21,KY,URBAN,7,257,20,CUP,CON,SD,STY,STY,CUP,POP
21-02,21,KY,SUBURBAN,5,417,20,STY,CON,POP,CUP,LIB,,
22-01,22,LA,URBAN,7,192,18,CUP,CON,POP,STY,STY,CUP,LIB
22-02,22,LA,SUBURBAN,5,301,18,CON,STY,SD,CUP,CON,,
23-01,23,ME,RURAL,4,236,22,SD,LIB,CUP,POP,,,
24-01,24,MD,URBAN,5,69,20,LIB,SD,LIB,CUP,CUP,,
24-02,24,MD,URBAN,5,89,20,STY,LIB,SD,STY,POP,,
24-03,24,MD,SUBURBAN,3,525,20,CON,STY,SD,,,,
24-04,24,MD,RURAL,3,108,20,CON,POP,STY,,,,
25-01,25,MA,URBAN,5,131,21,DSA,POP,SD,STY,LIB,,
25-02,25,MA,URBAN,5,131,21,LIB,STY,SD,POP,DSA,,
25-03,25,MA,SUBURBAN,5,551,21,CON,STY,CON,LIB,SD,,
25-04,25,MA,RURAL,3,93,21,CON,STY,LIB,,,,
26-01,26,MI,URBAN,7,153,19,DSA,LIB,CON,SD,STY,POP,CUP
26-02,26,MI,URBAN,5,124,19,CON,SD,STY,LIB,STY,,
26-03,26,MI,SUBURBAN,5,435,19,LIB,SD,CON,STY,POP,,
26-04,26,MI,SUBURBAN,5,425,19,LIB,CON,SD,STY,CON,,
26-05,26,MI,RURAL,5,394,19,CON,POP,STY,CON,NAT,,
27-01,27,MN,URBAN,5,225,21,LIB,SD,POP,CON,PRG,,
27-02,27,MN,SUBURBAN,5,452,21,POP,CON,LIB,SD,SD,,
27-03,27,MN,RURAL,5,134,21,STY,LIB,CON,POP,CON,,
28-01,28,MS,SUBURBAN,5,163,17,STY,CON,SD,POP,SD,,
28-02,28,MS,RURAL,3,186,17,STY,CON,CUP,,,,
29-01,29,MO,URBAN,5,119,20,POP,SD,STY,CON,DSA,,
29-02,29,MO,URBAN,5,102,20,CON,CUP,CON,SD,PRG,,
29-03,29,MO,SUBURBAN,3,541,20,STY,CON,SD,,,,
29-04,29,MO,RURAL,3,285,20,CON,POP,SD,,,,
30-01,30,MT,SUBURBAN,3,185,21,STY,SD,CON,,,,
31-01,31,NE,SUBURBAN,5,286,21,STY,SD,CON,POP,CON,,
32-01,32,NV,URBAN,5,266,20,LIB,SD,CON,CON,STY,,
32-02,32,NV,SUBURBAN,3,307,20,SD,STY,CON,,,,
33-01,33,NH,SUBURBAN,4,252,20,SD,CON,CUP,DSA,,,
34-01,34,NJ,URBAN,7,71,20,POP,STY,CON,LIB,CUP,POP,SD
34-02,34,NJ,URBAN,7,97,20,CUP,DSA,CON,LIB,CON,CON,SD
34-03,34,NJ,URBAN,5,77,20,LIB,POP,LIB,SD,CON,,
34-04,34,NJ,SUBURBAN,5,996,20,LIB,STY,CON,CON,SD,,
35-01,35,NM,URBAN,3,157,20,CON,POP,STY,,,,
35-02,35,NM,SUBURBAN,3,152,20,SD,SD,POP,,,,
36-01,36,NY,URBAN,7,196,21,SD,STY,SD,CON,STY,CUP,DSA
36-02,36,NY,URBAN,7,209,21,SD,CON,SD,STY,LIB,CUP,LIB
36-03,36,NY,URBAN,7,225,21,CUP,SD,POP,LIB,CUP,STY,CON
36-04,36,NY,URBAN,7,204,21,SD,STY,CON,POP,STY,LIB,CUP
36-05,36,NY,URBAN,5,193,21,STY,SD,LIB,CUP,CON,,
36-06,36,NY,SUBURBAN,5,388,21,SD,POP,CON,STY,LIB,,
36-07,36,NY,SUBURBAN,5,392,21,CON,SD,STY,LIB,DSA,,
36-08,36,NY,SUBURBAN,5,410,21,LIB,CON,SD,SD,POP,,
36-09,36,NY,RURAL,5,368,21,LIB,CON,SD,STY,POP,,
37-01,37,NC,URBAN,7,108,21,STY,CON,SD,STY,LIB,NAT,PRG
37-02,37,NC,URBAN,5,127,21,STY,CON,POP,STY,LIB,,
37-03,37,NC,SUBURBAN,5,411,21,SD,STY,LIB,CON,CON,,
37-04,37,NC,SUBURBAN,5,350,21,CON,SD,CON,POP,STY,,
37-05,37,NC,RURAL,5,448,21,CON,SD,STY,CUP,CON,,
38-01,38,ND,SUBURBAN,2,90,20,SD,POP,,,,,
